Protein,Study_ID,Tissue,Pattern,N_Compartment_Pairs,Divergence
SERPINC1,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,1.426913886331912
Smoc2,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),3,1.2239165167392783
HPX,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,1.1529957727923132
Col2a1,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,1.0883682653317546
Postn,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,1.0815933076204711
ITIH1,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,1.078701811794114
SLIT3,Tam_2020,Intervertebral_disc_IAF,Mixed,3,1.0578506501336922
Fbn2,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,1.047462642430064
FGA,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,1.0280712481807361
FGG,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,1.0275213290485714
AMBP,Tam_2020,Intervertebral_disc_IAF,Mixed,3,1.0212926293143099
VTN,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,1.0075496540384004
SPON1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.9891366315755589
SERPINA4,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.9879828358075438
ITIH4,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.9813499648756686
VIT,Tam_2020,Intervertebral_disc_IAF,Both_DOWN (synergistic),3,0.9714519227018327
Apoc1,Schuler_2021,Skeletal_muscle_EDL,Mixed,3,0.9375581455648652
TNXB,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.92223191979619
SERPINF1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.8990040791918235
C7,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.8892858900826162
Col5a2,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.8822253089852238
FGB,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.8801903048083485
Ces1d,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),6,0.8606938072552611
Mbl2,Schuler_2021,Skeletal_muscle_EDL,Mixed,3,0.8233287975346141
POSTN,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.7990962978951998
FBLN2,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.7685212091635009
CLEC3A,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.750131398073274
ITIH2,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.7488665920171046
Hc,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.7304247290836029
Ccdc134,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.6965573983911212
CHRDL2,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.6945698151174807
Col12a1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.6929303163308909
FRZB,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.6769526337375981
SERPINH1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.6645789902834308
Col5a1,Schuler_2021,Skeletal_muscle_EDL,Mixed,3,0.662309976494761
HRG,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.6562866792315493
C4b,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.6541360703651161
COL3A1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.6505263018283296
Cnp,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.6470277625505826
S100A11,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.6464977436706494
Col1a1,Schuler_2021,Skeletal_muscle_EDL,Mixed,7,0.6431925733835121
PTN,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.6426019200394598
Aspn,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),6,0.6371271191619865
Col1a2,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.6344611923111696
LGALS3,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.6343193986189174
Car4,Schuler_2021,Skeletal_muscle_EDL,Mixed,3,0.6258623265346542
TNFAIP6,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.6187367535204262
EPYC,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.618006542606305
Angptl7,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),3,0.6072752270095644
LGALS1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.606959368313595
Apod,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),6,0.5987563505115135
S100A10,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.5955732685324658
Epx,Schuler_2021,Skeletal_muscle_EDL,Both_DOWN (synergistic),6,0.5942306997206414
HMCN1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.5912862270323958
SERPINB1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.5823865462656129
Col6a1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.573905924133861
Ambp,Schuler_2021,Skeletal_muscle_EDL,Mixed,3,0.5657980769837141
MMP2,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.5633462336093475
Comp,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),6,0.5585002631915631
Tnc,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.5577075052067657
Pcolce,Schuler_2021,Skeletal_muscle_EDL,Both_DOWN (synergistic),6,0.557618345981752
TNC,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.5565796730586932
Col6a2,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.5519544622399496
Pcyox1,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.5470660466659502
Serpinf2,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.5390890629496694
COL8A1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.5346669697514081
Dhrs7c,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.5330336323238581
CTSB,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.5327902605301443
COL5A2,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.5320160449741418
PLG,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.5306571307743146
Fbn1,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.5298340355941972
LAMC1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.5266422204664881
NRP1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.5206754687678791
COL7A1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.505504704061547
EMILIN3,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.49066341887240567
Sparc,Schuler_2021,Skeletal_muscle_EDL,Mixed,7,0.4903936121444256
MATN3,Tam_2020,Intervertebral_disc_IAF,Both_DOWN (synergistic),3,0.4902386161869888
Fbln5,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.4852265336952482
BCAN,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.48386238579604707
CLEC3B,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.4833991873140377
C1qtnf9,Schuler_2021,Skeletal_muscle_EDL,Mixed,3,0.480921018391782
ASPN,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.4766517585866808
Ppt1,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),6,0.472763144574055
Lgals3bp,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.47247642431529363
ANXA4,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.46993106201433
LTBP4,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.46764354252761353
CCL18,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.4676041955210595
SEMA3E,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.46534960862221125
INHBA,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.46260563861609816
