Protein,Importance
S100A9,0.08386725367053265
TIMP3,0.07187811545660686
F2,0.060450490181179956
COL15A1,0.04168810167617493
SERPINA6,0.0390010715816924
AMBP,0.03268124522583259
FGB,0.02995193374457611
LAMA5,0.02619526676305372
ANXA4,0.025874177083109257
FGA,0.023865560911915943
HSPG2,0.023536846173030083
VTN,0.023244052041586794
EMILIN3,0.022427915412092318
AEBP1,0.018426777102475003
PXDN,0.016296890051224415
TNXB,0.015824258612112833
SERPINA3,0.015644363393264624
COL14A1,0.015600694462664991
Cstb,0.015554846706717397
PRELP,0.01541873314547283
SERPINC1,0.015175640744219948
FGG,0.014802727263981071
PLG,0.013949396844792529
Tgm2,0.013180761660076893
C3,0.011612692504343483
ANXA1,0.008987398437080608
F13A1,0.008880307850233018
HTRA1,0.008834177640345347
IGFBP7,0.00850999189278238
COL12A1,0.008503189453118624
GPC1,0.008385517281071276
HPX,0.00832152060654293
IGFALS,0.00790027986137166
ANXA7,0.007883253028773256
S100A11,0.007848060540910988
Fgf1,0.007741642584665756
CD109,0.0077357077768218305
ANXA6,0.00771475288653736
P4HA2,0.007557647605795441
TGM2,0.007469857582819422
COL1A1,0.007328917110064395
SRPX2,0.007321255711132
LGALS3,0.0072632564149672455
CTSD,0.007209493171179961
SRPX,0.007139450743509871
ELN,0.00667418195561783
SPON1,0.006142111183540451
TIMP1,0.006071041991933909
Ctsz,0.004918657090902072
CSTB,0.004439040982610146
LAMB2,0.003696159311852731
Fgg,0.0029286916346216913
Col3a1,0.0029062771288216674
PLOD1,0.00290019963979611
Itih3,0.002889581578078521
Mmrn2,0.002810493548570454
NID1,0.002809243522115543
F12,0.0027086475219683043
Tgfbi,0.002541860447187063
BGN,0.0024353219041602764
LTBP4,0.0024177707853430207
Eln,0.0024169109825610082
Dcn,0.0023789610967994124
F9,0.002241884283471115
S100A8,0.0021447987038349095
ECM1,0.0021199187305967746
FBN1,0.0020611706147312136
Nid2,0.002044813074006131
KNG1,0.0019512802044263453
Pcolce,0.0018445156125882893
Vwa1,0.0018418666848301853
COL5A1,0.0018350007616424152
Tinagl1,0.0018278249701844465
Col1a2,0.0017286663401419376
Hpx,0.001691994960741524
HRG,0.0016265229183832634
MATN2,0.0015919019922829296
Col4a1,0.0015888262032194094
COL6A1,0.0015370636180863943
POSTN,0.0015349188612902508
LAMC1,0.0015272245935876879
ITIH5,0.0014403025288785012
Ctsb,0.0013893534462118226
HAPLN1,0.0013394339228713678
Serpinb1a,0.001337751633819177
COL6A2,0.0012861128561970825
COL4A2,0.0012812269860286462
Fga,0.0011704044914208859
Col15a1,0.0011169805909549062
SLPI,0.0011149657212312957
Anxa2,0.0010990133479644153
SERPINH1,0.001076599482151974
Serpina1a,0.0010671062304889291
Serpinf2,0.0010667255357671597
COL3A1,0.0010462158674678342
DCN,0.001033052050038803
Col6a1,0.0009977117819699721
Serpina1b,0.0009567548975936178
Fmod,0.0009226989129423782
Agrn,0.0009068991060420923
ITIH1,0.0008834124846592277
Ctsh,0.0008525578260793725
S100A13,0.0008396177925504565
Serpine2,0.0008360438055263058
SEMA3B,0.0008316906898161237
Lama2,0.0007997130856230289
A2M,0.0007950239918608688
AGRN,0.0007756941601452594
HMCN1,0.0007593358776113702
Itih5,0.0007197273116123669
LOXL2,0.0007184611835986056
LAMB1,0.0007122223171782472
COL11A2,0.0007106868652919285
Adam10,0.0006944175006955674
Serpina1d,0.0006766526798237108
COL6A3,0.0006719032785594507
Serpina3m,0.0006609799311952611
THBS1,0.0006035313143651182
Hmcn2,0.000600854163275225
ACAN,0.0005737253838526494
SPARC,0.0005728478507540831
SEMA3C,0.0005717394635918794
Col14a1,0.0005529197171618387
FBLN1,0.000542262119071609
S100A16,0.0005354777367011634
CST3,0.0005276428050530164
Serpinh1,0.0005147024026739956
Serpina1e,0.0004977853492180127
S100A4,0.00048786409886932133
LUM,0.00048590728550472766
Dpt,0.0004780804804939091
FNDC1,0.0004423771678676752
SERPIND1,0.0004401373597202241
FBLN5,0.00041910879663455255
CLEC3B,0.00041617418117445847
LTBP1,0.00041095315722330895
Ogn,0.0003864660082789308
WISP2,0.0003849472412663097
Ctsf,0.000381512256628338
LTBP2,0.00036881351376108815
LOX,0.00036494812597503864
Gpc1,0.00036157070135809885
F10,0.0003554757164320223
FBLN2,0.00034608506022242133
COL2A1,0.0003431307517427027
MMP9,0.0003323791286213933
F13a1,0.00032151711126566417
COL6A6,0.0003211752559036656
Lamb2,0.0003209430188548265
Ambp,0.00031135732337228685
COL4A1,0.0002799744703779824
Cst3,0.0002777860676592246
ANXA2,0.0002772485701575559
Lum,0.00027136198380336665
ANXA11,0.00026762748852223313
OGN,0.00026442715181707575
COL11A1,0.0002638931100179992
Col18a1,0.0002502895853508148
Pzp,0.0002422838666067404
PLXDC2,0.0002377719404131067
Gpc4,0.0002368327734374517
Plg,0.0002284363473782075
LAMA4,0.00021530122546812913
Ctsd,0.00021056466399535514
MFGE8,0.00020839317523738222
C1QC,0.0001998973351112453
FN1,0.0001976869935833415
Col5a1,0.00019235235921006994
COL1A2,0.00018904825306545616
ABI3BP,0.00018603882171280638
ITIH2,0.00018447161241568353
FMOD,0.0001800125793238497
THBS3,0.00017524529036108046
Thbs4,0.0001734645824363612
Col12a1,0.00016695847683377533
Aspn,0.0001626983833143127
Sparcl1,0.00015802471370703468
TNC,0.00015556507787784814
Ctsc,0.00015537030536262174
VWA1,0.0001452097039365442
Fgb,0.00014511171259155332
Prelp,0.00012168351740989478
CTSZ,0.00011210290159854481
THBS4,0.00010346780511698147
Nid1,9.869572332644388e-05
Anxa5,9.854528288716684e-05
ASPN,9.464964390060335e-05
SERPING1,9.435440659003243e-05
SERPINF1,9.42000406175612e-05
LAMA3,9.3704205806041e-05
Fbln1,9.178558974368755e-05
COL16A1,8.995600293323562e-05
LGALS1,8.489218051352902e-05
Serpinc1,8.328061563995118e-05
MMRN2,8.222440790424415e-05
LAMA2,8.031933437190335e-05
SERPINB6,7.927867581999446e-05
S100A10,7.534502074652584e-05
Col6a6,6.926465203334391e-05
VWF,6.91418198137855e-05
NID2,6.851614549864588e-05
LMAN1,6.609552030982647e-05
MFAP4,6.454168662935043e-05
Efemp1,6.076816692484612e-05
Lama4,5.4127702889308964e-05
S100A6,5.216714968267938e-05
SERPINE2,5.180139605655853e-05
Anxa1,4.6137183096633974e-05
Pxdn,4.234924182152357e-05
Fbn1,3.7127456439831554e-05
Lama5,3.641010558877712e-05
MFAP2,3.638465259826703e-05
Serpind1,3.495189147364698e-05
C1QB,3.3942264259404264e-05
C7,3.384687383833499e-05
Col4a2,3.176386811966408e-05
EMILIN2,2.9599025876333535e-05
ITIH4,2.7251962225298894e-05
Fbln5,2.5292818663834465e-05
PRG2,2.402183204317991e-05
Fbln2,2.118252518061737e-05
Itih4,2.014735629146231e-05
Fn1,1.8463517230922144e-05
Postn,1.816893881574464e-05
Bgn,1.813552283072441e-05
TGFBI,1.6340462007224784e-05
SERPINA4,1.5247736594352829e-05
COL18A1,1.4939151399213677e-05
Igfbp5,1.0190382003941579e-05
CXCL12,1.0084734007823523e-05
Sparc,9.944505327961067e-06
Vtn,9.637255200939424e-06
Serpinf1,9.369698759599424e-06
ITIH3,8.082951201729937e-06
CSPG4,7.462334585680188e-06
AGT,6.849606975270267e-06
Mfge8,5.6525644389141195e-06
P4HA1,4.9159173411979075e-06
SERPINA5,4.269865251192287e-06
Fbn2,2.99917022197955e-06
Ctsl,2.869593352596128e-06
Col6a2,2.8033816339018194e-06
COL9A2,2.480437981924495e-06
VCAN,2.273899835732158e-06
MMP2,1.7518334470539532e-06
COL7A1,1.7387175350571723e-06
PCOLCE,1.6825876383973853e-06
SERPINF2,1.4289298850225744e-06
COL8A1,1.1823244974708535e-06
Lgals1,9.613753085345509e-07
FBN2,9.008110489704247e-07
SERPINA1,6.166468518548804e-07
CPN2,5.988131001295929e-07
Tnc,3.6235247232175174e-07
Col1a1,2.2846211311968246e-07
ANGPTL2,0.0
DPT,0.0
Lamb1,0.0
TINAGL1,0.0
MGP,0.0
EFEMP1,0.0
ANXA5,0.0
Mbl2,0.0
CTSG,0.0
CTSB,0.0
SERPINB1,0.0
Adipoq,0.0
Col5a2,0.0
FSTL1,0.0
Col2a1,0.0
EMILIN1,0.0
COL5A2,0.0
Kng1,0.0
Ecm1,0.0
Itih1,0.0
