Protein,Importance,Baseline_R2,Permuted_R2
GUF1,0.5255792708670568,-2.835538612543911,-3.3611178834109676
KBTBD3,0.38956260920692953,-2.835538612543911,-3.2251012217508404
DDX10,0.35468935718209016,-2.835538612543911,-3.190227969726001
KMT2A,0.35248121711297964,-2.835538612543911,-3.1880198296568905
SLC25A10,0.3467358403662941,-2.835538612543911,-3.182274452910205
AMPD3,0.3094879654520155,-2.835538612543911,-3.1450265779959263
MPC2,0.29959329605812046,-2.835538612543911,-3.1351319086020313
DHRS4,0.2578145328343493,-2.835538612543911,-3.09335314537826
HSD11B2,0.2424348132802927,-2.835538612543911,-3.0779734258242035
BPHL,0.24007702803139752,-2.835538612543911,-3.0756156405753083
YARS2,0.22877524307243702,-2.835538612543911,-3.064313855616348
TIAL1,0.22111983660871504,-2.835538612543911,-3.056658449152626
USP7,0.20743323544463133,-2.835538612543911,-3.042971847988542
NDUFS4,0.1937131540015531,-2.835538612543911,-3.029251766545464
Dpep1,0.18683960492160212,-2.835538612543911,-3.022378217465513
ALDH18A1,0.1862398166474768,-2.835538612543911,-3.0217784291913876
LCP1,0.1737630494064173,-2.835538612543911,-3.009301661950328
Ctsl,0.17074263140074253,-2.835538612543911,-3.0062812439446533
CD9,0.16868488115626912,-2.835538612543911,-3.00422349370018
COL6A3,0.14904516795604072,-2.835538612543911,-2.9845837804999515
FTMT,0.1451393138712147,-2.835538612543911,-2.9806779264151255
ITCH,0.11652350223100516,-2.835538612543911,-2.952062114774916
EIF4E,0.11294682365420528,-2.835538612543911,-2.948485436198116
Pla2g7,0.11206023922694675,-2.835538612543911,-2.9475988517708576
Lman2,0.10831350946558427,-2.835538612543911,-2.943852122009495
LRP2,0.09999018693458472,-2.835538612543911,-2.9355287994784955
SQRDL,0.09837563832904062,-2.835538612543911,-2.9339142508729514
COL14A1,0.09736326716749799,-2.835538612543911,-2.932901879711409
FGF1,0.09691677597784576,-2.835538612543911,-2.9324553885217566
Serpina10,0.09189285792107471,-2.835538612543911,-2.9274314704649855
RPL26,0.09134024305668786,-2.835538612543911,-2.9268788556005987
POLR2A,0.07883424705455067,-2.835538612543911,-2.9143728595984615
Cd151,0.0667229480393301,-2.835538612543911,-2.902261560583241
CTNND1,0.0660437699324734,-2.835538612543911,-2.9015823824763842
Hapln2,0.06482674754386775,-2.835538612543911,-2.9003653600877786
RBSN,0.06447674423355565,-2.835538612543911,-2.9000153567774665
NDUFS7,0.06363948734138791,-2.835538612543911,-2.8991780998852987
MRPS28,0.06308035259689992,-2.835538612543911,-2.8986189651408107
DCAF5,0.055535524188122576,-2.835538612543911,-2.8910741367320334
Erap1,0.05332195350156521,-2.835538612543911,-2.888860566045476
RPS6KA2,0.04643127645628908,-2.835538612543911,-2.8819698890002
