Protein,RF_Importance
F2,0.05444373307527745
LAMB2,0.03806772532519192
COL1A1,0.023178136945812583
SERPINC1,0.01638796085410432
FGB,0.016342744063537515
F13A1,0.015319077382075965
ELN,0.0136511898815464
FGG,0.013493688718838808
HAPLN1,0.013228265360770292
SERPINA4,0.012342110104864565
LOXL2,0.012215380741177383
HMCN1,0.011866303928703274
THBS2,0.01149598755799949
P4HA1,0.011203884385339556
PRELP,0.011047864231288545
HTRA1,0.010905280197082643
FGFBP2,0.01081229163111047
DCN,0.010658005944370242
THBS3,0.010606189519991597
PAPLN,0.010433498027762516
MFGE8,0.010180139527731166
PRG2,0.010020022334227788
LOX,0.00970025879003829
MXRA5,0.009567410091583916
ITIH6,0.009329092761855309
CHRD,0.009321706761268261
NID2,0.009210195094265686
COL2A1,0.008920658642056559
A2M,0.008674832189258129
ITIH2,0.008360352764070034
AEBP1,0.008329545809486253
INHBA,0.008307172725854642
EMILIN3,0.008260868030593312
COL11A2,0.008079021982610608
FGA,0.008016547859215396
CTSD,0.007990992253428137
FBN1,0.007906693192613716
SERPINA1,0.00786698634751773
ABI3BP,0.007817739211836745
TIMP3,0.007526349097360234
SERPINB5,0.0074496409167269795
HPX,0.007434771720585667
MATN3,0.007324570966165234
LGALS3,0.00730926948436634
CCL21,0.0070514258629855294
SLPI,0.006932559054389091
PLG,0.006892105679090374
COL28A1,0.00661647836202555
LTBP3,0.0065371494392569745
ECM1,0.0064846520786717415
ITIH1,0.006464065026998633
FN1,0.006441721803819718
FCN3,0.006315468709760173
ANXA2;ANXA2P2,0.006278081570668366
PCOLCE,0.0062713491940412916
SEMA3A,0.00616170535723767
VIT,0.006144672855073342
CTHRC1,0.006008834561181179
OMD,0.005945267642354716
COL9A1,0.005833766287414509
LAMA4,0.00568612671923655
SERPINB6,0.005623715607366134
FBN3,0.005545867688675577
LTBP2,0.005463383269667134
VWF,0.005435335420285395
HRG,0.005252838934054066
COL4A6,0.005229958372026946
AGRN,0.005092342743927191
COL12A1,0.005023366020362143
SERPINF1,0.0050094963740388845
EMILIN1,0.004995079542792951
F10,0.004980642876977466
FBLN7,0.004845581341334539
SERPINA3,0.004828933857964909
CTSB,0.004769416919540054
SRPX2,0.004731821104647082
ITIH4,0.004610961946161517
ANXA1,0.00455776949901368
SERPINB8,0.0045423708205523106
C1QA,0.004494818150530785
FNDC1,0.004463252390284381
ANXA11,0.004433469475258111
SERPINA6,0.00439519535249286
COL18A1,0.004348953218120063
HAPLN3,0.004334593002312079
LUM,0.004307511261754666
FBLN2,0.004268581283570114
TNXB,0.004185157450182215
IGFBP7,0.004116139055593665
SPARC,0.004060675403959714
FMOD,0.004037302732167878
ANXA6,0.003979356103693609
COL14A1,0.003975120760458958
ITIH5,0.0039462978727672
COMP,0.00392278889568571
CSPG4,0.003889146791028344
PLOD1,0.003810345011195911
LOXL3,0.0036926908421967635
SPON2,0.003478646396300411
SPP1,0.0033958807646620025
CPAMD8,0.0033578851789761114
IGLV1-47,0.0033333333333333335
MFAP2,0.0033333333333333335
IGFBP5,0.0033333143375847037
F12,0.0033285020406502853
C1QC,0.0033192924228749136
CILP2,0.003317344827830677
THBS4,0.003284066797753301
PLXDC2,0.0032779055721351064
SMOC1,0.003266467657607422
TIMP1,0.0031924813576636878
ADAM10,0.0031413389208078068
OGN,0.003131888631087265
COL6A1,0.0030892883505097344
MMP14,0.0030826991664343315
TGFB1,0.002961936426596984
S100A10,0.0029535072420786117
CLEC11A,0.002950047925178817
