Gene_Symbol,Mean_Zscore_Delta,Std,N_Measurements,N_Studies,N_Tissues,Consistency_%
Col14a1,-1.1321262958691234,0.40111588024838984,7,4,7,100.0
Fbn2,-0.9096908665526113,0.9932705984193124,6,3,6,83.33333333333334
TNXB,-0.881020978236574,0.5531500223883751,6,4,6,100.0
Pcolce,-0.8249345752651845,0.8354528957259115,8,5,8,87.5
EMILIN3,-0.7878585169964121,0.4552671193104349,5,3,5,100.0
TGM3,-0.6682555768113926,0.6532621026762888,4,4,5,80.0
Serpinf1,-0.610669676941451,0.6476871528842686,8,4,8,87.5
Eln,-0.6035438442270636,0.5636569597758507,6,4,6,83.33333333333334
Serpinh1,-0.5734625551659356,0.47795110841283356,10,6,10,100.0
COL21A1,-0.5664816898463471,0.5382320446616597,4,3,4,75.0
EMILIN2,-0.5549444325649479,0.14730093291841892,4,4,5,80.0
CD109,-0.5215845234201114,0.47417159673165993,5,3,5,100.0
