Gene,N_Studies,N_Declining,Consistency,Avg_Zscore_Delta,N_Tissues,Matrisome_Category
Col14a1,4,4,1.0,-0.9272798679963796,7,Collagens
TNXB,4,4,1.0,-0.7518632420641203,6,ECM Glycoproteins
LAMB1,5,4,0.8,-0.5935404853438092,8,ECM Glycoproteins
SERPINH1,5,5,1.0,-0.49724772303816894,8,ECM Regulators
Ltbp4,5,5,1.0,-0.48588294477380545,6,ECM Glycoproteins
Fbln5,6,6,1.0,-0.4762720512547194,9,ECM Glycoproteins
Serpinh1,6,6,1.0,-0.4284922700687772,10,ECM Regulators
VWA1,4,4,1.0,-0.392392012388903,7,ECM Glycoproteins
Pcolce,5,4,0.8,-0.3897551234395414,8,ECM Glycoproteins
COL14A1,5,4,0.8,-0.37699275567661755,8,Collagens
Pxdn,5,5,1.0,-0.3696958138214058,7,ECM Glycoproteins
NID2,5,4,0.8,-0.3668105186199234,8,ECM Glycoproteins
AEBP1,5,4,0.8,-0.3557084685681734,8,ECM Glycoproteins
COL5A1,5,4,0.8,-0.3452761598495408,8,Collagens
COL5A2,5,4,0.8,-0.3408893886409398,8,Collagens
COL12A1,5,4,0.8,-0.3028963381126488,8,Collagens
COL3A1,5,5,1.0,-0.2922057959030703,8,Collagens
ANXA11,5,4,0.8,-0.28885050272333945,8,ECM-affiliated Proteins
ANXA7,5,4,0.8,-0.2711605784164453,8,ECM-affiliated Proteins
Lgals9,5,5,1.0,-0.2686754309316589,5,ECM-affiliated Proteins
Sparc,5,5,1.0,-0.264631015272769,9,ECM Glycoproteins
AGRN,5,4,0.8,-0.2615071688585925,8,ECM Glycoproteins
LGALS3,5,4,0.8,-0.2603981135555804,8,ECM-affiliated Proteins
COL6A3,5,5,1.0,-0.24449905505065833,8,Collagens
TNC,4,4,1.0,-0.22650471088015106,7,ECM Glycoproteins
Emilin2,4,4,1.0,-0.21334547619451272,4,ECM Glycoproteins
LAMA4,5,5,1.0,-0.1893145063811267,8,ECM Glycoproteins
S100A11,4,4,1.0,-0.18525750358634308,7,Secreted Factors
Cspg4,4,4,1.0,-0.18390382315354656,5,ECM-affiliated Proteins
VCAN,5,4,0.8,-0.18035682194073596,8,Proteoglycans
NID1,5,4,0.8,-0.1781539652720943,8,ECM Glycoproteins
Lamb1,6,5,0.8333333333333334,-0.17113349172269035,10,ECM Glycoproteins
Igfbp7,4,4,1.0,-0.16713766814737963,5,ECM Glycoproteins
Col15a1,5,4,0.8,-0.16704957297838602,8,Collagens
Fbln1,5,5,1.0,-0.1503172998283148,8,ECM Glycoproteins
EMILIN1,5,4,0.8,-0.14881649446157166,8,ECM Glycoproteins
Emilin1,5,5,1.0,-0.14151619712315927,6,ECM Glycoproteins
COL6A2,5,4,0.8,-0.13719415332266874,8,Collagens
Efemp1,5,4,0.8,-0.13057305008471817,7,ECM Glycoproteins
Lama4,6,5,0.8333333333333334,-0.12777571925370917,10,ECM Glycoproteins
Anxa11,5,5,1.0,-0.12330475362930834,6,ECM-affiliated Proteins
Nid2,6,5,0.8333333333333334,-0.12086582795299954,10,ECM Glycoproteins
Anxa7,5,5,1.0,-0.11923001263804019,6,ECM-affiliated Proteins
Plxnb2,5,4,0.8,-0.11801216528560228,6,ECM-affiliated Proteins
Mmrn2,5,4,0.8,-0.11674596038171958,7,ECM Glycoproteins
Sparcl1,5,4,0.8,-0.11177245639857096,7,ECM Glycoproteins
HSPG2,5,4,0.8,-0.10662295983660904,8,Proteoglycans
Fbn1,5,4,0.8,-0.10320404388382665,8,ECM Glycoproteins
Anxa3,4,4,1.0,-0.09473716659399244,5,ECM-affiliated Proteins
Ngly1,5,4,0.8,-0.08444672898846481,6,ECM Regulators
ANXA4,5,4,0.8,-0.08068125173823552,8,ECM-affiliated Proteins
Hcfc1,5,4,0.8,-0.07442562339572598,6,Secreted Factors
Ecm1,5,4,0.8,-0.06901946059789589,8,ECM Glycoproteins
S100a11,5,4,0.8,-0.051422843412997056,6,Secreted Factors
Anxa6,5,4,0.8,-0.04595518880993378,6,ECM-affiliated Proteins
Itih5,6,5,0.8333333333333334,-0.04231566369938288,9,ECM Regulators
Ltbp1,5,4,0.8,-0.03811520291997771,6,ECM Glycoproteins
Cst3,5,4,0.8,-0.028171216913109854,9,ECM Regulators
