Tissue,Brain_Cortex,Brain_Hippocampus,Heart_Decellularized_Tissue,Heart_Native_Tissue,Intervertebral_disc_IAF,Intervertebral_disc_NP,Intervertebral_disc_Nucleus_pulposus,Intervertebral_disc_OAF,Kidney_Glomerular,Kidney_Tubulointerstitial,Lung,Ovary,Ovary_Cortex,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,Skeletal_muscle_TA,Skin dermis
Brain_Cortex,,,,,,,,,,,,,,,,,,
Brain_Hippocampus,,,,,,,,,,,,,,,,,,
Heart_Decellularized_Tissue,,,1.0,,,,,,,,,,,,,0.7256909487168641,0.843923791079362,
Heart_Native_Tissue,,,,1.0,0.1629235646291516,0.1366738410976671,,0.13574074655702592,-0.21430803729694023,0.24470816994397898,,,0.23226779802529238,,,0.9402573227926998,0.8280368759071259,0.6472498260156238
Intervertebral_disc_IAF,,,,0.1629235646291516,1.0,0.9294540543623359,,0.7912239556093178,0.4470224392240698,-0.44457600393905733,,,0.31396635935095935,,,,,0.22183728815063564
Intervertebral_disc_NP,,,,0.1366738410976671,0.9294540543623359,1.0,,0.8390681080905583,0.4111332239583349,-0.2959542535999794,,,0.3064360934277376,,,,,0.178135512356566
Intervertebral_disc_Nucleus_pulposus,,,,,,,,,,,,,,,,,,
Intervertebral_disc_OAF,,,,0.13574074655702592,0.7912239556093178,0.8390681080905583,,1.0,0.028997031664503185,-0.2806695971947432,,,0.45194339290873337,,,,,0.17216157603465831
Kidney_Glomerular,,,,-0.21430803729694023,0.4470224392240698,0.4111332239583349,,0.028997031664503185,1.0,-0.2202299183202436,,,-0.07345706863033608,,,,,-0.31755397576232997
Kidney_Tubulointerstitial,,,,0.24470816994397898,-0.44457600393905733,-0.2959542535999794,,-0.2806695971947432,-0.2202299183202436,1.0,,,-0.06528806563411774,,,,,0.4426684652424123
Lung,,,,,,,,,,,,,,,,,,
Ovary,,,,,,,,,,,,,,,,,,
Ovary_Cortex,,,,0.23226779802529238,0.31396635935095935,0.3064360934277376,,0.45194339290873337,-0.07345706863033608,-0.06528806563411774,,,1.0,,,,,0.307381320033104
Skeletal_muscle_EDL,,,,,,,,,,,,,,1.0,,0.6781850787171712,-0.17076058479561998,
Skeletal_muscle_Gastrocnemius,,,,,,,,,,,,,,,,,,
Skeletal_muscle_Soleus,,,0.7256909487168641,0.9402573227926998,,,,,,,,,,0.6781850787171712,,1.0,0.7946966140696167,
Skeletal_muscle_TA,,,0.843923791079362,0.8280368759071259,,,,,,,,,,-0.17076058479561998,,0.7946966140696167,1.0,
Skin dermis,,,,0.6472498260156238,0.22183728815063564,0.178135512356566,,0.17216157603465831,-0.31755397576232997,0.4426684652424123,,,0.307381320033104,,,,,1.0
