Tissue,AMBP,CILP,CXCL10,Col14a1,Ctsf,ELN,EMILIN3,Eln,FGA,FGB,FGG,Fbn2,HPX,HRG,IGFALS,ITIH1,ITIH2,ITIH4,KNG1,PLG,Pcolce,SERPINA4,SERPINA6,SERPINC1,SERPIND1,SERPINF2,Serpinf1,TIMP3,TNXB,VTN
Brain_Cortex,,,,,0.0500244123766719,,,,,,,,,,,,,,,,,,,,,,-0.0991147402882943,,,
Brain_Hippocampus,,,,,-0.0073985390258923,,,,,,,,,,,,,,,,,,,,,,-0.0209285893156889,,,
Heart_Decellularized_Tissue,,,,-1.173447628965376,2.1424854320950724,,,-1.3042418142140897,,,,-2.3443563235579807,,,,,,,,,-0.2643176315069599,,,,,,,,,
Heart_Native_Tissue,0.564914086075085,1.5220422364011426,0.6000505632934301,-0.6019691833869578,0.6986502821063806,1.5146967216345977,-0.6208183488962105,0.1000222661371798,0.4907371115520871,0.7531559820111289,0.55213664417412,,1.5096337114795673,0.012340107900977,0.2163968585525565,0.2318433677112791,0.2511965449163372,0.5687766722020848,0.9996591427216076,-0.1936952123649446,-0.0308216211151972,0.3864346680960588,1.9633177270478752,0.8594336702945197,0.6131491723514759,-0.0001394121127209,-0.1700859549236735,3.141208179502989,-0.5886529380411529,1.18184154195977
Intervertebral_disc_IAF,1.4225700367124885,0.4037232462689619,0.9020837180787484,,,,-0.3763600949500151,,2.352679305821766,2.083182129127694,2.2223187273005296,,2.3556691905136984,1.7716592679474483,1.10628690763917,1.822258103778506,1.8858632515071616,1.5085127073721951,,2.66376640893791,,1.3826674659106668,0.8316482587860758,2.497594082720548,1.963751163149516,1.394018439909521,,0.907393033140784,-1.361261058529664,2.700568719284795
Intervertebral_disc_NP,1.824255517257539,0.3849830442353699,2.2360125532026727,,,,-1.1123552232586236,,2.904223006672848,2.600559644634628,2.890338500031436,,2.716973940858929,1.992320899433622,1.720194580051488,2.511990422314238,2.5172699438646413,2.980537654685698,2.247276526768217,2.5741242986134667,,2.4556224647127616,1.283086106752776,3.0125885630073665,,1.9497515823107792,,0.6478449233496578,-1.720048086454533,2.9147790715506203
Intervertebral_disc_Nucleus_pulposus,,1.8289140118965357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intervertebral_disc_OAF,0.2923165732860742,0.2156841746705549,1.128390322230378,,,,-0.4177514679561624,,1.3621161344017438,1.2802741874221053,1.3490565064585789,,0.9874802816704592,1.007890880586298,1.06405982791063,0.893937704623067,1.3939700558389845,1.790378470466483,0.9200468490250372,1.867780712776438,,0.973648211001446,0.7249031670189638,0.8722177335094984,1.431689852490747,1.36849903749794,,1.030801626177056,-0.336700206760248,1.4034545904930198
Kidney_Glomerular,-0.0555839436186542,,-0.0821791252917975,,,-0.054602414966508056,,,0.2839642276739732,0.0576800282848828,0.0408306808553275,,-0.1185419426774426,-0.2217190106967522,-0.2296071213726405,0.3257405743940534,,-0.29227101867218597,0.8696873097905625,-0.1010911231709834,,-0.0253470584961145,,0.0787183043655028,0.8748932167784537,0.1880437592662553,,-0.5376416720368191,,0.4171460700207978
Kidney_Tubulointerstitial,0.1739557402257548,,0.532513846385533,,,0.710741255580011,,,-0.03311649848444344,0.2883359185917086,-0.3016536039523329,,0.38233128366972,-0.0432233767658438,-0.1754866668159841,0.2527202501581722,,-0.20437638328480826,-0.3259970330787728,-0.1913602311477608,,0.0386021922143935,,-0.4233930393857361,0.107532076050286,-0.0589087164935024,,0.1391028831710835,,-0.4304180663457554
Lung,,,,-0.5284477932670698,,,,-0.0411937502073421,,,,,,,,,,,,,-0.1836978438760178,,,,,,0.003333862038217,,,
Ovary,,,,,0.1869953308084793,,,,,,,-0.2687885312893496,,,,,,,,,0.0802951409417245,,,,,,,,,
Ovary_Cortex,-0.0864661592455726,,,,,,,,0.062363402424954,-0.0323990238442088,0.4215569238604847,,0.6538258124963177,0.5754222565995448,,0.3550071221378061,,0.5798955351333068,-0.0446407945855935,0.2899869059713602,,,,-0.981038801977502,0.0078268577095009,0.6400139731745711,,,-0.4194222403052501,1.766139652316271
Skeletal_muscle_EDL,,,,-1.464328858586258,,,,-1.137670546947051,,,,-0.5930954597975421,,,,,,,,,-1.9709283032828968,,,,,,-1.810543632908084,,,
Skeletal_muscle_Gastrocnemius,,,,-1.4782751355876875,,,,,,,,0.0340652611761245,,,,,,,,,-1.537692649408618,,,,,,-0.874990452225282,,,
Skeletal_muscle_Soleus,,,,-1.3725164283744398,1.2546800981363206,,,-0.6356820819766298,,,,-0.3171064565715736,,,,,,,,,-0.9304239696057678,,,,,,-0.8968747885276493,,,
Skeletal_muscle_TA,,,,-1.3058990429160748,1.11687022686786,,,-0.6024971381544493,,,,-1.968863689275347,,,,,,,,,-1.7618897242677432,,,,,,-1.0161531193811533,,,
Skin dermis,0.8075685120329353,,,,,2.380084504975701,-1.412007449921049,,-0.5987056467640957,0.1262066609658161,-0.1616484052814364,,-0.4467961688780865,-0.0288576335497634,,-0.9028767376227252,-1.3278407558203753,-0.5222143202015489,-0.096907312191691,-0.2370964608840878,,-0.0939524802338019,0.139100424477789,-0.3818156854818711,-0.5075333970691583,-0.4293993144286291,,1.237967176507091,-0.8600413393285962,0.5977770670716107
