Protein,Grand_Mean_Zscore,Total_Variance,Universal_Component,Tissue_Specific_Component,N_Tissues
AMBP,0.6179412953407062,0.48491036028988077,0.7874681090729387,0.21253189092706126,8
CILP,0.8710693426945129,0.5563635251298047,1.3637878212904497,0.0,5
CXCL10,0.8861453129831608,0.6051271762417099,1.297666914579895,0.0,6
Col14a1,-1.1321262958691236,0.16089394938744064,7.966178682778934,0.0,7
Ctsf,0.7774724633378417,0.6177096184945675,0.9785559640818958,0.021444035918104176,7
ELN,1.1377300168059503,1.0965082002981925,1.1805015145251547,0.0,4
EMILIN3,-0.7878585169964121,0.20726814992522175,2.9947729211059664,0.0,5
Eln,-0.6035438442270636,0.31770916830375506,1.1465365442526851,0.0,6
FGA,0.8530326304123542,1.5269353066993883,0.4765523891913499,0.5234476108086501,8
FGB,0.8946244408992193,1.0013604943192853,0.7992654940899308,0.20073450591006925,8
FGG,0.8766169966808385,1.366629874176589,0.5623010102371266,0.43769898976287336,8
Fbn2,-0.9096908665526114,0.9865864816842592,0.8387885786520243,0.16121142134797573,6
HPX,1.0050720136416453,1.2701746244824308,0.7952999006079927,0.20470009939200728,8
HRG,0.6332291739319413,0.7570361508736398,0.5296698001222111,0.4703301998777889,8
IGFALS,0.6169740643275367,0.6323128114230292,0.6020074070556395,0.3979925929443605,6
ITIH1,0.6863276009367996,1.1180603922539234,0.4213060216345481,0.5786939783654519,8
ITIH2,0.94409180806135,2.301498689249497,0.3872734519519534,0.6127265480480466,5
ITIH4,0.8011549147126531,1.46993748185705,0.43665067752225506,0.5633493224777449,8
KNG1,0.6527320983499098,0.797942659726941,0.5339471289353991,0.4660528710646009,7
PLG,0.8340519123414247,1.6956992233164851,0.4102393767214417,0.5897606232785584,8
Pcolce,-0.8249345752651845,0.697981540976811,0.9749785825504507,0.025021417449549332,8
SERPINA4,0.7310964947436301,0.8847697801263196,0.604114309317969,0.39588569068203106,7
SERPINA6,0.9884111368166959,0.4631539834380003,2.1093558736800815,0.0,5
SERPINC1,0.6917881033815408,2.0397383437648458,0.2346236130938774,0.7653763869061226,8
SERPIND1,0.6416155630658317,0.739160892276694,0.5569430621529439,0.44305693784705613,7
SERPINF2,0.6314849186405267,0.7228935726006572,0.5516347323933449,0.44836526760665507,8
Serpinf1,-0.610669676941451,0.41949864801132986,0.888959847912798,0.11104015208720197,8
TIMP3,0.9380965928302633,1.3089333946959758,0.6723223817543069,0.3276776182456931,7
TNXB,-0.881020978236574,0.30597494726825974,2.5368023461489733,0.0,6
VTN,1.318911080793891,1.2964411997215286,1.3417704091898304,0.0,8
