Protein,Variance,Range,CV,N_Observations,N_Tissues,N_Studies,Matrisome_Category
Serpina1d,0.10001396533082924,1.0566251045815749,85.92351979432193,9,9,5,ECM Regulators
LMAN1,0.17176497354037112,0.9063998007306442,69.72624718540355,5,5,4,ECM-affiliated Proteins
Prelp,0.06834412822995432,0.8249436038772886,58.880658177732,10,10,6,Proteoglycans
COL7A1,0.40639755597602933,1.7046087733578215,50.9907717900448,6,6,3,Collagens
Ctsh,0.10418862278389383,1.0308749594437283,48.07602647038619,8,8,5,ECM Regulators
Col1a2,0.2166213024924695,1.4213033856861323,44.758411237728176,10,10,6,Collagens
FNDC1,0.8575799194036974,2.2533149081800103,40.795776079481655,5,5,2,ECM Glycoproteins
Vcan,0.02028804445795994,0.3892713200510317,38.77805775208286,6,6,5,Proteoglycans
MFGE8,0.05097121499155399,0.6603136739016774,34.39281725628364,7,7,4,ECM Glycoproteins
Col5a2,0.28923709970184347,1.656427016549404,30.580333146889636,8,8,5,Collagens
S100A8,0.24153523131056912,1.291953007162307,28.545501048310385,6,6,5,Secreted Factors
Col6a6,0.2755239975224425,1.468312084520511,26.633241569901493,8,8,5,Collagens
COL6A6,0.14262382071770466,0.8461318676580214,26.382635346041187,5,5,4,Collagens
MFAP4,1.1325535965801588,2.917140997847203,25.809572424533638,5,5,4,ECM Glycoproteins
DPT,0.0711731675270459,0.8608655003835697,25.294330008553352,8,8,5,ECM Glycoproteins
Nid1,0.0373550034670822,0.7323167371653778,22.26550669156232,10,10,6,ECM Glycoproteins
Col2a1,0.8266715837927491,2.5008960184069453,21.873702053509124,6,6,3,Collagens
Lum,0.09012678895940944,1.0739728202776366,18.929252948282034,10,10,6,Proteoglycans
COL8A1,0.6693687999930261,2.418771206099334,18.843127006932356,6,6,3,Collagens
Adam10,0.00931068019876337,0.2920996238944748,18.177406300008258,7,7,5,ECM Regulators
Serpinb8,0.023511166849306042,0.4995428916880896,17.32147161923235,9,6,5,ECM Regulators
Fgb,0.07968353532923181,0.9495014100018953,17.073769945673035,10,10,6,ECM Glycoproteins
