Gene,Degree,Betweenness,PageRank,Degree_Norm,Betweenness_Norm,PageRank_Norm,Consensus_Score,N_Tissues,Direction_Consistency,Universality_Score,Predominant_Direction
FN1,69,58.32352941176471,0.022010602709305313,1.0,1.0,1.0,1.0,,,,
ALB,55,43.0,0.017689902683359862,0.7971014492753623,0.7372667675239536,0.8036991497684518,0.7811303548978665,,,,
VTN,44,34.139534883720934,0.01304902251166238,0.6376811594202898,0.5853475471742369,0.592851667171554,0.6085322280718533,10.0,0.8,0.7324036983679243,UP
APOE,41,33.7,0.013890382038096245,0.5942028985507246,0.5778113968734241,0.6310768597092472,0.6003476363950913,,,,
ITGB1,39,30.736842105263158,0.013400815208701353,0.5652173913043478,0.5270058656474772,0.6088345415019443,0.5668390786665656,,,,
COL1A2,38,26.486486486486488,0.01101964011249295,0.5507246376811594,0.4541303784874133,0.5006514477604119,0.5067244029468113,10.0,0.7,0.5844395036567439,DOWN
APOA1,34,21.575757575757574,0.010125632434801182,0.4927536231884058,0.3699323033664939,0.46003431021543173,0.44609143334994006,,,,
F2,32,20.64516129032258,0.009252609416642694,0.463768115942029,0.35397654254713445,0.4203705613536432,0.4178113775470449,13.0,0.7857142857142857,0.717327746739094,UP
MMP9,30,22.20689655172414,0.009420444431536858,0.43478260869565216,0.3807536473820578,0.4279957507730683,0.41653786292479866,5.0,0.8,0.4187710338061745,UP
A2M,32,19.41935483870968,0.009184314291552077,0.463768115942029,0.3329591853333984,0.4172677328671818,0.41057532183698564,9.0,0.7777777777777778,0.6371054398052524,UP
TGFB1,28,20.666666666666668,0.01024546147037149,0.4057971014492754,0.3543452681122878,0.4654784607983528,0.4082659592529023,4.0,0.75,0.4541933126505576,UP
CLU,29,19.57142857142857,0.00927217252181977,0.42028985507246375,0.3355666018298393,0.42125936505590644,0.39516373209470923,,,,
APOH,30,17.034482758620687,0.008730621972601955,0.43478260869565216,0.29206879162536725,0.3966552887218737,0.38053026758243313,,,,
AHSG,30,16.20689655172414,0.008543440153702567,0.43478260869565216,0.2778792147042969,0.38815112273553054,0.3737221447102091,,,,
COL6A1,29,17.28571428571429,0.008224606756026362,0.42028985507246375,0.2963763417621209,0.3736656767035864,0.3691285475686977,10.0,0.8,0.6355084687580133,DOWN
COL4A2,29,16.92857142857143,0.008275232824009493,0.42028985507246375,0.2902528636265399,0.3759657531100234,0.36798152704995446,,,,
COL4A1,29,16.357142857142858,0.0081323560732312,0.42028985507246375,0.28045529860961027,0.3694744837583718,0.36309487673938007,,,,
SDC1,25,19.0,0.008125306450904772,0.36231884057971014,0.3257690368129097,0.36915420073752353,0.353404507497014,4.0,0.75,0.3217083510139247,UP
ELN,24,17.913043478260867,0.00852713023517812,0.34782608695652173,0.30713236422635876,0.3874101199224839,0.3474931800272615,,,,
FGA,28,14.592592592592592,0.007962522324401219,0.4057971014492754,0.25020078071011,0.3617584865604313,0.34590662076087253,10.0,0.8333333333333334,0.687314233781326,UP
BGN,25,16.333333333333332,0.0076819836797477606,0.36231884057971014,0.28004706673390484,0.34901287262343283,0.3336455180390854,,,,
COL5A2,26,15.040000000000001,0.0074238220403430935,0.37681159420289856,0.2578719112455875,0.3372839053246171,0.3292713826522208,10.0,0.8333333333333334,0.6581094512542285,DOWN
COL5A1,25,14.416666666666666,0.007200298290626927,0.36231884057971014,0.24718440073962009,0.32712862913030966,0.317221445192863,10.0,0.8,0.6518510970786213,DOWN
VWF,23,16.0,0.007315887872176239,0.3333333333333333,0.2743318204740292,0.33238017008427206,0.31534693050082374,,,,
HSPG2,22,15.523809523809524,0.007896349433930722,0.3188405797101449,0.2661671829599212,0.35875207681579846,0.31501200981677385,,,,
C3,23,14.90909090909091,0.007240837388361593,0.3333333333333333,0.2556273781689818,0.3289704277520951,0.3087126751096564,6.0,0.75,0.509534631287705,DOWN
ITGA6,24,13.652173913043477,0.006904564518489275,0.34782608695652173,0.23407660768707927,0.31369266029095455,0.3034612151760189,,,,
ITGB4,24,12.956521739130434,0.006838731893080499,0.34782608695652173,0.2221491372316867,0.3107017096896362,0.29898568885900556,,,,
HSPA8,18,14.0,0.00898631913629879,0.2608695652173913,0.24004034291477558,0.40827228835944995,0.29884161546922416,,,,
APOA2,24,11.91304347826087,0.007076880730542733,0.34782608695652173,0.20425793154859784,0.32152144237062963,0.29686424695837693,,,,
FGG,25,10.999999999999998,0.006886583503768424,0.36231884057971014,0.18860312657589506,0.3128757351499974,0.2953711947496518,10.0,0.8,0.6852734941217447,UP
HP,23,12.727272727272728,0.0068864821747044724,0.3333333333333333,0.2182184935588869,0.3128711315021423,0.29266022085164206,,,,
COL6A2,24,11.65217391304348,0.006796993103497658,0.34782608695652173,0.19978513012782567,0.30880540588850514,0.2917075955875079,10.0,0.7,0.5653561873131853,DOWN
SERPINC1,24,11.739130434782608,0.00668650981867473,0.34782608695652173,0.2012760639347497,0.3037858575243788,0.29064901122034725,10.0,0.7,0.640171612661641,UP
HPX,23,11.09090909090909,0.006700099022612267,0.3333333333333333,0.1901618301013157,0.30440325106498334,0.28170285768322306,9.0,0.7777777777777778,0.6928774071591087,UP
CALR,17,13.875,0.00799142352698867,0.2463768115942029,0.23789712556732223,0.363071544770111,0.2788413257389111,,,,
ANXA2,15,13.0,0.00835262051457095,0.21739130434782608,0.22289460413514875,0.3794816809373309,0.2676694072608743,,,,
SPP1,19,12.777777777777779,0.006361559739060178,0.2753623188405797,0.21908443996189836,0.2890225144253198,0.26257701385239735,3.0,1.0,0.5686904568233411,DOWN
FGB,22,9.238095238095237,0.00610538960696958,0.3188405797101449,0.15839396777369544,0.2773840265804459,0.25826963019030036,10.0,0.9,0.7139220710691185,UP
HSP90AB1,15,10.714285714285715,0.008225857542762454,0.21739130434782608,0.1837043440674303,0.3737225032590702,0.25418457593708055,,,,
FGF2,17,11.25,0.006758267724851156,0.2463768115942029,0.1928895612708018,0.30704600933049403,0.24853139581806993,4.0,0.75,0.4318753119883536,DOWN
KNG1,20,9.578947368421053,0.005886793678576593,0.2898550724637681,0.16423812936274118,0.2674526343655216,0.24544925810398607,,,,
THBS2,19,9.666666666666668,0.005653991074858611,0.2753623188405797,0.1657421415363927,0.25687579524881893,0.23693030857179537,4.0,0.75,0.3441348703272902,UP
AMBP,20,8.0,0.005741132590485372,0.2898550724637681,0.1371659102370146,0.26083486519241117,0.23534226161433497,10.0,0.8,0.6741217454462766,UP
COL6A3,20,8.105263157894738,0.005680127625606974,0.2898550724637681,0.1389707248453964,0.25806324800027464,0.23505222083920857,10.0,1.0,0.6939486950312634,DOWN
HSPA5,15,10.857142857142858,0.006717637970626751,0.21739130434782608,0.1861537353216627,0.30520009194417785,0.2343626699188826,,,,
COL18A1,18,10.588235294117647,0.005445611848174001,0.2608695652173913,0.18154311649016638,0.2474085748625042,0.23303333349275768,,,,
TTR,19,8.222222222222221,0.005692735453223643,0.2753623188405797,0.140976074410265,0.2586360550143842,0.23002856636362662,,,,
COL11A1,18,9.647058823529411,0.005552421279290883,0.2608695652173913,0.16540595057992938,0.25226121031858495,0.2296479743565108,6.0,1.0,0.6439412979049308,DOWN
HRG,19,7.444444444444445,0.005354905094352605,0.2753623188405797,0.1276404998038886,0.24328752670133555,0.22142333548779913,10.0,0.7,0.6390128351612182,UP
NID1,17,9.375,0.0050039449172126545,0.2463768115942029,0.1607413010590015,0.2273424759557884,0.21497585774211814,,,,
COL14A1,15,9.714285714285714,0.005252770167055323,0.21739130434782608,0.16655860528780345,0.23864726633926456,0.20851828322725086,9.0,0.8888888888888888,0.6673142501728826,DOWN
ORM1,18,5.647058823529411,0.005159573116985665,0.2608695652173913,0.09682299546142208,0.23441307742129106,0.20371864795177047,,,,
LAMC1,17,6.875,0.004980646408574053,0.2463768115942029,0.11787695410993443,0.22628396297700698,0.2017989997637636,,,,
CD34,14,8.923076923076923,0.005202182629752347,0.2028985507246377,0.15299274603359322,0.23634894048371724,0.19796192624504821,,,,
LAMB1,17,6.25,0.0048781988258067965,0.2463768115942029,0.10716086737266767,0.22162949784852845,0.19718783420403999,10.0,0.8,0.6354726479343055,DOWN
CST3,14,9.384615384615385,0.004894157920544942,0.2028985507246377,0.16090616393188253,0.22235456180742671,0.19613763801164785,,,,
COL15A1,15,7.2857142857142865,0.004589822478975939,0.21739130434782608,0.1249189539658526,0.20852779633496918,0.18699054682937696,,,,
CTSD,10,8.444444444444445,0.006074399398321991,0.14492753623188406,0.14478623858351544,0.2759760592904595,0.1841997038549461,8.0,0.75,0.594412085150038,UP
SPARC,14,7.538461538461538,0.004541799923101751,0.2028985507246377,0.1292524923387253,0.20634600438186262,0.18183896930603144,7.0,0.7142857142857143,0.4209767954046132,DOWN
POSTN,14,7.384615384615385,0.004462048221460892,0.2028985507246377,0.12661468637262888,0.20272267326757454,0.1799606281819161,,,,
MMP3,13,8.5,0.00443429618484133,0.18840579710144928,0.14573877962682802,0.20146182471262652,0.17952250014241608,3.0,1.0,0.546216566619678,UP
ASPN,11,9.0,0.004902112479970806,0.15942028985507245,0.15431164901664143,0.22271595851840825,0.1768763982025439,,,,
CTSB,11,8.4,0.004828275220774432,0.15942028985507245,0.14402420574886535,0.21936133619517859,0.17278377852524215,,,,
SERPIND1,15,5.000000000000001,0.00435588496651166,0.21739130434782608,0.08572869389813415,0.19789939530688744,0.1720449485006369,8.0,0.875,0.6536011142593741,UP
GPC1,12,7.454545454545455,0.004655896661313319,0.17391304347826086,0.1278136890844909,0.2115297215075791,0.17136824056892533,6.0,0.8333333333333334,0.5662465842523341,DOWN
SERPINH1,14,5.6923076923076925,0.004394018019915921,0.2028985507246377,0.0975988207455681,0.19963188095972872,0.17032863080144411,10.0,0.7,0.5950311439035448,DOWN
CTSS,11,8.200000000000001,0.004551706519389955,0.15942028985507245,0.14059505799294,0.20679608729958368,0.16798545952978608,,,,
CFH,11,8.4,0.004420279095829786,0.15942028985507245,0.14402420574886535,0.20082499121939293,0.16722287503250644,,,,
GPX3,10,7.777777777777778,0.004931259788535632,0.14492753623188406,0.1333557460637642,0.22404019797471825,0.16518979770429837,,,,
SERPING1,12,7.454545454545455,0.003906224175763852,0.17391304347826086,0.1278136890844909,0.17747011416967864,0.1611503583675552,,,,
ADIPOQ,9,7.25,0.0050986884802608585,0.13043478260869565,0.1243066061522945,0.23164692705599157,0.1589599730059641,,,,
ACE,10,7.777777777777778,0.004455663152389361,0.14492753623188406,0.1333557460637642,0.20243258266188516,0.15870751311044845,,,,
LAMA4,14,3.8461538461538467,0.004214730427127651,0.2028985507246377,0.06594514915241088,0.19148637058202,0.15838887621018433,11.0,0.7272727272727273,0.621513476111835,DOWN
PECAM1,12,6.0,0.00423183358961633,0.17391304347826086,0.10287443267776096,0.19226341257012733,0.15810657096567082,,,,
SOD1,8,7.142857142857143,0.0053756366320239606,0.11594202898550725,0.1224695627116202,0.24422941538767265,0.15638650502399076,,,,
