Gene,Degree,Betweenness,PageRank,Degree_Norm,Betweenness_Norm,PageRank_Norm,Consensus_Score,N_Tissues,Direction_Consistency,Universality_Score,Predominant_Direction,Community
FN1,69,58.32352941176471,0.0220106027093053,1.0,1.0,1.0,1.0,,,,,0
ALB,55,43.0,0.0176899026833598,0.7971014492753623,0.7372667675239536,0.8036991497684518,0.7811303548978665,,,,,1
VTN,44,34.139534883720934,0.0130490225116623,0.6376811594202898,0.5853475471742369,0.592851667171554,0.6085322280718533,10.0,0.8,0.7324036983679243,UP,1
APOE,41,33.7,0.0138903820380962,0.5942028985507246,0.5778113968734241,0.6310768597092472,0.6003476363950913,,,,,1
ITGB1,39,30.73684210526316,0.0134008152087013,0.5652173913043478,0.5270058656474772,0.6088345415019443,0.5668390786665656,,,,,0
COL1A2,38,26.486486486486488,0.0110196401124929,0.5507246376811594,0.4541303784874133,0.5006514477604119,0.5067244029468113,10.0,0.7,0.5844395036567439,DOWN,0
APOA1,34,21.575757575757574,0.0101256324348011,0.4927536231884058,0.3699323033664939,0.4600343102154317,0.44609143334994,,,,,1
F2,32,20.64516129032258,0.0092526094166426,0.463768115942029,0.3539765425471344,0.4203705613536432,0.4178113775470449,13.0,0.7857142857142857,0.717327746739094,UP,1
MMP9,30,22.20689655172414,0.0094204444315368,0.4347826086956521,0.3807536473820578,0.4279957507730683,0.4165378629247986,5.0,0.8,0.4187710338061745,UP,0
A2M,32,19.41935483870968,0.009184314291552,0.463768115942029,0.3329591853333984,0.4172677328671818,0.4105753218369856,9.0,0.7777777777777778,0.6371054398052524,UP,1
TGFB1,28,20.666666666666668,0.0102454614703714,0.4057971014492754,0.3543452681122878,0.4654784607983528,0.4082659592529023,4.0,0.75,0.4541933126505576,UP,0
CLU,29,19.57142857142857,0.0092721725218197,0.4202898550724637,0.3355666018298393,0.4212593650559064,0.3951637320947092,,,,,1
APOH,30,17.034482758620687,0.0087306219726019,0.4347826086956521,0.2920687916253672,0.3966552887218737,0.3805302675824331,,,,,1
AHSG,30,16.20689655172414,0.0085434401537025,0.4347826086956521,0.2778792147042969,0.3881511227355305,0.3737221447102091,,,,,1
COL6A1,29,17.28571428571429,0.0082246067560263,0.4202898550724637,0.2963763417621209,0.3736656767035864,0.3691285475686977,10.0,0.8,0.6355084687580133,DOWN,0
COL4A2,29,16.92857142857143,0.0082752328240094,0.4202898550724637,0.2902528636265399,0.3759657531100234,0.3679815270499544,,,,,0
COL4A1,29,16.357142857142858,0.0081323560732312,0.4202898550724637,0.2804552986096102,0.3694744837583718,0.36309487673938,,,,,0
SDC1,25,19.0,0.0081253064509047,0.3623188405797101,0.3257690368129097,0.3691542007375235,0.353404507497014,4.0,0.75,0.3217083510139247,UP,0
ELN,24,17.913043478260867,0.0085271302351781,0.3478260869565217,0.3071323642263587,0.3874101199224839,0.3474931800272615,,,,,0
FGA,28,14.592592592592592,0.0079625223244012,0.4057971014492754,0.25020078071011,0.3617584865604313,0.3459066207608725,10.0,0.8333333333333334,0.687314233781326,UP,1
BGN,25,16.333333333333332,0.0076819836797477,0.3623188405797101,0.2800470667339048,0.3490128726234328,0.3336455180390854,,,,,0
COL5A2,26,15.04,0.007423822040343,0.3768115942028985,0.2578719112455875,0.3372839053246171,0.3292713826522208,10.0,0.8333333333333334,0.6581094512542285,DOWN,0
COL5A1,25,14.416666666666666,0.0072002982906269,0.3623188405797101,0.24718440073962,0.3271286291303096,0.317221445192863,10.0,0.8,0.6518510970786213,DOWN,0
VWF,23,16.0,0.0073158878721762,0.3333333333333333,0.2743318204740292,0.332380170084272,0.3153469305008237,,,,,1
HSPG2,22,15.523809523809524,0.0078963494339307,0.3188405797101449,0.2661671829599212,0.3587520768157984,0.3150120098167738,,,,,0
C3,23,14.90909090909091,0.0072408373883615,0.3333333333333333,0.2556273781689818,0.3289704277520951,0.3087126751096564,6.0,0.75,0.509534631287705,DOWN,1
ITGA6,24,13.652173913043477,0.0069045645184892,0.3478260869565217,0.2340766076870792,0.3136926602909545,0.3034612151760189,,,,,0
ITGB4,24,12.956521739130434,0.0068387318930804,0.3478260869565217,0.2221491372316867,0.3107017096896362,0.2989856888590055,,,,,0
HSPA8,18,14.0,0.0089863191362987,0.2608695652173913,0.2400403429147755,0.4082722883594499,0.2988416154692241,,,,,2
APOA2,24,11.91304347826087,0.0070768807305427,0.3478260869565217,0.2042579315485978,0.3215214423706296,0.2968642469583769,,,,,1
FGG,25,10.999999999999998,0.0068865835037684,0.3623188405797101,0.188603126575895,0.3128757351499974,0.2953711947496518,10.0,0.8,0.6852734941217447,UP,1
HP,23,12.727272727272728,0.0068864821747044,0.3333333333333333,0.2182184935588869,0.3128711315021423,0.292660220851642,,,,,1
COL6A2,24,11.65217391304348,0.0067969931034976,0.3478260869565217,0.1997851301278256,0.3088054058885051,0.2917075955875079,10.0,0.7,0.5653561873131853,DOWN,0
SERPINC1,24,11.739130434782608,0.0066865098186747,0.3478260869565217,0.2012760639347497,0.3037858575243788,0.2906490112203472,10.0,0.7,0.640171612661641,UP,1
HPX,23,11.09090909090909,0.0067000990226122,0.3333333333333333,0.1901618301013157,0.3044032510649833,0.281702857683223,9.0,0.7777777777777778,0.6928774071591087,UP,1
CALR,17,13.875,0.0079914235269886,0.2463768115942029,0.2378971255673222,0.363071544770111,0.2788413257389111,,,,,2
ANXA2,15,13.0,0.0083526205145709,0.217391304347826,0.2228946041351487,0.3794816809373309,0.2676694072608743,,,,,2
SPP1,19,12.77777777777778,0.0063615597390601,0.2753623188405797,0.2190844399618983,0.2890225144253198,0.2625770138523973,3.0,1.0,0.5686904568233411,DOWN,0
