Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,Predominant_Direction,Abs_Mean_Zscore_Delta,Strong_Effect_Rate,Universality_Score
PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",ECM Regulators,Matrisome-associated,4,DOWN,0.1408354832730529,0.0,0.571737189908303
CILP,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,ECM Glycoproteins,Core matrisome,4,UP,0.6316081753940073,0.25,0.6085970003594228
CRLF1,Cytokine receptor-like factor 1,Secreted Factors,Matrisome-associated,4,UP,0.7718434987925169,0.75,0.6428597120976496
ECM2,Extracellular matrix protein 2,ECM Glycoproteins,Core matrisome,4,DOWN,0.2609506916035267,0.0,0.5929050433057915
COL11A1,Collagen alpha-1(XI) chain,Collagens,Core matrisome,6,DOWN,0.3848630089900379,0.1666666666666666,0.6439412979049308
COL6A3,Collagen alpha-3(VI) chain,Collagens,Core matrisome,10,DOWN,0.2369376130297511,0.1,0.6939486950312634
IGFBP3,Insulin-like growth factor-binding protein 3,ECM Glycoproteins,Core matrisome,4,UP,0.0936559833816963,0.0,0.5694004671704578
LOXL3,Lysyl oxidase homolog 3,ECM Regulators,Matrisome-associated,4,DOWN,0.1495886640706707,0.0,0.5601340791758458
FSTL1,Follistatin-related protein 1,Secreted Factors,Matrisome-associated,5,DOWN,0.1687397319563164,0.0,0.6027675711424133
COL9A2,Collagen alpha-2(IX) chain,Collagens,Core matrisome,5,DOWN,0.2012065062279629,0.2,0.5885257735955348
SFRP4,Secreted frizzled-related protein 4,Secreted Factors,Matrisome-associated,4,UP,0.1552199700212694,0.0,0.5546231406839879
VWA1,von Willebrand factor A domain-containing protein 1,ECM Glycoproteins,Core matrisome,9,DOWN,0.2581326446081609,0.1111111111111111,0.6830255432932146
VIT,Vitrin,ECM Glycoproteins,Core matrisome,4,DOWN,0.9767647112103884,0.75,0.6473204809693959
CD109,CD109 antigen,ECM Regulators,Matrisome-associated,5,DOWN,0.5215845234201113,0.6,0.6264502857854676
PRG4,Proteoglycan 4;Proteoglycan 4 C-terminal part,Proteoglycans,Core matrisome,4,UP,1.5492759913809868,1.0,0.7106150338969908
EMILIN3,EMILIN-3,ECM Glycoproteins,Core matrisome,5,DOWN,0.7878585169964121,0.6,0.6634212486986752
ANGPTL2,Angiopoietin-related protein 2,Secreted Factors,Matrisome-associated,5,UP,0.4640510103862444,0.6,0.6342983616387211
LRG1,Leucine-rich alpha-2-glycoprotein,ECM Glycoproteins,Core matrisome,4,UP,0.6621244494612865,0.5,0.6114537260409437
MFAP5,Microfibrillar-associated protein 5,ECM Glycoproteins,Core matrisome,4,DOWN,0.569865987470334,0.75,0.6213189746898348
ANXA3,Annexin A3;Annexin,ECM-affiliated Proteins,Matrisome-associated,4,DOWN,0.2879142455236088,0.0,0.5878968813097902
HCFC1,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,Secreted Factors,Matrisome-associated,4,DOWN,0.3190820272577853,0.5,0.5777910781761733
EMILIN2,EMILIN-2,ECM Glycoproteins,Core matrisome,5,DOWN,0.4760414041465489,0.6,0.6342180312695929
Hp,,Non-ECM,Non-ECM,4,UP,1.7847414333738034,1.0,0.748663326572137
Col14a1,,Collagens,Core matrisome,6,DOWN,1.2327393796361323,1.0,0.7291050114927817
Sparc,,ECM Glycoproteins,Core matrisome,7,DOWN,0.4571788541111742,0.2857142857142857,0.6605964412767573
Ppt1,,Non-ECM,Non-ECM,4,UP,0.7948489901554837,0.75,0.6454055968672352
Fth1,,Non-ECM,Non-ECM,4,UP,0.8362570170983721,1.0,0.6532396055047707
Tfrc,,Non-ECM,Non-ECM,4,DOWN,0.9583067021298592,1.0,0.6659271190388069
Myoc,,Non-ECM,Non-ECM,4,UP,1.019469008625633,1.0,0.6704020291982191
Comp,,ECM Glycoproteins,Core matrisome,4,UP,0.7606552753374543,0.75,0.6378946421234536
Epx,,Non-ECM,Non-ECM,4,DOWN,0.9999403578689718,1.0,0.6647310241505359
Pcolce,,ECM Glycoproteins,Core matrisome,6,DOWN,1.0826789831978638,0.6666666666666666,0.7097885967490158
Ambp,,ECM Regulators,Matrisome-associated,5,UP,0.4144439373115289,0.4,0.6150345759505934
Ace,,Non-ECM,Non-ECM,4,DOWN,0.3866901562643408,0.25,0.5855380380654979
Serpinh1,,ECM Regulators,Matrisome-associated,8,DOWN,0.660101795524813,0.625,0.7057111531270162
Kera,,Proteoglycans,Core matrisome,4,DOWN,0.970346025867346,1.0,0.6675465843334958
Itih3,,ECM Regulators,Matrisome-associated,8,UP,0.4243490387790778,0.25,0.6830682199572168
Mfge8,,ECM Glycoproteins,Core matrisome,8,UP,0.487722747800569,0.375,0.6859726584594903
Serpinf1,,ECM Regulators,Matrisome-associated,7,DOWN,0.6983844682242608,0.5714285714285714,0.6876022741202897
Pxdn,,ECM Glycoproteins,Core matrisome,5,DOWN,0.5038188663918073,0.6,0.6351532713528589
Alpl,,Non-ECM,Non-ECM,4,UP,0.395490529130492,0.5,0.5844817445323133
Clu,,Non-ECM,Non-ECM,4,UP,0.3119124778682617,0.25,0.5927849826035589
Gstm2,,Non-ECM,Non-ECM,4,UP,0.6497362354779427,1.0,0.635380823097812
Clic1,,Non-ECM,Non-ECM,4,DOWN,0.4228125934615976,0.25,0.6086246619704884
Ctsd,,ECM Regulators,Matrisome-associated,8,UP,0.4101558250792732,0.25,0.6797065837578534
Fam213a,,Non-ECM,Non-ECM,4,UP,0.589164138815103,1.0,0.6289589492015012
Efemp1,,ECM Glycoproteins,Core matrisome,5,DOWN,0.3769245476451189,0.2,0.6250673169357666
Dpysl3,,Non-ECM,Non-ECM,4,DOWN,0.5370030847863166,0.5,0.619383301461087
Mcam,,Non-ECM,Non-ECM,4,DOWN,0.3436840655759903,0.25,0.5951090243437582
Gsto1,,Non-ECM,Non-ECM,4,UP,0.2872611565727626,0.25,0.5857373905622761
