Cluster,Stage,Gene_Symbol,Protein_Name,Matrisome_Category,N_Tissues,Direction,Effect_Size,Consistency,Strong_Effect_Rate,Universality_Score
0,CLUSTER 0: Gradual/Variable Changes,NUP98,Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens GN=NUP98 PE=1 SV=4,Unknown,2,DOWN,0.4877806750464779,0.5,0.0,0.2340721851517066
0,CLUSTER 0: Gradual/Variable Changes,ATP6V1A,V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=1 SV=2,Unknown,2,DOWN,0.4801695192322669,0.5,0.0,0.2333110695702855
0,CLUSTER 0: Gradual/Variable Changes,HIST1H2BB,Histone H2B type 1-B OS=Homo sapiens GN=HIST1H2BB PE=1 SV=2,Unknown,2,DOWN,0.4781533978040285,0.5,0.0,0.2331094574274617
0,CLUSTER 0: Gradual/Variable Changes,CALB1,Calbindin OS=Homo sapiens GN=CALB1 PE=1 SV=2,Unknown,2,DOWN,0.4759200049500443,0.5,0.0,0.2328861181420632
0,CLUSTER 0: Gradual/Variable Changes,CRTAP,Cartilage-associated protein OS=Homo sapiens GN=CRTAP PE=1 SV=1,Unknown,2,DOWN,0.4708171444607714,0.5,0.0,0.2323758320931359
0,CLUSTER 0: Gradual/Variable Changes,EML4,Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens GN=EML4 PE=1 SV=3,Unknown,2,DOWN,0.4688852472566427,0.5,0.0,0.2321826423727231
0,CLUSTER 0: Gradual/Variable Changes,SYNPO2,Synaptopodin-2 (Fragment) OS=Homo sapiens GN=SYNPO2 PE=1 SV=1,Unknown,2,DOWN,0.4460647031437544,0.5,0.0,0.2299005879614342
0,CLUSTER 0: Gradual/Variable Changes,DMGDH,"Dimethylglycine dehydrogenase, mitochondrial OS=Homo sapiens GN=DMGDH PE=1 SV=2",Unknown,2,DOWN,0.4231286682410774,0.5,0.0,0.2276069844711665
0,CLUSTER 0: Gradual/Variable Changes,RBMY1C,"RNA-binding motif protein, Y chromosome, family 1 member C OS=Homo sapiens GN=RBMY1C PE=1 SV=1",Unknown,2,DOWN,0.4210445682478064,0.5,0.0,0.2273985744718394
0,CLUSTER 0: Gradual/Variable Changes,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring OS=Homo sapiens GN=ALDH3A1 PE=1 SV=1",Unknown,2,DOWN,0.4155218950565114,0.5,0.0,0.2268463071527099
0,CLUSTER 0: Gradual/Variable Changes,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADSB PE=1 SV=1",Unknown,2,DOWN,0.4116740180340363,0.5,0.0,0.2264615194504624
0,CLUSTER 0: Gradual/Variable Changes,KRT76,"Keratin, type II cytoskeletal 2 oral OS=Homo sapiens GN=KRT76 PE=1 SV=2",Unknown,2,DOWN,0.4082030076790285,0.5,0.0,0.2261144184149617
