Gene,N_Observations,Separation_Score,Bimodality_Coefficient,Cluster0_Mean,Cluster0_Std,Cluster0_N,Cluster1_Mean,Cluster1_Std,Cluster1_N,Overall_Mean,Overall_Std
LAMB1,10,8.560752191271211,0.6747028727482239,-0.1596399733535945,0.2375141557401432,9,-2.201500554755228,0.0,1,-0.3638260314937579,0.6526861372885296
COL6A3,10,8.000127904017797,0.7011248581188356,-0.15049615909305802,0.10705008991578843,9,-1.014910698459989,0.0,1,-0.23693761302975114,0.2785011206513996
SERPINH1,10,6.988322183356567,0.6322388288444828,-0.11987657747151971,0.2766642914805423,9,-2.0602841051509775,0.0,1,-0.31391733023946544,0.6385570771474911
BGN,11,6.4966686400345495,0.6013754647897537,-0.009296742176853773,0.12680293517087884,10,0.8209965788521635,0.0,1,0.06618446882578416,0.2675656754155245
COL1A1,10,4.934528657187068,0.5355409412995128,0.10918423622518757,0.13912616938623537,8,-0.6575618884068182,0.015257693572033493,2,-0.04416498870121357,0.33105191645904947
TGFBI,12,4.691915017106718,0.45603266211714266,-0.018645792236073398,0.13007395140777464,11,-0.6336336331977275,0.0,1,-0.06989477898287791,0.21071388619067885
ANXA11,10,4.670640748047265,0.5005108741189621,-0.08295799199723125,0.18920917861578324,9,-0.9713567322927088,0.0,1,-0.171797866026779,0.3213297541521586
COL18A1,14,4.589836713879852,0.28032946034094625,-0.009094772291799728,0.4395437088339905,13,2.012928916583246,0.0,1,0.13533549119927496,0.6712526201004703
PLG,10,4.5415468224258015,0.5466766563418578,-0.05238600679206409,0.1760772858624255,7,2.3685571401092713,0.355988482599304,3,0.6738969372783365,1.1360120548003332
LAMC1,13,4.184449569755508,0.49509559871317643,-0.18956541286558684,0.13589586668431763,10,0.5119563628241407,0.030753847811038692,3,-0.027675772321803536,0.3190376568423374
DPT,10,3.8430820215553783,0.3425553237614527,-0.5396489580557468,0.0,1,0.06685014389339315,0.1568158099534073,9,0.006200233698479168,0.23502719605626288
