Protein_A,Protein_B,Correlation,P_value,N_Observations,Interaction_Type,Mean_Delta_A,Mean_Delta_B
Asah1,Lman2,-0.9999999997357639,1.4634944723318332e-05,3,Antagonistic (opposite changes),0.16210733241592556,-0.12098612628532239
CTGF,IGFALS,0.9999999912638993,8.414996567282307e-05,3,Synergistic (both change together),-0.03305653944382437,1.2968471052004293
Anxa3,Serpinh1,0.9999999823676841,0.00011955006032499456,3,Synergistic (both change together),-0.0243098275771141,-0.17285035283805616
Cpa3,Il1rap,0.9999999814980973,0.00012246255540726222,3,Synergistic (both change together),0.2120383791703515,0.12837701973057383
Angptl2,Fbln1,-0.9999999683252631,0.00016023287495316326,3,Antagonistic (opposite changes),0.6957318023387512,-0.07281482464934193
Calu,Pon2,-0.999999966086468,0.00016579889556686745,3,Antagonistic (opposite changes),-0.009705647546068627,-0.07961975271916313
Agt,Fga,-0.9999999056286902,0.0002765763976782861,3,Antagonistic (opposite changes),0.05938670335507807,-0.04859121586862177
Anxa4,Cstb,0.9999998989714418,0.0002861654520998821,3,Synergistic (both change together),0.055783771856022235,-0.05858587921438336
ELANE,HRG,-0.9999998814373058,0.0003100053256332072,3,Antagonistic (opposite changes),-0.3217808204440935,-0.084200759853873
CTSD,TIMP2,0.9999998683659682,0.00032664740855562656,3,Synergistic (both change together),0.491577423740669,-0.04418391496097246
CILP2,CLEC11A,0.9999998241560463,0.0003775364150311231,3,Synergistic (both change together),0.0632938628081539,0.2272398453138574
Dcn,Rbmx,0.9999998055232158,0.0003970351982939367,3,Synergistic (both change together),-0.1950469823671733,0.007144697528488131
GDF5,MMP3,-0.9999997417220149,0.0004575502794259775,3,Antagonistic (opposite changes),0.1518947261098848,0.2791378212647263
CHRDL2,OGN,-0.9999997341860751,0.0004641774030669336,3,Antagonistic (opposite changes),-0.5723148487450705,0.21625026501423908
LAMC3,NID2,0.9999997075983106,0.0004868386732853836,3,Synergistic (both change together),-0.04230468732448303,0.20781938837370453
Anxa3,Serpina1b,0.9999996872513174,0.0005034923504359667,3,Synergistic (both change together),-0.0243098275771141,-0.029591019529531692
ITIH4,THSD4,-0.9999996449618191,0.0005364542167123563,3,Antagonistic (opposite changes),0.024043090081696878,-0.0372592380748602
COL11A2,PCOLCE2,0.9999995904692258,0.0005761537684348402,3,Synergistic (both change together),-0.9702970880345535,-0.011253735584990368
HTRA3,S100A11,-0.9999995556440707,0.0006001511280213972,3,Antagonistic (opposite changes),0.4403139319156351,-0.1940257371754646
Lama3,Vwa1,-0.999999526136848,0.0006197572379062362,3,Antagonistic (opposite changes),-0.08086066783368356,0.07083208166625364
CHADL,COL7A1,0.9999994773349368,0.0006508889150572141,3,Synergistic (both change together),-0.130614334346791,0.20873467393481274
Anxa2,C1qc,0.9999994751628802,0.0006522399735710099,3,Synergistic (both change together),-0.15573237082492364,-0.08157330872994208
Amy1,Ccdc134,0.9999994739795286,0.0006529748629477932,3,Synergistic (both change together),0.9653435213889985,-0.10317488036144906
Igfbp7,Tinagl1,0.9999992721453549,0.0007680994888535057,3,Synergistic (both change together),-0.06548642909616233,0.09749214811134456
Angptl2,Fbn1,0.9999992535503782,0.0007778491809524151,3,Synergistic (both change together),0.6957318023387512,-0.27545043520944873
C1qc,Ctsf,-0.9999992134968515,0.000798445692199338,3,Antagonistic (opposite changes),-0.08157330872994208,0.43243532382903344
CHADL,LAMA5,0.999999145459542,0.0008322646838658539,3,Synergistic (both change together),-0.130614334346791,-0.3176597615975588
Angptl2,Itih3,-0.9999990931473496,0.0008573605903618248,3,Antagonistic (opposite changes),0.6957318023387512,0.37596927116705
C1qa,Lama5,0.9999990895187533,0.0008590741601997929,3,Synergistic (both change together),-0.045138229914773544,0.04867446504295847
1300017J02Rik,Cfd,0.9999989905980607,0.0009045388504466887,3,Synergistic (both change together),0.0412544655702717,-0.37757207274141363
Anpep,Pltp,0.9999989491245432,0.0009229342935559498,3,Synergistic (both change together),-0.047431114646191465,0.1040030880932255
Anxa4,Col12a1,-0.9999988909511606,0.0009481356944089604,3,Antagonistic (opposite changes),0.17619290233538473,-0.1946029993434615
Creld1,S100a6,-0.9999988631656959,0.0009599392443846955,3,Antagonistic (opposite changes),-0.09534902397215812,0.17388756848252127
