Canonical_Gene_Symbol,Zscore_Delta_mean,Zscore_Delta_std,Zscore_Delta_count,Zscore_Delta_min,Zscore_Delta_max,Zscore_Old_mean,Zscore_Old_std,Zscore_Young_mean,Zscore_Young_std,Abundance_Old_mean,Abundance_Young_mean,Tissue_<lambda>,Study_ID_<lambda>,Matrisome_Category_<lambda>,Matrisome_Division_<lambda>,zscore_delta_abs_mean,zscore_delta_range,coefficient_of_variation,pct_increasing,direction_consistency
Ltbp4,-0.4602445238722049,0.3431833538681813,6,-1.1199968801365667,-0.1365158154845959,-1.434028335719794,0.8121770091171445,-0.9737838118475892,0.9473185477891393,17678.83956397819,22748.91534771246,6,5,ECM Glycoproteins,Core matrisome,0.4602445238722049,0.9834810646519708,0.7440377849629835,0.0,1.0
Mmrn1,0.2654502395691259,0.33099576158748534,3,0.0737495577980026,0.6476505946772196,-0.5081829234230226,0.4147866615530225,-0.7736331629921486,0.6085065563285028,20.160669927396896,19.68802519226317,3,3,ECM Glycoproteins,Core matrisome,0.2654502395691259,0.573901036879217,1.2422423118205312,1.0,1.0
Igfbp7,-0.14112007099651122,0.13836782813927767,5,-0.3730396242195661,-0.0175878874236625,-0.5280217595097338,0.6001029129267503,-0.38690168851322265,0.7004728141595203,147817.79189760188,195238.55004776403,5,4,ECM Glycoproteins,Core matrisome,0.14112007099651122,0.3554517367959036,0.9735980792091945,0.0,1.0
Pxdn,-0.3760570618204606,0.32160776114930717,7,-0.72465117408789,-0.0134768969194438,-0.6053165554937632,0.7980571011165183,-0.22925949367330253,0.9286424721427156,15323.51905105211,18129.748096111085,7,5,ECM Glycoproteins,Core matrisome,0.3760570618204606,0.7111742771684463,0.8529418852323308,0.0,1.0
Sparc,-0.38159562049404555,0.4367544733222217,9,-1.4149519278903686,-0.0008227689485659,-0.7354405896763117,0.5615385336435997,-0.3538449691822661,0.7008752873214904,12749.483904131297,15249.553947571869,9,5,ECM Glycoproteins,Core matrisome,0.38159562049404555,1.4141291589418028,1.141556384671212,0.0,1.0
Adipoq,-0.16606423838464235,0.0857936869283886,6,-0.2879626554985114,-0.0662440677984393,0.6963291975167424,0.6570487064000855,0.8623934359013847,0.6000531334222238,18.09325470015856,18.25918046941634,6,3,ECM Glycoproteins,Core matrisome,0.16606423838464235,0.2217185877000721,0.5135371145730212,0.0,1.0
COL11A1,-0.3995032134135438,0.17703608908180687,5,-0.6274079931729513,-0.1345409060144453,0.06175029594233365,0.6555235088972302,0.18552969646045156,0.9589906367218909,315928.9168645119,332808.36080272036,6,3,Collagens,Core matrisome,0.3995032134135438,0.49286708715850597,0.44203412894719124,0.0,1.0
COL5A3,-0.24958960601223457,0.18220516265411843,4,-0.5055560358564466,-0.0963364478961075,0.7897362723617064,1.2643488889491061,1.4210374363066531,1.1920076608644001,70884.65878548229,91309.50563936312,5,4,Collagens,Core matrisome,0.24958960601223457,0.4092195879603391,0.7271058267485468,0.0,1.0
COL6A3,-0.28103339061754185,0.3155262862447244,8,-1.014910698459989,-0.0307731207607132,0.8923846457275196,1.472588626873907,1.1734180363450615,1.3301822424562166,41369.34903118587,15171.338590706175,8,5,Collagens,Core matrisome,0.28103339061754185,0.9841375776992758,1.1187550720637947,0.0,1.0
Emilin1,-0.14793625239571367,0.11554717258898267,6,-0.2955608798774971,-0.0210897124512114,0.054323109836293314,0.9247467970404856,0.202259362232007,0.8831735230293665,467189.6170515059,482840.47327077907,6,5,ECM Glycoproteins,Core matrisome,0.14793625239571367,0.2744711674262857,0.7758163021450382,0.0,1.0
Emilin2,-0.21334547619451272,0.15081603188002168,4,-0.404480025280472,-0.0458703200472343,-0.8652825517548439,0.6631795704353693,-0.6519370755603312,0.81106195677878,17.831637587435218,18.04945461675183,4,4,ECM Glycoproteins,Core matrisome,0.21334547619451272,0.3586097052332377,0.7036119192138219,0.0,1.0
Fbln5,-0.4971408719424292,0.3493641940378327,9,-1.0698109232932342,-0.1011201687288419,-0.4628583536518802,0.9331544259953407,0.03428251829054897,1.0110971873126924,3330.5619946462243,8307.566029799389,9,6,ECM Glycoproteins,Core matrisome,0.4971408719424292,0.9686907545643924,0.7013361354500725,0.0,1.0
VWA1,-0.30425662999667724,0.2318938999103431,7,-0.7318617006019243,-0.1080165559002604,-0.6764531904547075,0.49849439193792733,-0.3721965604580303,0.5407969478220773,60705.92358895084,27837.86464380887,7,4,ECM Glycoproteins,Core matrisome,0.30425662999667724,0.623845144701664,0.7596686758707495,0.0,1.0
