Canonical_Gene_Symbol,Mean_Delta,Median_Delta,Std_Delta,Min_Delta,Max_Delta,N_Tissues,Tissues,BM_Family,Loss_Score,Consistency_Score,Coverage_Score,Structure_Score,Therapeutic_Score
LAMB2,-0.203,-0.108,0.287,-0.621,0.097,8,"['Intervertebral_disc_NP', 'Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Laminins,0.7260195290063182,0.745398773006135,0.6363636363636364,0.9,0.565944670271427
LAMA4,-0.145,-0.188,0.244,-0.594,0.209,8,"['Intervertebral_disc_NP', 'Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Laminins,0.7593337162550259,0.8113496932515337,0.6363636363636364,0.9,0.5658091794210237
HSPG2,-0.091,-0.082,0.175,-0.428,0.114,8,"['Intervertebral_disc_NP', 'Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Perlecan,0.7903503733486502,0.9171779141104295,0.6363636363636364,0.8,0.5545681607553532
LAMA5,-0.108,-0.112,0.279,-0.43,0.385,8,"['Intervertebral_disc_NP', 'Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Laminins,0.7805858701895462,0.7576687116564417,0.6363636363636364,0.9,0.5465721215281972
COL4A3,-0.314,-0.176,0.292,-0.751,-0.155,4,"['Kidney_Glomerular', 'Kidney_Tubulointerstitial']",Collagen IV,0.662263067202757,0.7377300613496933,0.2727272727272727,1.0,0.5371862399342904
LAMA2,-0.148,-0.176,0.273,-0.578,0.181,6,"['Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial']",Laminins,0.7576105686387135,0.7668711656441718,0.45454545454545453,0.9,0.5212390965824399
AGRN,-0.182,-0.146,0.346,-0.797,0.344,10,"['Intervertebral_disc_NP', 'Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Agrin,0.7380815623205055,0.6549079754601228,0.8181818181818182,0.6,0.519385333800186
COL4A1,0.047,-0.039,0.216,-0.144,0.358,6,"['Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Collagen IV,0.8696151636990235,0.8542944785276074,0.45454545454545453,1.0,0.513921921135003
COL4A4,-0.144,-0.144,0.156,-0.254,-0.034,2,"['Kidney_Glomerular', 'Kidney_Tubulointerstitial']",Collagen IV,0.7599080987937967,0.946319018404908,0.09090909090909091,1.0,0.5034823823452812
NID1,-0.141,-0.088,0.32,-0.761,0.19,8,"['Intervertebral_disc_NP', 'Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Nidogens,0.7616312464101092,0.6947852760736196,0.6363636363636364,0.7,0.5015772839234076
LAMA3,-0.304,-0.325,0.308,-0.601,0.013,3,"['Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial']",Laminins,0.6680068925904652,0.7131901840490797,0.18181818181818182,0.9,0.49179891613726634
COL4A2,-0.03,-0.034,0.429,-0.873,0.505,7,"['Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Collagen IV,0.8253877082136702,0.5276073619631902,0.5454545454545454,1.0,0.48445729819807903
LAMC1,0.029,-0.158,0.414,-0.483,0.55,8,"['Intervertebral_disc_NP', 'Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Laminins,0.8592762780011487,0.5506134969325154,0.6363636363636364,0.9,0.4736849154587709
