Protein,Timing,Magnitude,Category
Hp,Early Prevention,1.7847414333738034,Non-ECM
Angptl7,Early Prevention,1.35690839052571,Secreted Factors
VTN,Continuous Monitoring,1.318911080793891,ECM Glycoproteins
Myoc,Early Prevention,1.019469008625633,Non-ECM
HPX,Continuous Monitoring,1.0050720136416453,ECM-affiliated Proteins
SERPINA6,Continuous Monitoring,0.9884111368166959,ECM Regulators
PRG4,Early Prevention,0.9799352703394154,Proteoglycans
SERPINA10,Early Prevention,0.9728885696047098,ECM Regulators
Amy1,Early Prevention,0.9653435213889985,Non-ECM
ITIH2,Continuous Monitoring,0.9440918080613498,ECM Regulators
TIMP3,Continuous Monitoring,0.9380965928302631,ECM Regulators
CRLF1,Early Prevention,0.9262204024696703,Secreted Factors
TNFAIP6,Early Prevention,0.9239561415399553,ECM Glycoproteins
FGB,Continuous Monitoring,0.8946244408992193,ECM Glycoproteins
CXCL10,Continuous Monitoring,0.8861453129831608,Secreted Factors
FGG,Continuous Monitoring,0.8766169966808384,ECM Glycoproteins
EPYC,Early Prevention,0.8760482804297104,Proteoglycans
CILP,Continuous Monitoring,0.8710693426945131,ECM Glycoproteins
Smoc2,Continuous Monitoring,0.8698545566693375,ECM Glycoproteins
ELN,Continuous Monitoring,0.8678431513062174,ECM Glycoproteins
Fth1,Early Prevention,0.8362570170983721,Non-ECM
PLG,Continuous Monitoring,0.8340519123414248,ECM Regulators
Ppt1,Early Prevention,0.7948489901554837,Non-ECM
Ctsf,Continuous Monitoring,0.7774724633378417,ECM Regulators
SEMA3A,Early Prevention,0.7766243461598726,ECM-affiliated Proteins
Comp,Continuous Monitoring,0.7606552753374543,ECM Glycoproteins
SERPINA4,Continuous Monitoring,0.7310964947436301,ECM Regulators
FGA,Continuous Monitoring,0.7075108772488362,ECM Glycoproteins
LOXL1,Continuous Monitoring,0.6937783601977471,ECM Regulators
SERPINC1,Continuous Monitoring,0.6917881033815407,ECM Regulators
ITIH1,Continuous Monitoring,0.6863276009367996,ECM Regulators
LRG1,Continuous Monitoring,0.6621244494612865,ECM Glycoproteins
KNG1,Continuous Monitoring,0.6527320983499096,ECM Regulators
Gstm2,Early Prevention,0.6497362354779427,Non-ECM
SERPIND1,Continuous Monitoring,0.6416155630658318,ECM Regulators
HRG,Continuous Monitoring,0.6332291739319413,ECM Regulators
SERPINF2,Continuous Monitoring,0.6314849186405268,ECM Regulators
