Protein,Human_Avg_Delta,Human_Std,Human_Count,Mouse_Avg_Delta,Mouse_Std,Mouse_Count,Direction_Human,Direction_Mouse,Direction_Match
A2M,0.4526963934658959,0.5945053046259257,8,0.150456705868355,0.0646097971047369,3,Stable,Stable,True
ACAN,0.04174398552878804,0.12334353054814579,5,0.1179114095380627,0.09005271360789353,2,Stable,Stable,True
ADAMTSL4,0.28436006551304005,0.6377814787819664,3,-0.1127822879683673,0.07545803953474034,2,Stable,Stable,True
ADIPOQ,0.4268784384430349,0.2757964151573623,2,-0.16606423838464235,0.0857936869283886,6,Stable,Stable,True
AEBP1,-0.18017073677629122,0.488425278841122,8,0.09167591616590051,0.19846046719877264,5,Stable,Stable,True
AGRN,-0.18206901919041227,0.3459531956057314,10,-0.030282967587935476,0.1930840532660855,8,Stable,Stable,True
AGT,-0.18924588214028776,0.9496421422976391,8,0.05938670335507806,0.14864358579515188,3,Stable,Stable,True
AMBP,0.6179412953407063,0.696355053324007,8,0.4187678254194361,0.3184630878795003,7,Up,Stable,False
ANGPTL2,0.49579426681827665,0.13768953554024502,4,0.6060683479185923,0.1799108090217334,4,Stable,Up,False
ANXA1,-0.24313303845827236,0.3585635159412127,8,-0.09980327501913704,0.24280327685807154,10,Stable,Stable,True
ANXA11,-0.2023888586022872,0.37645478549891065,8,-0.10934395283625888,0.1040058762965999,6,Stable,Stable,True
ANXA2,-0.22327288469154202,0.44111356305422633,8,-0.19745574963717077,0.21526735485042942,10,Stable,Stable,True
ANXA3,-0.4224324093343525,0.0911141604732598,2,-0.07594432923141455,0.1148513106855236,5,Stable,Stable,True
ANXA4,-0.17400350633305817,0.4730437191932771,8,0.0467552117494583,0.16796531383831131,6,Stable,Stable,True
ANXA5,0.11697529462000113,0.8052265752315331,7,0.030355841682335606,0.36362679988885044,10,Stable,Stable,True
ANXA6,-0.07337344173423746,0.5864867178171753,8,-0.06515602512342758,0.12634346994686957,9,Stable,Stable,True
ANXA7,-0.2543352587880978,0.4989956504011005,8,-0.10858801078068565,0.06300869806927499,6,Stable,Stable,True
ASPN,-0.16071872356593267,0.2689199054856895,7,0.4126795693589933,0.6040202114096187,8,Stable,Stable,True
