Study_ID,Tissue,Compartment_A,Compartment_B,N_Shared_Proteins,Correlation,P_Value,Relationship
Schuler_2021,Skeletal_muscle_EDL,EDL,Gastrocnemius,262,0.7757581375160248,6.550661106886062e-54,Synergistic (coordinated)
Schuler_2021,Skeletal_muscle_EDL,EDL,Soleus,268,0.6435003190643072,9.989125407394314e-33,Synergistic (coordinated)
Schuler_2021,Skeletal_muscle_EDL,EDL,TA,268,0.684059922249621,2.5418743580475006e-38,Synergistic (coordinated)
Schuler_2021,Skeletal_muscle_EDL,Gastrocnemius,Soleus,293,0.5704619153878464,1.0816962637333313e-26,Synergistic (coordinated)
Schuler_2021,Skeletal_muscle_EDL,Gastrocnemius,TA,293,0.5256385498018615,3.2453757087972636e-22,Synergistic (coordinated)
Schuler_2021,Skeletal_muscle_EDL,Soleus,TA,310,0.33940035618710096,8.533730948183695e-10,Independent
Tam_2020,Intervertebral_disc_IAF,IAF,NP,211,0.9176788227205974,9.984118341796724e-86,Synergistic (coordinated)
Tam_2020,Intervertebral_disc_IAF,IAF,OAF,232,0.7512929277620679,2.156546308426585e-43,Synergistic (coordinated)
Tam_2020,Intervertebral_disc_IAF,NP,OAF,210,0.7925367006230065,1.4612415638410558e-46,Synergistic (coordinated)
Tsumagari_2023,Brain_Cortex,Cortex,Hippocampus,196,0.7196056755421159,1.4742123268344292e-32,Synergistic (coordinated)
