Protein_ID,Study_ID,Abundance_Corrected,Tissue_Compartment,Age_Group,Gene_Symbol,Zscore
CON__P07477;Q8NHM4;P07478;P07477,Tam_2020,29.4661,NP,Young,PRSS3P2;PRSS2;PRSS1,0.16978559951638286
CON__P20930;P20930,Tam_2020,20.1819,NP,Young,FLG,-2.4774745421268527
CON__Q86YZ3;Q86YZ3,Tam_2020,25.2425,NP,Young,HRNR,-1.0345150331977304
O00339,Tam_2020,31.01376666666667,NP,Young,MATN2,0.6110811639394368
O00468,Tam_2020,26.5833,NP,Young,AGRN,-0.6522046135691945
O00469,Tam_2020,29.385166666666667,NP,Young,PLOD2,0.14670858830769914
O00585,Tam_2020,26.00296666666667,NP,Young,CCL21,-0.8176785695589714
O14786,Tam_2020,26.0862,NP,Young,NRP1,-0.7939457454287894
O15031,Tam_2020,25.8215,NP,Young,PLXNB2,-0.8694212586117204
O15041,Tam_2020,25.965233333333337,NP,Young,SEMA3E,-0.8284377032855895
O15230,Tam_2020,27.099100000000004,NP,Young,LAMA5,-0.5051314375217605
O15232,Tam_2020,31.6915,NP,Young,MATN3,0.8043273714744252
O15335,Tam_2020,37.46103333333333,NP,Young,CHAD,2.4494293327866936
O15460,Tam_2020,25.57675,NP,Young,P4HA2,-0.9392083075407807
O43854,Tam_2020,31.9629,NP,Young,EDIL3,0.8817132962112871
O60687,Tam_2020,31.522566666666663,NP,Young,SRPX2,0.7561583876170893
O75094,Tam_2020,28.97243333333333,NP,Young,SLIT3,0.029023434771488155
O75339,Tam_2020,35.9438,NP,Young,CILP,2.016811408904633
O75462,Tam_2020,26.095,NP,Young,CRLF1,-0.7914365481639251
O75596,Tam_2020,34.289566666666666,NP,Young,CLEC3A,1.5451298457854656
O75636,Tam_2020,25.90995,NP,Young,FCN3,-0.8442009747392984
O94769,Tam_2020,28.5211,NP,Young,ECM2,-0.09966797040378882
O95025,Tam_2020,25.454966666666667,NP,Young,SEMA3D,-0.973933126507389
O95389,Tam_2020,26.0911,NP,Young,WISP3,-0.7925485787699443
O95460,Tam_2020,29.28823333333333,NP,Young,MATN4,0.11906940025380565
O95633,Tam_2020,26.827,NP,Young,FSTL3,-0.5827169574956009
O95715,Tam_2020,26.7129,NP,Young,CXCL14,-0.6152509811229996
O95967,Tam_2020,28.707733333333337,NP,Young,EFEMP2,-0.046452078411440785
P00488,Tam_2020,26.278333333333336,NP,Young,F13A1,-0.7391616051459013
P00734,Tam_2020,23.68565,NP,Young,F2,-1.4784290970392324
