Protein_ID,Gene_Symbol,Mean_Delta_Percentile,SD_Delta_Percentile,N_Studies,T_Statistic,P_value,Significant,Direction,FDR_Pvalue,FDR_Significant
O00339,MATN2,-8.361038680891607,17.909337941809472,4,-0.9337071764526488,0.41933219874438965,False,Decrease,0.7287286388709009,False
O00468,AGRN,-4.7682051158646335,8.028469665626139,5,-1.3280277828519456,0.2548799256749774,False,Decrease,0.6680661139880035,False
O15230,LAMA5,0.9739559952299913,12.205698334099646,5,0.17842746500979859,0.8670596216223698,False,Increase,0.929807357397673,False
O15460,P4HA2,-13.635516729702891,19.956833265395495,3,-1.1834246169833291,0.35824449346535525,False,Decrease,0.7015768590179302,False
O75339,CILP,41.307008306707075,35.58628479834452,3,2.010489083120434,0.18208349118565503,False,Increase,0.652419009055758,False
O76076,WISP2,15.495523647579935,8.451501008146057,3,3.17565296645228,0.08648893829422555,False,Increase,0.6088329127612317,False
P00488,F13A1,7.105579237721276,26.43662856914681,4,0.5375556281041017,0.628199904045279,False,Increase,0.8291983446533597,False
P00734,F2,20.88325712518833,41.05545503061251,4,1.0173194821305467,0.383902506583937,False,Increase,0.7031023435188959,False
P00740,F9,8.228980503176766,7.341101543843409,3,1.9415359181278602,0.19169732232315062,False,Increase,0.6658687858288392,False
P00742,F10,12.956778878056111,14.548642604795706,3,1.5425356116611808,0.2628988425437988,False,Increase,0.6680661139880035,False
P00747,PLG,16.645996256059583,31.391478540257815,5,1.1857223970518505,0.30135504218999487,False,Increase,0.6900908676440103,False
P01008,SERPINC1,14.30077481070506,37.04638343064383,5,0.863174799977971,0.4367240289415075,False,Increase,0.745160104793818,False
P01009,SERPINA1,11.364382274789168,15.02167164676517,5,1.6916580182468908,0.16596992616359585,False,Increase,0.6503008986127164,False
P01011,SERPINA3,12.952038083795221,14.968828748761076,4,1.730534606439027,0.18196899970723268,False,Increase,0.652419009055758,False
P01019,AGT,-4.700290218901321,18.63785544494506,5,-0.563915117513763,0.6029278927970818,False,Decrease,0.8155788093437705,False
P01023,A2M,11.230721154834542,16.135225877982766,5,1.5563870086766072,0.19460227179146794,False,Increase,0.6658687858288392,False
