Protein_ID,Protein_Name,Gene_Symbol,Tissue,Species,Age,Age_Unit,Abundance,Abundance_Unit,Method,Study_ID,Sample_ID
Q80YX1,TENA_MOUSE,Tnc,Ovary,Mus musculus,Old,categorical,7415007.5,LFQ,DIA,Dipali_2023,Old_pooled
Q80YX1,TENA_MOUSE,Tnc,Ovary,Mus musculus,Young,categorical,3201225.25,LFQ,DIA,Dipali_2023,Young_pooled
E9PX70,E9PX70_MOUSE;COCA1_MOUSE;COCA1_MOUSE;COCA1_MOUSE,Col12a1,Ovary,Mus musculus,Old,categorical,3224099.75,LFQ,DIA,Dipali_2023,Old_pooled
E9PX70,E9PX70_MOUSE;COCA1_MOUSE;COCA1_MOUSE;COCA1_MOUSE,Col12a1,Ovary,Mus musculus,Young,categorical,2243905.5,LFQ,DIA,Dipali_2023,Young_pooled
Q921I1,TRFE_MOUSE,Tf,Ovary,Mus musculus,Old,categorical,32480334.0,LFQ,DIA,Dipali_2023,Old_pooled
Q921I1,TRFE_MOUSE,Tf,Ovary,Mus musculus,Young,categorical,23054788.0,LFQ,DIA,Dipali_2023,Young_pooled
O35452,O35452_MOUSE,Tnxb,Ovary,Mus musculus,Old,categorical,1571903.25,LFQ,DIA,Dipali_2023,Old_pooled
O35452,O35452_MOUSE,Tnxb,Ovary,Mus musculus,Young,categorical,946469.1875,LFQ,DIA,Dipali_2023,Young_pooled
Q8K3V4,PADI6_MOUSE,Padi6,Ovary,Mus musculus,Old,categorical,1875033.125,LFQ,DIA,Dipali_2023,Old_pooled
Q8K3V4,PADI6_MOUSE,Padi6,Ovary,Mus musculus,Young,categorical,7883088.0,LFQ,DIA,Dipali_2023,Young_pooled
P48678,LMNA_MOUSE,Lmna,Ovary,Mus musculus,Old,categorical,17916718.0,LFQ,DIA,Dipali_2023,Old_pooled
P48678,LMNA_MOUSE,Lmna,Ovary,Mus musculus,Young,categorical,13484640.0,LFQ,DIA,Dipali_2023,Young_pooled
Q9QXS1,PLEC_MOUSE,Plec,Ovary,Mus musculus,Old,categorical,3633633.75,LFQ,DIA,Dipali_2023,Old_pooled
Q9QXS1,PLEC_MOUSE,Plec,Ovary,Mus musculus,Young,categorical,3117893.75,LFQ,DIA,Dipali_2023,Young_pooled
P09528,FRIH_MOUSE,Fth1,Ovary,Mus musculus,Old,categorical,23376848.0,LFQ,DIA,Dipali_2023,Old_pooled
P09528,FRIH_MOUSE,Fth1,Ovary,Mus musculus,Young,categorical,10218039.0,LFQ,DIA,Dipali_2023,Young_pooled
P06795,MDR1B_MOUSE,Abcb1b,Ovary,Mus musculus,Old,categorical,12117284.0,LFQ,DIA,Dipali_2023,Old_pooled
P06795,MDR1B_MOUSE,Abcb1b,Ovary,Mus musculus,Young,categorical,4379179.0,LFQ,DIA,Dipali_2023,Young_pooled
E9Q6R7,E9Q6R7_MOUSE,Utrn,Ovary,Mus musculus,Old,categorical,735942.75,LFQ,DIA,Dipali_2023,Old_pooled
E9Q6R7,E9Q6R7_MOUSE,Utrn,Ovary,Mus musculus,Young,categorical,557600.125,LFQ,DIA,Dipali_2023,Young_pooled
Q9R1M5,NALP5_MOUSE,Nlrp5,Ovary,Mus musculus,Old,categorical,312092.78125,LFQ,DIA,Dipali_2023,Old_pooled
Q9R1M5,NALP5_MOUSE,Nlrp5,Ovary,Mus musculus,Young,categorical,955347.4375,LFQ,DIA,Dipali_2023,Young_pooled
E9QP46,E9QP46_MOUSE;SYNE2_MOUSE,Syne2,Ovary,Mus musculus,Old,categorical,505459.46875,LFQ,DIA,Dipali_2023,Old_pooled
E9QP46,E9QP46_MOUSE;SYNE2_MOUSE,Syne2,Ovary,Mus musculus,Young,categorical,553720.25,LFQ,DIA,Dipali_2023,Young_pooled
