Gene_Upper,Gene_Symbol_Disc,Protein_Name_Disc,Zscore_Delta_Disc,Zscore_Young_Disc,Zscore_Old_Disc,Matrisome_Category_Disc,Abundance_Young_Disc,Abundance_Old_Disc,Gene_Symbol_Kidney,Protein_Name_Kidney,Zscore_Delta_Kidney,Zscore_Young_Kidney,Zscore_Old_Kidney,Matrisome_Category_Kidney,Abundance_Young_Kidney,Abundance_Old_Kidney,Same_Direction,Both_Upregulated,Both_Downregulated,Avg_Zscore_Delta,Aging_Signature
FGA,FGA,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,3.2714391684049557,-1.233297288034115,2.03814188037084,ECM Glycoproteins,24.067966666666663,33.96096666666667,FGA,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2,0.7231645949425871,0.1888782171091717,0.9120428120517589,ECM Glycoproteins,12343.16295218306,64805.50662485423,True,True,False,1.9973018816737715,Pan-tissue UPREGULATION
VTN,VTN,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,3.480924369162543,-1.7141142462311771,1.766810122931366,ECM Glycoproteins,22.9114,32.962633333333336,VTN,Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1,0.2512352014610529,0.8736930659393861,1.124928267400439,ECM Glycoproteins,58425.315153212105,101792.65177337803,True,False,False,1.866079785311798,Concordant upregulation (weak)
SERPINC1,SERPINC1,Antithrombin-III,3.435256941228137,-1.395945367222926,2.039311574005211,ECM Regulators,23.6706,33.965333333333334,SERPINC1,Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1,0.1980205325403413,0.4079295993045328,0.6059501318448741,ECM Regulators,20295.470909828364,33856.70641818307,True,False,False,1.8166387368842392,Concordant upregulation (weak)
ITIH4,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,3.5532543355464865,-1.7432313536722732,1.8100229818742133,ECM Regulators,22.8431,33.119699999999995,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4 (Fragment) OS=Homo sapiens GN=ITIH4 PE=1 SV=1,-0.0179155075897607,-0.744288460472055,-0.7622039680618158,ECM Regulators,1483.1203446214683,1858.3681243131864,False,False,False,1.7676694139783629,Discordant (tissue-specific)
ITIH4,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,3.5532543355464865,-1.7432313536722732,1.8100229818742133,ECM Regulators,22.8431,33.119699999999995,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens GN=ITIH4 PE=1 SV=4,-0.0300000053012332,-0.1771352113823819,-0.2071352166836151,ECM Regulators,5376.934130602207,6033.952560311664,False,False,False,1.7616271651226267,Discordant (tissue-specific)
FGG,FGG,Fibrinogen gamma chain,3.0435019991200782,-0.7000199462735668,2.3434820528465115,ECM Glycoproteins,25.41626666666667,35.119566666666664,FGG,Fibrinogen gamma chain OS=Homo sapiens GN=FGG PE=1 SV=3,0.4111247229202546,1.159482737341175,1.5706074602614293,ECM Glycoproteins,111778.83926926355,261976.27614293565,True,False,False,1.7273133610201663,Concordant upregulation (weak)
HPX,HPX,Hemopexin,2.8985480847795237,-0.7137150212172066,2.1848330635623165,ECM-affiliated Proteins,25.38075,34.51286666666667,HPX,Hemopexin OS=Homo sapiens GN=HPX PE=1 SV=2,0.4602333182529242,0.6389632507714352,1.0991965690243597,ECM-affiliated Proteins,34290.97690664883,96385.81303944554,True,False,False,1.679390701516224,Concordant upregulation (weak)
FGA,FGA,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,3.2714391684049557,-1.233297288034115,2.03814188037084,ECM Glycoproteins,24.067966666666663,33.96096666666667,FGA,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1,0.0333353467581462,0.1352693299900074,0.1686046767481537,ECM Glycoproteins,10928.73399122053,13389.331638065769,True,False,False,1.652387257581551,Concordant upregulation (weak)
FGB,FGB,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,2.7141466316883447,-0.4981407802612542,2.2160058514270906,ECM Glycoproteins,25.945400000000003,34.63126666666667,FGB,Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=2,0.5722514128142531,1.1243340130458637,1.6965854258601167,ECM Glycoproteins,103206.43268895728,342222.470426843,True,True,False,1.6431990222512989,Pan-tissue UPREGULATION
F2,F2,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,2.745296973634137,-1.3897375933393097,1.355559380294828,ECM Regulators,23.68565,31.50356666666667,F2,Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=1,0.3861775451336199,-1.3365463447260122,-0.9503687995923924,ECM Regulators,385.87667127040896,1246.4840692317691,True,False,False,1.5657372593838785,Concordant upregulation (weak)
