Gene_Symbol,N_Measurements,N_Studies,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Std_Zscore_Delta,Direction_Consistency,Dominant_Direction,Cumulative_Effect,Combined_P_Value,Is_Weak_Signal,Matrisome_Division
Fbln5,9,6,-0.4971408719424292,0.4971408719424292,0.329383720943899,1.0,decrease,-4.474267847481863,0.2396665249896756,False,Core matrisome
Ltbp4,6,5,-0.4602445238722049,0.4602445238722049,0.31328210712313453,1.0,decrease,-2.7614671432332294,0.29991287320943516,False,Core matrisome
HTRA1,6,3,0.449299675319099,0.449299675319099,0.3468119025307679,0.8333333333333334,increase,2.695798051914594,0.3044101503766239,False,Matrisome-associated
Itih3,8,4,0.4243490387790778,0.4243490387790778,0.24811358207322862,1.0,increase,3.3947923102326225,0.33441968917069204,True,Matrisome-associated
Ambp,7,5,0.4187678254194361,0.4187678254194361,0.2948395277944737,1.0,increase,2.9313747779360524,0.3359002415569672,False,Matrisome-associated
COL5A1,8,5,-0.39481216312967704,0.39481216312967704,0.2993160149804073,0.875,decrease,-3.1584973050374163,0.3561828914279243,True,Core matrisome
COL14A1,8,5,-0.3807757585407655,0.3807757585407655,0.33197322440338256,0.875,decrease,-3.046206068326124,0.3636501023034313,False,Core matrisome
COL5A2,10,5,-0.37021545536941874,0.37021545536941874,0.3297766740777335,0.9,decrease,-3.7021545536941876,0.3702738695488943,False,Core matrisome
Pxdn,7,5,-0.3760570618204606,0.3760570618204606,0.2977509295148784,1.0,decrease,-2.6323994327432243,0.3781842007770804,False,Core matrisome
CTSD,6,4,0.35673722730632784,0.35673722730632784,0.3246963327431734,0.8333333333333334,increase,2.140423363837967,0.393715969330315,False,Matrisome-associated
COL15A1,7,4,-0.3339225021624553,0.3339225021624553,0.37114804751539215,0.7142857142857143,decrease,-2.337457515137187,0.4044099115636819,False,Core matrisome
Ctsd,10,6,0.3406239855236033,0.3406239855236033,0.3263231545734895,0.9,increase,3.406239855236033,0.40699459673263616,False,Matrisome-associated
FMOD,6,4,-0.3198289781519718,0.3198289781519718,0.3701803882754635,0.6666666666666666,decrease,-1.918973868911831,0.41710530270730783,False,Core matrisome
VWA1,7,4,-0.30425662999667724,0.30425662999667724,0.2146920335516399,1.0,decrease,-2.129796409976741,0.4679249666586448,False,Core matrisome
