Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score,Balance_Difference
PRSS3P2;PRSS2;PRSS1,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.1281720129064339,0.2659841823987409,0.2401266867655557,0.2952842857154445,0,0.0,0.751819345633082,0.5305923701504067,0.3734211206803809,1
MATN2,Matrilin-2,ECM Glycoproteins,Core matrisome,9,11,0.5454545454545454,DOWN,5,6,-0.1209507380721322,0.4726786919628768,-0.2372219977996593,0.5474189290254419,5,0.4545454545454545,-0.7327993151716039,0.4805050897351036,0.4736267442973952,1
AGRN,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,ECM Glycoproteins,Core matrisome,10,12,0.5833333333333334,DOWN,5,7,-0.1448336655406874,0.2635794308826738,-0.1064131413212697,0.3250897794267434,1,0.0833333333333333,-1.54332300329631,0.1510164919964522,0.5476252329242711,2
NRP1,Neuropilin-1,ECM Glycoproteins,Core matrisome,4,4,0.5,DOWN,2,2,0.1172159793925875,0.3247653233911836,0.0514747012078617,0.4682728730095201,1,0.25,0.5006310898996044,0.6510527510042843,0.3228542174323791,0
SEMA3E,Semaphorin-3E,ECM-affiliated Proteins,Matrisome-associated,4,4,0.5,DOWN,2,2,0.0502997201963509,0.2128251226473735,-0.0483316169586555,0.3131976911325179,0,0.0,0.3212010919650649,0.769134543416688,0.2880438388755174,0
LAMA5,Laminin subunit alpha-5,ECM Glycoproteins,Core matrisome,10,10,0.6,DOWN,4,6,-0.0808629079353108,0.1924247971540885,-0.0129435571075107,0.2530408625505566,0,0.0,-1.0105520694271102,0.3386262837549798,0.507987811199707,2
CHAD,Chondroadherin,Proteoglycans,Core matrisome,4,4,0.75,DOWN,1,3,-0.1282504453745593,0.1626946494462512,-0.14025336501214,0.1888931552129104,0,0.0,-1.357915221755941,0.2675974900888741,0.4583382022209679,2
P4HA2,Prolyl 4-hydroxylase subunit alpha-2,ECM Regulators,Matrisome-associated,5,5,0.6,DOWN,2,3,-0.3137849587303823,0.4319436722718385,-0.3551770474795451,0.5287862404263137,1,0.2,-1.3268962851083776,0.2552206495219825,0.4603855314404343,1
EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.0509601079880621,0.1325112077086353,-0.1237234755397456,0.1507112470036154,0,0.0,-0.5856596501547284,0.6173872690377247,0.3427148434339068,1
SRPX2,Sushi repeat-containing protein SRPX2,ECM Glycoproteins,Core matrisome,5,5,0.6,UP,3,2,0.0005976309358289,0.1065996691347764,0.0061904836904549,0.1415413636443198,0,0.0,0.0094413630303043,0.9929191092236996,0.2803114391863848,1
