Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality
Tam_2020,Intervertebral_disc,NP,0.3008405239456998,,0.1644378688561119,,PRSS2,PRSS3P2;PRSS2;PRSS1,95.0,Level 2: UniProt ID,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,1.0,CON__P07477;Q8NHM4;P07478;P07477,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.13756219018272325,0.3033979165765334,0.16583572639381017,Original
Tam_2020,Intervertebral_disc,NP,,,-2.4611105700853444,,FLG,FLG,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,CON__P20930;P20930,Filaggrin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-2.4820320402152762,Original
Tam_2020,Intervertebral_disc,NP,,,-1.0299856018482174,,HRNR,HRNR,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,CON__Q86YZ3;Q86YZ3,Hornerin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-1.0387413291468004,Original
Tam_2020,Intervertebral_disc,NP,-0.6925516390571372,,,,MASP2,MASP2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O00187,Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.6984388993070767,,Original
Tam_2020,Intervertebral_disc,NP,-0.7628833743455562,,,,LEFTY2,LEFTY2;LEFTY1,95.0,Level 2: UniProt ID,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O00292;O75610,Left-right determination factor 2;Left-right determination factor 1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.7693685123653562,,Original
Tam_2020,Intervertebral_disc,NP,-0.17415556363614484,,0.6021141145927824,,MATN2,MATN2,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O00339,Matrilin-2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.7828686108747186,-0.1756360295960504,0.6072325812786682,Original
Tam_2020,Intervertebral_disc,NP,-1.00179069228547,,-0.6508107298147944,,AGRN,AGRN,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,3.0,O00468,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.3539635816913189,-1.0103067395934817,-0.6563431579021628,Original
Tam_2020,Intervertebral_disc,NP,-0.12945942064324242,,0.14155012548655244,,PLOD2,PLOD2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,3.0,O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.2733133508402367,-0.13055993251578785,0.14275341832444888,Original
Tam_2020,Intervertebral_disc,NP,,,-0.8149275387373748,,CCL21,CCL21,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,3.0,O00585,C-C motif chemokine 21,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-0.8218550950881492,Original
Tam_2020,Intervertebral_disc,NP,-1.0730556592845917,,,,CCN1,CYR61,95.0,Level 2: UniProt ID,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O00622,Protein CYR61,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-1.0821775176018709,,Original
Tam_2020,Intervertebral_disc,NP,-0.8153988678841949,,-0.7913893611452048,,NELL1,NRP1,80.0,Level 3: Synonym,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,1.0,O14786,Neuropilin-1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.024213607352826738,-0.8223304309215386,-0.7981168235687118,Original
Tam_2020,Intervertebral_disc,NP,,,-0.8662458562430922,,PLXNB2,PLXNB2,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,O15031,Plexin-B2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-0.8736096606275245,Original
Tam_2020,Intervertebral_disc,NP,-0.996587218504581,,-0.8255984306213698,,SEMA3E,SEMA3E,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15041,Semaphorin-3E,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.17244233363679662,-1.0050590319928683,-0.8326166983560717,Original
Tam_2020,Intervertebral_disc,NP,-0.9259538325621975,,-0.5049437854570673,,LAMA5,LAMA5,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15230,Laminin subunit alpha-5,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.4245889798162297,-0.9338252040012199,-0.5092362241849903,Original
Tam_2020,Intervertebral_disc,NP,-0.6058553557911426,,0.7937753988554997,,MATN3,MATN3,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15232,Matrilin-3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-1.4115287706814352,-0.6110056261135377,0.8005231445678974,Original
Tam_2020,Intervertebral_disc,NP,1.813015252269924,,2.4253849329838064,,CHAD,CHAD,100.0,Level 1: Gene Symbol,Proteoglycans,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15335,Chondroadherin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.6175753281720893,1.8284273775545514,2.4460027057266407,Original
Tam_2020,Intervertebral_disc,NP,-0.8538876060134822,,-0.9354605414535487,,P4HA2,P4HA2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,2.0,O15460,Prolyl 4-hydroxylase subunit alpha-2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.08226637268460324,-0.8611463550760693,-0.9434127277606725,Original
Tam_2020,Intervertebral_disc,NP,-1.0743282479810046,,,,CCL16,CCL16,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O15467,C-C motif chemokine 16,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-1.0834609243520208,,Original
Tam_2020,Intervertebral_disc,NP,-1.030890553810111,,,,ANGPTL7,ANGPTL7,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O43827,Angiopoietin-related protein 7,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-1.0396539739469068,,Original
Tam_2020,Intervertebral_disc,NP,0.5644077828472145,,0.8705266371236016,,EDIL3,EDIL3,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O43854,EGF-like repeat and discoidin I-like domain-containing protein 3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.3087211170693709,0.5692057146075619,0.8779268316769328,Original
Tam_2020,Intervertebral_disc,NP,-1.1384949980290235,,,,PLOD3,PLOD3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O60568,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-1.1481731447095749,,Original
Tam_2020,Intervertebral_disc,NP,0.716100355459631,,0.7460014765338647,,SRPX2,SRPX2,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O60687,Sushi repeat-containing protein SRPX2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.030155305270185728,0.7221877992254195,0.7523431044956053,Original
Tam_2020,Intervertebral_disc,NP,-1.0641758181585101,,,,KERA,KERA,100.0,Level 1: Gene Symbol,Proteoglycans,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O60938,Keratocan,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-1.073222190500825,,Original
Tam_2020,Intervertebral_disc,NP,-1.3921360650985166,,0.0248301755681489,,SLIT3,SLIT3,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),1.0,3.0,O75094,Slit homolog 3 protein,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-1.4290116226334746,-1.4039703700894335,0.025041252544041093,Original
Tam_2020,Intervertebral_disc,NP,2.073405752721874,,1.9963151574680627,,CILP,CILP,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O75339,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.07774592890907472,2.0910314120685385,2.0132854831594638,Original
Tam_2020,Intervertebral_disc,NP,-0.13894727636872123,,-0.7889007432499981,,CRLF1,CRLF1,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,1.0,O75462,Cytokine receptor-like factor 1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.6554786075265144,-0.14012844284190526,-0.7956070503684197,Original
Tam_2020,Intervertebral_disc,NP,-0.06154560387800791,,1.528502126083747,,CLEC3A,CLEC3A,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O75596,C-type lectin domain family 3 member A,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-1.603564447370517,-0.0620687922827929,1.5414956550877241,Original
Tam_2020,Intervertebral_disc,NP,0.05527803845269537,,-0.8412324184213772,,FCN3,FCN3,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,2.0,O75636,Ficolin-3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.9041315353305404,0.05574794738095986,-0.8483835879495805,Original
Tam_2020,Intervertebral_disc,NP,-0.6916608269696488,,,,CCN5,WISP2,95.0,Level 2: UniProt ID,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O76076,WNT1-inducible-signaling pathway protein 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.6975405145819724,,Original
Tam_2020,Intervertebral_disc,NP,-0.49639387473376145,,-0.102805757390595,,ECM2,ECM2,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O94769,Extracellular matrix protein 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.39693394102966817,-0.5006136321673186,-0.10367969113765044,Original
Tam_2020,Intervertebral_disc,NP,-0.9427708565207211,,-0.9699005622116561,,SEMA3D,SEMA3D,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O95025,Semaphorin-3D,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.02736033056985987,-0.9507851865365337,-0.9781455171063935,Original
Tam_2020,Intervertebral_disc,NP,-0.6292615612222027,,-0.7900036534535554,,CCN6,WISP3,95.0,Level 2: UniProt ID,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),1.0,2.0,O95389,WNT1-inducible-signaling pathway protein 3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.1621085326189231,-0.6346108035996259,-0.796719336218549,Original
Tam_2020,Intervertebral_disc,NP,-0.40861353443008086,,0.1141376223075244,,MATN4,MATN4,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O95460,Matrilin-4,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.5271949728115388,-0.41208708655698445,0.1151078862545544,Original
Tam_2020,Intervertebral_disc,NP,-0.7263035192608882,,,,NTN1,NTN1,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O95631,Netrin-1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.7324776983360503,,Original
Tam_2020,Intervertebral_disc,NP,,,-0.5818929819668339,,FSTL3,FSTL3,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,O95633,Follistatin-related protein 3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-0.5868395523440494,Original
Tam_2020,Intervertebral_disc,NP,,,-0.6141601753581031,,CXCL14,CXCL14,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,O95715,C-X-C motif chemokine 14,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-0.6193810434978481,Original
Tam_2020,Intervertebral_disc,NP,-0.14112481702702767,,-0.050026319529736546,,EFEMP2,EFEMP2,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O95967,EGF-containing fibulin-like extracellular matrix protein 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.09187290987739202,-0.14232449439216155,-0.05045158451476953,Original
Tam_2020,Intervertebral_disc,NP,0.32794194988782766,,-0.7370545370998423,,F13A1,F13A1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P00488,Coagulation factor XIII A chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,1.0740498356920405,0.330729726996392,-0.7433201086956485,Original
Tam_2020,Intervertebral_disc,NP,0.7406283242601238,,-1.4702588711838638,,F2,F2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,2.0,P00734,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.229681560468606,0.7469242759949751,-1.4827572844736308,Original
Tam_2020,Intervertebral_disc,NP,-0.08769023165209136,,,,F9,F9,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,P00740,Coagulation factor IX;Coagulation factor IXa light chain;Coagulation factor IXa heavy chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.08843567096087157,,Original
Tam_2020,Intervertebral_disc,NP,-0.11222291374405054,,,,F10,F10,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,P00742,Coagulation factor X;Factor X light chain;Factor X heavy chain;Activated factor Xa heavy chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.1131769010887592,,Original
Tam_2020,Intervertebral_disc,NP,1.2209221514522208,,-1.255870095461505,,PLG,PLG,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,2.0,P00747,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.4978470242332413,1.2313009969348494,-1.2665460272983917,Original
Tam_2020,Intervertebral_disc,NP,0.19756288129459315,,-0.8910896155719527,,F12,F12,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,2.0,P00748,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,1.0979069411698261,0.19924232876437697,-0.898664612405449,Original
Tam_2020,Intervertebral_disc,NP,1.4368097538614646,,-1.4745149733796443,,SERPINC1,SERPINC1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,1.0,P01008,Antithrombin-III,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.936073389109395,1.4490238220602636,-1.4870495670491315,Original
Tam_2020,Intervertebral_disc,NP,2.207715706399586,,1.6062243023942973,,SERPINA1,SERPINA1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P01009,Alpha-1-antitrypsin;Short peptide from AAT,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.6066045771374777,2.226483111151018,1.6198785340135404,Original
