Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality,Abundance_Young_Original,Abundance_Old_Original,Insight_Relevance
Tam_2020,Intervertebral_disc,NP,36.2164,,35.9438,,CILP,CILP,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O75339,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.0740546589301008,2.0372690542590246,1.6895170414871337,Original,35.9438,36.2164,Supporting
Tam_2020,Intervertebral_disc,NP,31.50356666666667,,23.685650000000003,,F2,F2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,2.0,P00734,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,1.5911155106808246,0.8291700034214542,-0.810823498206044,Original,23.68565,31.50356666666667,G1_Universal
Tam_2020,Intervertebral_disc,NP,33.965333333333334,,23.6706,,SERPINC1,SERPINC1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,1.0,P01008,Antithrombin-III,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.1377222882530265,1.4602252016497457,-0.8138933027950227,Original,23.6706,33.965333333333334,S1_Coagulation
Tam_2020,Intervertebral_disc,NP,33.96096666666667,,24.067966666666663,,FGA,FGA,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P02671,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.0490640658936803,1.4591058397962282,-0.7328409428720813,Original,24.067966666666663,33.96096666666667,S1_Coagulation
Tam_2020,Intervertebral_disc,NP,34.63126666666667,,25.945400000000003,,FGB,FGB,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P02675,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,1.7826627329596063,1.6309321566848136,-0.3498938689739284,Original,25.945400000000003,34.63126666666667,G1_Universal;S1_Coagulation
Tam_2020,Intervertebral_disc,NP,29.589866666666666,,15.02848844116562,,LRG1,LRG1,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,0.0,P02750,Leucine-rich alpha-2-glycoprotein,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,3.0793248892607807,0.3386075349301997,-2.5766570052382627,Original,,29.589866666666666,G1_Universal
Tam_2020,Intervertebral_disc,NP,32.962633333333336,,22.9114,,VTN,VTN,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,1.0,P04004,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.0839844593171626,1.203190667942175,-0.9687501562137736,Original,22.9114,32.962633333333336,G1_Universal
Tam_2020,Intervertebral_disc,NP,31.6898,,29.901666666666667,,TIMP3,TIMP3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P35625,Metalloproteinase inhibitor 3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.2604072343482042,0.8769095047619742,0.4570805874084341,Original,29.901666666666667,31.6898,S3_TIMP3
Tam_2020,Intervertebral_disc,NP,31.737166666666667,,33.17366666666666,,PCOLCE,PCOLCE,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,Q15113,Procollagen C-endopeptidase enhancer 1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.4512346319661808,0.8890515902112095,1.1244826216367692,Original,33.17366666666666,31.737166666666667,G2_Quality_Paradigm
Tam_2020,Intervertebral_disc,NP,27.3943,,18.02902508015273,,FCN2,FCN2,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,Q15485,Ficolin-2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,1.932600821202045,-0.2242093139683272,-1.9646263644568895,Original,,27.3943,G1_Universal
Tam_2020,Intervertebral_disc,IAF,37.19896666666667,,36.840066666666665,,CILP,CILP,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),6.0,6.0,O75339,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,-0.0321790329687509,2.2489449313213585,1.895547964484763,Original,36.840066666666665,37.19896666666667,Supporting
Tam_2020,Intervertebral_disc,IAF,30.11418333333333,,22.675540000000005,,F2,F2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),6.0,5.0,P00734,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,1.6525285429711936,0.4916752326604119,-1.0221515004104509,Original,22.67554,30.11418333333333,G1_Universal
