Extraction_Method,Category,Gene_Symbol,Log_Fold_Change,P_Value,Protein_Name
PBS,ECM regulators,SPA3K,-0.172,0.4507,Serine protease inhibitor A3K
PBS,ECM regulators,SPA3N,1.773,0.0284,Serine protease inhibitor A3N
PBS,ECM regulators,A1AT3,0.296,0.2062,Alpha-1-antitrypsin 1-3
PBS,ECM regulators,A1AT2,0.693,0.0056,Alpha-1-antitrypsin 1-2 (AAT)
PBS,ECM regulators,A1AT4,0.746,0.1332,Alpha-1-antitrypsin 1-4
PBS,ECM regulators,PZP,0.863,0.0123,Pregnancy zone protein (Alpha-2-macroglobulin)
PBS,ECM regulators,KNG1,0.97,0.0435,Kininogen-1
PBS,ECM regulators,ANT3,0.516,0.2097,Antithrombin-III
PBS,ECM regulators,A2AP,1.037,0.0382,Alpha-2-antiplasmin
PBS,ECM regulators,CBG,1.824,0.0492,Corticosteroid-binding globulin
PBS,ECM regulators,ITIH2,2.002,0.0384,Inter-alpha-trypsin inhibitor heavy chain H2
PBS,ECM regulators,PLMN,0.403,0.4787,Plasminogen
PBS,ECM regulators,ITIH4,1.424,0.0176,"Inter alpha-trypsin inhibitor, heavy chain 4"
PBS,ECM regulators,ILEUA,1.107,0.0083,Leukocyte elastase inhibitor A
PBS,ECM regulators,CATD,0.578,0.0008,Cathepsin D
PBS,ECM regulators,HEP2,1.277,0.0913,Heparin cofactor 2 (Heparin cofactor II) (HC-II)
PBS,ECM regulators,CATB,0.712,0.0783,Cathepsin B
PBS,ECM regulators,ITIH3,1.153,0.0598,Inter-alpha-trypsin inhibitor heavy chain H3
PBS,ECM regulators,PEDF,1.113,0.0399,Pigment epithelium-derived factor
PBS,ECM regulators,HRG,0.484,0.5714,Histidine-rich glycoprotein
PBS,ECM regulators,IC1,0.514,0.3235,Plasma protease C1 inhibitor
PBS,ECM regulators,THRB,0.53,0.5704,Prothrombin
PBS,ECM regulators,AMBP,2.275,0.0785,Protein AMBP
PBS,ECM regulators,ITIH1,0.819,0.1858,Inter-alpha-trypsin inhibitor heavy chain H1
PBS,ECM regulators,CPN2,0.666,0.4728,Carboxypeptidase N subunit 2
PBS,ECM regulators,CYTB,2.805,0.078,Cystatin-B
PBS,ECM regulators,FIBG,1.138,0.0014,Fibrinogen gamma chain
PBS,ECM Glycoproteins,FIBB,1.19,0.0015,Fibrinogen beta chain
PBS,ECM Glycoproteins,FIBA,1.19,0.0009,Fibrinogen alpha chain
PBS,ECM Glycoproteins,COMP,0.32,0.715,Cartilage oligomeric matrix protein
PBS,ECM Glycoproteins,VMA5A,0.806,0.0002,von Willebrand factor A domain-containing protein 5A
PBS,ECM Glycoproteins,ADIPO,0.071,0.8364,Adiponectin
