Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Zscore_Young,Zscore_Old,Zscore_Delta,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence,N_Profiles_Young,N_Profiles_Old
A0A075B6K4,,IGLV3-10,Intervertebral_disc_IAF,IAF,Homo sapiens,,25.5699,,-0.44497563893300957,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGLV3-10,,,Level 4: Unmatched,0,0.0,1.0
A0A075B6S5,,IGKV1-27,Intervertebral_disc_IAF,IAF,Homo sapiens,,25.3654,,-0.5233805569730089,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-27,,,Level 4: Unmatched,0,0.0,1.0
A0A075B6S6;P06310,Ig kappa chain V-II region RPMI 6410,IGKV2D-30,Intervertebral_disc_IAF,IAF,Homo sapiens,,24.1089,,-1.0188895448093493,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2D-30,,,Level 4: Unmatched,0,0.0,1.0
A0A0A0MS14,,IGHV1-45,Intervertebral_disc_IAF,IAF,Homo sapiens,,27.0495,,0.10494101844158177,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV1-45,,,Level 4: Unmatched,0,0.0,1.0
A0A0A0MS15,,IGHV3-49,Intervertebral_disc_IAF,IAF,Homo sapiens,,25.731866666666665,,-0.38330498007469677,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-49,,,Level 4: Unmatched,0,0.0,3.0
A0A0B4J1U3,,IGLV1-36,Intervertebral_disc_IAF,IAF,Homo sapiens,,23.3265,,-1.340122627617039,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGLV1-36,,,Level 4: Unmatched,0,0.0,1.0
A0A0B4J1U7,,IGHV6-1,Intervertebral_disc_IAF,IAF,Homo sapiens,,28.83845,,0.7323367452345945,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV6-1,,,Level 4: Unmatched,0,0.0,2.0
A0A0B4J1V0,,IGHV3-15,Intervertebral_disc_IAF,IAF,Homo sapiens,,26.20465,,-0.2054018467136123,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-15,,,Level 4: Unmatched,0,0.0,2.0
A0A0B4J1V1,,IGHV3-21,Intervertebral_disc_IAF,IAF,Homo sapiens,28.5138,,0.5386338775652828,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-21,,,Level 4: Unmatched,0,1.0,0.0
A0A0B4J1V2,,IGHV2-26,Intervertebral_disc_IAF,IAF,Homo sapiens,,25.34515,,-0.5311774344944143,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV2-26,,,Level 4: Unmatched,0,0.0,2.0
