Extraction_Method,Protein_Symbol,Gene_Symbol,Score,Mass,Num_Significant_Matches,Num_Significant_Sequences,Num_Unique_Sequences,Protein_Name
PBS,1433B_MOUSE,1433B,3708,28183,199,13,6,14-3-3 protein beta/alpha
PBS,1433E_MOUSE,1433E,11008,29326,481,18,15,14-3-3 protein epsilon
PBS,1433F_MOUSE,1433F,2260,28365,128,9,4,14-3-3 protein eta
PBS,1433G_MOUSE,1433G,9375,28456,441,15,9,14-3-3 protein gamma
PBS,1433T_MOUSE,1433T,2119,28046,102,8,3,14-3-3 protein theta
PBS,1433Z_MOUSE,1433Z,4793,27925,233,14,9,14-3-3 protein zeta/delta
PBS,2A5E_MOUSE,2A5E,32,55078,1,1,1,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform
PBS,2AAA_MOUSE,2AAA,6254,66079,341,24,24,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
PBS,2ABA_MOUSE,2ABA,1209,52173,71,7,7,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform
PBS,3HIDH_MOUSE,3HIDH,907,35816,43,5,5,"3-hydroxyisobutyrate dehydrogenase, mitochondrial"
PBS,5NT1A_MOUSE,5NT1A,32,40824,2,2,2,Cytosolic 5'-nucleotidase 1A
PBS,5NT3A_MOUSE,5NT3A,1035,37571,90,11,11,Cytosolic 5'-nucleotidase 3A
PBS,6PGD_MOUSE,6PGD,1723,53726,95,13,13,"6-phosphogluconate dehydrogenase, decarboxylating"
PBS,6PGL_MOUSE,6PGL,1205,27465,81,9,9,6-phosphogluconolactonase
PBS,A16A1_MOUSE,A16A1,20,85501,2,1,1,Aldehyde dehydrogenase family 16 member A1
PBS,A1AG1_MOUSE,A1AG1,794,23994,24,3,3,Alpha-1-acid glycoprotein 1
PBS,A1AT1_MOUSE,A1AT1,15902,46145,648,14,1,Alpha-1-antitrypsin 1-1
PBS,A1AT2_MOUSE,A1AT2,15185,46117,644,13,4,Alpha-1-antitrypsin 1-2
PBS,A1AT3_MOUSE,A1AT3,17308,45966,727,14,1,Alpha-1-antitrypsin 1-3
PBS,A1AT4_MOUSE,A1AT4,13826,46140,615,12,2,Alpha-1-antitrypsin 1-4
PBS,A2AP_MOUSE,A2AP,1464,55165,88,10,10,Alpha-2-antiplasmin
PBS,AAKB2_MOUSE,AAKB2,69,30304,7,3,3,5'-AMP-activated protein kinase subunit beta-2
PBS,AAKG1_MOUSE,AAKG1,553,37668,23,3,3,5'-AMP-activated protein kinase subunit gamma-1
PBS,AAKG3_MOUSE,AAKG3,252,54271,18,3,3,5'-AMP-activated protein kinase subunit gamma-3
PBS,AAMDC_MOUSE,AAMDC,735,13350,35,3,3,Mth938 domain-containing protein
PBS,AAPK2_MOUSE,AAPK2,109,62610,16,5,5,5'-AMP-activated protein kinase catalytic subunit alpha-2
PBS,AATC_MOUSE,AATC,28473,46504,1189,28,28,"Aspartate aminotransferase, cytoplasmic"
PBS,AATM_MOUSE,AATM,30635,47780,1383,29,29,"Aspartate aminotransferase, mitochondrial"
PBS,ABCA2_MOUSE,ABCA2,20,272788,1,1,1,ATP-binding cassette sub-family A member 2
PBS,ABCB8_MOUSE,ABCB8,30,78691,1,1,1,"ATP-binding cassette sub-family B member 8, mitochondrial"
PBS,ABCE1_MOUSE,ABCE1,132,68240,12,5,5,ATP-binding cassette sub-family E member 1
PBS,ABEC2_MOUSE,ABEC2,3409,25872,175,10,10,C->U-editing enzyme APOBEC-2
PBS,ABHDB_MOUSE,ABHDB,362,33654,23,4,4,Protein ABHD11
PBS,ABHDD_MOUSE,ABHDD,45,38785,6,1,1,Protein ABHD13
PBS,ABRA_MOUSE,ABRA,108,42976,12,1,1,Actin-binding Rho-activating protein
PBS,ACACB_MOUSE,ACACB,32,277969,2,2,2,Acetyl-CoA carboxylase 2
PBS,ACAD8_MOUSE,ACAD8,124,45789,7,5,5,"Isobutyryl-CoA dehydrogenase, mitochondrial"
PBS,ACAD9_MOUSE,ACAD9,406,69192,30,3,3,"Acyl-CoA dehydrogenase family member 9, mitochondrial"
PBS,ACADL_MOUSE,ACADL,13195,48277,708,23,23,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial"
PBS,ACADM_MOUSE,ACADM,5888,46908,309,16,16,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
PBS,ACADS_MOUSE,ACADS,2455,45146,162,15,15,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial"
PBS,ACADV_MOUSE,ACADV,11086,71230,524,32,32,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"
PBS,ACBP_MOUSE,ACBP,478,9994,40,3,3,Acyl-CoA-binding protein
PBS,ACDSB_MOUSE,ACDSB,1586,48300,55,7,7,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
PBS,ACLY_MOUSE,ACLY,226,120564,9,3,3,ATP-citrate synthase
PBS,ACO13_MOUSE,ACO13,382,15287,22,3,3,Acyl-coenzyme A thioesterase 13
PBS,ACOC_MOUSE,ACOC,207,98691,24,7,7,Cytoplasmic aconitate hydratase
PBS,ACON_MOUSE,ACON,52991,86151,2158,43,43,"Aconitate hydratase, mitochondrial"
PBS,ACOT2_MOUSE,ACOT2,1447,49854,94,14,14,"Acyl-coenzyme A thioesterase 2, mitochondrial"
PBS,ACOT9_MOUSE,ACOT9,23,50813,3,3,3,"Acyl-coenzyme A thioesterase 9, mitochondrial"
PBS,ACS2L_MOUSE,ACS2L,20,75317,1,1,1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial"
PBS,ACSL1_MOUSE,ACSL1,99,78928,9,5,5,Long-chain-fatty-acid--CoA ligase 1
PBS,ACTB_MOUSE,ACTB,16693,42052,839,20,8,"Actin, cytoplasmic 1"
PBS,ACTN2_MOUSE,ACTN2,394,104339,18,5,2,Alpha-actinin-2
PBS,ACTN3_MOUSE,ACTN3,580,103605,31,7,4,Alpha-actinin-3
PBS,ACTS_MOUSE,ACTS,36202,42366,1524,27,15,"Actin, alpha skeletal muscle"
PBS,ACTY_MOUSE,ACTY,275,42369,25,2,2,Beta-centractin
