Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score,Balance_Difference,Oscillation_Score,Up_Fraction,Down_Fraction,Perfect_Balance_Score
ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,ECM Regulators,Matrisome-associated,10,12,0.5,DOWN,6,6,0.5043345810014913,0.7649616135672485,0.0858306512104171,1.073478524788284,6,0.5,1.6274813107804396,0.1319130473309397,0.576584140125831,0,0.6,0.6,0.6,1.0
FN1,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,ECM Glycoproteins,Core matrisome,10,12,0.5,DOWN,6,6,0.1364727682078841,0.3777433302476126,0.0002482754024294,0.4848581042108055,4,0.3333333333333333,0.975038949881527,0.3504959119988658,0.4941457388602822,0,0.6,0.6,0.6,1.0
COL18A1,Collagen alpha-1(XVIII) chain;Endostatin,Collagens,Core matrisome,10,14,0.5714285714285714,UP,8,6,0.1353354911992749,0.4411409671162168,0.1053962799545389,0.6965917643390263,3,0.2142857142857142,0.726938023476252,0.4801503978237681,0.4959831768107336,2,0.6,0.8,0.6,0.8
MATN2,Matrilin-2,ECM Glycoproteins,Core matrisome,9,11,0.5454545454545454,DOWN,5,6,-0.1209507380721322,0.4726786919628768,-0.2372219977996593,0.5474189290254419,5,0.4545454545454545,-0.7327993151716039,0.4805050897351036,0.4736267442973952,1,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.8888888888888888
FBLN1,Fibulin-1,ECM Glycoproteins,Core matrisome,9,11,0.5454545454545454,DOWN,5,6,0.031476290506239,0.2274787755982344,-0.1152935877260124,0.2694426512623576,1,0.0909090909090909,0.3874481078341628,0.7065430062213072,0.4038991693636903,1,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.8888888888888888
SERPINF1,Pigment epithelium-derived factor,ECM Regulators,Matrisome-associated,9,11,0.5454545454545454,DOWN,5,6,0.2675788785715463,0.59167238720229,-0.0010681515123002,0.8516776957128086,5,0.4545454545454545,1.04201242619502,0.321942450092659,0.5172386417498255,1,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.8888888888888888
Dcn,,Proteoglycans,Core matrisome,8,8,0.5,DOWN,4,4,-0.0778145473770983,0.1435769049766468,-0.0822010578209506,0.1663188434537479,0,0.0,-1.3233183440362164,0.2273132381206717,0.4600715134617655,0,0.5,0.5,0.5,1.0
Tgm2,,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.0911309328257946,0.1612123822666169,0.0204519621660749,0.2269600080208492,1,0.125,-1.1356943655210925,0.2934681676781516,0.4486040752792666,0,0.5,0.5,0.5,1.0
Anxa1,,ECM-affiliated Proteins,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.1165982503986592,0.2020283270678322,-0.0132563340409987,0.2722473134733183,1,0.125,-1.2113605453735254,0.2650595506201106,0.4583673931709964,0,0.5,0.5,0.5,1.0
COL4A1,Collagen alpha-1(IV) chain;Arresten,Collagens,Core matrisome,8,8,0.5,DOWN,4,4,0.054614949820691,0.148973550660579,0.0063792372989251,0.1890182401262116,0,0.0,0.8172460254965269,0.440712247288058,0.4179313761966815,0,0.5,0.5,0.5,1.0
POSTN,Periostin,ECM Glycoproteins,Core matrisome,10,11,0.5454545454545454,UP,6,5,0.2463793629869518,0.5281711792792916,0.1762645196462397,0.7357707527796206,4,0.3636363636363636,1.110601230107946,0.2927302173788598,0.5343780263238149,1,0.5,0.6,0.5,0.9
DPT,Dermatopontin,ECM Glycoproteins,Core matrisome,10,10,0.5,DOWN,5,5,0.0062002336984791,0.1683734335186437,0.0162987374540369,0.2477404172069113,1,0.1,0.0791427605296567,0.9386508458571176,0.3555777624157349,0,0.5,0.5,0.5,1.0
AGRN,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,ECM Glycoproteins,Core matrisome,10,12,0.5833333333333334,DOWN,5,7,-0.1448336655406874,0.2635794308826738,-0.1064131413212697,0.3250897794267434,1,0.0833333333333333,-1.54332300329631,0.1510164919964522,0.5476252329242711,2,0.5,0.5,0.7,0.8
LUM,Lumican,Proteoglycans,Core matrisome,10,10,0.5,DOWN,5,5,-0.0806051469233048,0.3166689519284133,0.0627679114992521,0.4306557107365769,2,0.2,-0.591878498427881,0.5685000090547995,0.4444374816171755,0,0.5,0.5,0.5,1.0
FBN1,Fibrillin-1,ECM Glycoproteins,Core matrisome,10,12,0.5833333333333334,DOWN,5,7,-0.0951929925677678,0.3022218224647259,-0.159490331675767,0.357335578140499,3,0.25,-0.9228249843460724,0.3758965039331274,0.5065134696951412,2,0.5,0.5,0.7,0.8
SERPINB1,Leukocyte elastase inhibitor,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.0225168020251688,0.3266128601146387,-0.0177992558614665,0.3819543876989726,1,0.125,-0.1667401544833692,0.8722888001456822,0.3493799965705627,0,0.5,0.5,0.5,1.0
S100A10,Protein S100-A10,Secreted Factors,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.0227420391286973,0.4515514404448387,0.0259324160357449,0.546607582523637,4,0.5,-0.1176789389687348,0.9096275329084336,0.3544061080510324,0,0.5,0.5,0.5,1.0
BGN,Biglycan,Proteoglycans,Core matrisome,10,11,0.5454545454545454,DOWN,5,6,0.0661844688257841,0.1651034663540924,-0.0024775106625811,0.2806252478424249,1,0.0909090909090909,0.7822141868266871,0.4522126767275807,0.4661747631615508,1,0.5,0.5,0.6,0.9
CST3,Cystatin-C,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,0.0737537586253565,0.1672459563930719,-0.0100040909286664,0.2014873086716095,0,0.0,1.0353363337039576,0.3349485208002319,0.440911362067496,0,0.5,0.5,0.5,1.0
PLG,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",ECM Regulators,Matrisome-associated,10,10,0.5,DOWN,5,5,0.6738969372783365,0.8255683529628411,0.0332770370259839,1.1974618475256902,3,0.3,1.7796385199366078,0.1088383142014347,0.5872597606912913,0,0.5,0.5,0.5,1.0
SERPINA1,Alpha-1-antitrypsin;Short peptide from AAT,ECM Regulators,Matrisome-associated,8,10,0.6,UP,6,4,0.3900365751958458,0.4660553590292752,0.3435952554633599,0.5150919468443278,5,0.5,2.3945316092529967,0.0402571997324805,0.5597305665446668,2,0.5,0.75,0.5,0.75
