Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence,Abundance_Young,Abundance_Old,N_Profiles_Young,N_Profiles_Old
A0A075B6J9,,IGLV2-18,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGLV2-18,,,Level 4: Unmatched,0,,22.7979,0.0,1.0
A0A075B6K4,,IGLV3-10,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGLV3-10,,,Level 4: Unmatched,0,,25.5699,0.0,1.0
A0A075B6K4,,IGLV3-10,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGLV3-10,,,Level 4: Unmatched,0,,25.0792,0.0,1.0
A0A075B6K4,,IGLV3-10,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGLV3-10,,,Level 4: Unmatched,0,,24.9653,0.0,2.0
A0A075B6P5;P01615,Ig kappa chain V-II region FR,IGKV2D-28,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2D-28,,,Level 4: Unmatched,0,,23.4362,0.0,1.0
A0A075B6S2;A2NJV5;A0A0A0MRZ7,,IGKV2D-29;IGKV A18;IGKV2D-26,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2D-29;IGKV A18;IGKV2D-26,,,Level 4: Unmatched,0,,30.998,0.0,1.0
A0A075B6S5,,IGKV1-27,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-27,,,Level 4: Unmatched,0,,25.3654,0.0,1.0
A0A075B6S5,,IGKV1-27,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-27,,,Level 4: Unmatched,0,,24.92155,0.0,2.0
A0A075B6S6;P06310,Ig kappa chain V-II region RPMI 6410,IGKV2D-30,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2D-30,,,Level 4: Unmatched,0,,24.1089,0.0,1.0
A0A075B6S6;P06310,Ig kappa chain V-II region RPMI 6410,IGKV2D-30,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2D-30,,,Level 4: Unmatched,0,,24.1276,0.0,2.0
A0A075B6S6;P06310,Ig kappa chain V-II region RPMI 6410,IGKV2D-30,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2D-30,,,Level 4: Unmatched,0,,24.17085,0.0,2.0
A0A087WSZ0,,IGKV1D-8,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1D-8,,,Level 4: Unmatched,0,,25.0767,0.0,1.0
A0A087WW87;P01614,Ig kappa chain V-II region Cum,IGKV2-40,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2-40,,,Level 4: Unmatched,0,,25.4874,0.0,1.0
A0A0A0MS14,,IGHV1-45,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV1-45,,,Level 4: Unmatched,0,,27.0495,0.0,1.0
A0A0A0MS15,,IGHV3-49,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-49,,,Level 4: Unmatched,0,,25.731866666666665,0.0,3.0
A0A0A0MS15,,IGHV3-49,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-49,,,Level 4: Unmatched,0,,25.9428,0.0,1.0
A0A0A0MS15,,IGHV3-49,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-49,,,Level 4: Unmatched,0,,27.10253333333333,0.0,6.0
A0A0A0MS15,,IGHV3-49,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-49,,,Level 4: Unmatched,0,,25.658483333333336,0.0,6.0
A0A0A0MT36,,IGKV6D-21,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV6D-21,,,Level 4: Unmatched,0,,21.6656,0.0,1.0
A0A0B4J1U3,,IGLV1-36,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGLV1-36,,,Level 4: Unmatched,0,,23.3265,0.0,1.0
A0A0B4J1U7,,IGHV6-1,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV6-1,,,Level 4: Unmatched,0,,28.83845,0.0,2.0
A0A0B4J1U7,,IGHV6-1,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV6-1,,,Level 4: Unmatched,0,,28.881800000000002,0.0,6.0
A0A0B4J1U7,,IGHV6-1,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV6-1,,,Level 4: Unmatched,0,,27.73,0.0,1.0
A0A0B4J1V0,,IGHV3-15,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-15,,,Level 4: Unmatched,0,,26.20465,0.0,2.0
A0A0B4J1V0,,IGHV3-15,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-15,,,Level 4: Unmatched,0,,25.001,0.0,1.0
A0A0B4J1V0,,IGHV3-15,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-15,,,Level 4: Unmatched,0,,25.991766666666667,0.0,3.0
A0A0B4J1V1,,IGHV3-21,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-21,,,Level 4: Unmatched,0,28.5138,,1.0,0.0
A0A0B4J1V2,,IGHV2-26,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV2-26,,,Level 4: Unmatched,0,,25.34515,0.0,2.0
A0A0B4J1V2,,IGHV2-26,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV2-26,,,Level 4: Unmatched,0,,25.0701,0.0,1.0
A0A0B4J1V2,,IGHV2-26,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV2-26,,,Level 4: Unmatched,0,,25.1645,0.0,2.0
A0A0B4J1V2,,IGHV2-26,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV2-26,,,Level 4: Unmatched,0,,24.02,0.0,1.0
A0A0B4J1V6,,IGHV3-73,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-73,,,Level 4: Unmatched,0,,21.3461,0.0,1.0
A0A0B4J1X5;A0A0C4DH42;P01767;P01772,Ig heavy chain V-III region BUT;Ig heavy chain V-III region KOL,IGHV3-74;IGHV3-66,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-74;IGHV3-66,,,Level 4: Unmatched,0,,29.30333333333333,0.0,3.0
A0A0B4J1X5;A0A0C4DH42;P01767;P01772,Ig heavy chain V-III region BUT;Ig heavy chain V-III region KOL,IGHV3-74;IGHV3-66,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-74;IGHV3-66,,,Level 4: Unmatched,0,,29.269750000000002,0.0,2.0
A0A0B4J1X5;A0A0C4DH42;P01767;P01772,Ig heavy chain V-III region BUT;Ig heavy chain V-III region KOL,IGHV3-74;IGHV3-66,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-74;IGHV3-66,,,Level 4: Unmatched,0,,29.20566,0.0,5.0
A0A0B4J1X5;A0A0C4DH42;P01767;P01772,Ig heavy chain V-III region BUT;Ig heavy chain V-III region KOL,IGHV3-74;IGHV3-66,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-74;IGHV3-66,,,Level 4: Unmatched,0,29.1571,28.305,1.0,2.0
A0A0B4J1X8,,IGHV3-43,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-43,,,Level 4: Unmatched,0,21.7634,,1.0,0.0
A0A0B4J1Y8,,IGLV9-49,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGLV9-49,,,Level 4: Unmatched,0,,23.6649,0.0,1.0
A0A0B4J1Y9,,IGHV3-72,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-72,,,Level 4: Unmatched,0,,28.6986,0.0,3.0
A0A0B4J1Y9,,IGHV3-72,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-72,,,Level 4: Unmatched,0,,27.7701,0.0,2.0
A0A0B4J1Y9,,IGHV3-72,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-72,,,Level 4: Unmatched,0,,28.848788888888887,0.0,9.0
A0A0B4J1Y9,,IGHV3-72,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-72,,,Level 4: Unmatched,0,,26.840985714285715,0.0,7.0
A0A0C4DH24,,IGKV6-21,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV6-21,,,Level 4: Unmatched,0,,24.0872,0.0,1.0
A0A0C4DH29;P0DP01;A0A0B4J2H0,,IGHV1-3;IGHV1-69-2,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV1-3;IGHV1-69-2,,,Level 4: Unmatched,0,,24.6738,0.0,1.0
A0A0C4DH31,,IGHV1-18,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV1-18,,,Level 4: Unmatched,0,,25.3334,0.0,1.0
A0A0C4DH31,,IGHV1-18,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV1-18,,,Level 4: Unmatched,0,,25.57913333333333,0.0,3.0
A0A0C4DH31,,IGHV1-18,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV1-18,,,Level 4: Unmatched,0,25.7204,25.01775,1.0,2.0
A0A0C4DH33,,IGHV1-24,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV1-24,,,Level 4: Unmatched,0,,23.6517,0.0,1.0
