Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality,Abundance_Young_Original,Abundance_Old_Original,Compartment_Annotation,Matrisome_Category_Simplified
Tam_2020,Intervertebral_disc,NP,29.94843333333333,,29.4661,,PRSS2,PRSS3P2;PRSS2;PRSS1,95.0,Level 2: UniProt ID,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,1.0,CON__P07477;Q8NHM4;P07478;P07477,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.0277687698589909,0.4305233781233226,0.3682364311201124,Original,29.4661,29.94843333333333,Nucleus pulposus (gel-like core),ECM Regulators
Tam_2020,Intervertebral_disc,NP,20.1819,,20.1819,,FLG,FLG,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,CON__P20930;P20930,Filaggrin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.1342145446299631,-2.073053306102054,-1.5254964436301073,Original,20.1819,,Nucleus pulposus (gel-like core),Secreted Factors
Tam_2020,Intervertebral_disc,NP,28.99045,,25.2425,,HRNR,HRNR,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,CON__Q86YZ3;Q86YZ3,Hornerin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.69291767697239,0.1849516224806003,-0.4932670015714526,Original,25.2425,,Nucleus pulposus (gel-like core),Secreted Factors
Tam_2020,Intervertebral_disc,NP,26.435699999999997,,13.296338188354737,,MASP2,MASP2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O00187,Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.765501173483477,-0.4699391474300595,-2.9299701477551054,Original,,26.4357,Nucleus pulposus (gel-like core),ECM Regulators
Tam_2020,Intervertebral_disc,NP,26.187,,25.890697916666667,,LEFTY2,LEFTY2;LEFTY1,95.0,Level 2: UniProt ID,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O00292;O75610,Left-right determination factor 2;Left-right determination factor 1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.0688238642705925,-0.5336915045987769,-0.3610516567774724,Original,,26.187,Nucleus pulposus (gel-like core),Secreted Factors
Tam_2020,Intervertebral_disc,NP,28.2688,,31.01376666666667,,MATN2,MATN2,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O00339,Matrilin-2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.73999914080238,-3.787712054562239e-05,0.6839197690298686,Original,31.01376666666667,28.2688,Nucleus pulposus (gel-like core),ECM Glycoproteins
Tam_2020,Intervertebral_disc,NP,25.3422,,26.5833,,AGRN,AGRN,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,3.0,O00468,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.4081119552759652,-0.7502495718932379,-0.2197790286211611,Original,26.5833,25.3422,Nucleus pulposus (gel-like core),ECM Glycoproteins
Tam_2020,Intervertebral_disc,NP,28.42685,,29.385166666666667,,PLOD2,PLOD2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,3.0,O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.3457047175240948,0.0404770406539456,0.3517281574943339,Original,29.385166666666667,28.42685,Nucleus pulposus (gel-like core),ECM Regulators
Tam_2020,Intervertebral_disc,NP,26.00296666666667,,26.00296666666667,,CCL21,CCL21,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,3.0,O00585,C-C motif chemokine 21,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.1342145446299631,-0.5808670526390503,-0.3381517814320342,Original,26.00296666666667,,Nucleus pulposus (gel-like core),Secreted Factors
Tam_2020,Intervertebral_disc,NP,25.0902,,24.47115,,CCN1,CYR61,95.0,Level 2: UniProt ID,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O00622,Protein CYR61,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.0024031268392226,-0.8148478590123241,-0.6506021357713383,Original,,25.0902,Nucleus pulposus (gel-like core),ECM Glycoproteins
