Protein,Community
1810010H24RIK,0
ADAMTSL1,0
ADAMTSL3,0
ADAMTSL4,0
ADAMTSL5,0
ANGPT1,0
ANGPT2,0
ANXA8,0
ANXA9,0
BMP3,1
BMP5,0
BMP6,1
BMPER,0
C1QTNF2,0
C1QTNF7,0
CCL21C;CCL21B;CCL21A,0
CHAD,1
CHRDL1,0
CILP2,1
CLEC1A,0
COL4A3,0
COL4A4,0
COL4A6,0
COL6A4,0
COL6A5,0
COLEC12,0
COLQ,0
CRELD1,0
CRELD2,0
CRISPLD2,0
CRLF3,0
CTSH,0
CTSL,0
CTSS,0
CXCL15,0
ECM2,1
EGFL7,0
EGFLAM,0
EMID1,0
F13B,2
FAM132A,0
FGF1,0
FGF2,0
FREM1,0
FSTL1,1
GPC4,0
HCFC2,0
HTRA4,0
HYAL2,0
IGFBP2,1
IGFBP5,1
IGFBP6,0
IL16,0
INHBE,0
KNG2,0
LAMB3,0
LAMC2,0
LGALS9,0
LGALSL,0
LOX,1
LOXL1,0
LTBP2,1
MBL1,0
MFAP1,0
MFAP5,0
MMP19,0
MMP8,0
MMP9,0
MMRN1,0
NDNF,0
NID2;NID-2,0
NTN1,1
NTN4,0
PCOLCE2,1
PF4,0
PLAT,0
PLAU,0
PLXNA1,0
PLXNB1,0
PLXNB2;MKIAA0315,0
PODN,0
S100A1;S100A1,0
S100G,0
SDC4,0
SEMA3A,1
SEMA3C,0
SEMA3E,0
SEMA3F,0
SEMA7A,0
SERPINA1A,0
SERPINA1B,0
SERPINA1C,0
SERPINA1D,0
SERPINA1E,0
SERPINA3M,0
SERPINA3N,0
SERPINB1A,0
SERPINB6;SERPINB6A,0
SERPINB6B,0
SERPINB9B,0
SFTPA1,0
SFTPB,0
SFTPC,0
SFTPD,0
SPARCL1,0
SPON1;MKIAA0762,0
SRPX2,1
STFA2L1;STFA2,0
SVEP1,0
TGFB2,0
TNFSF10,0
TNFSF12,0
TNFSFM13;TNFSF13,0
VWA9,0
WNT3A,0
WNT4,0
WNT9A,0
A2M,1
ACAN,1
AGRN,3
ANGPTL5,1
COL14A1,1
COL15A1,1
COL1A1,1
COL1A2,1
COL3A1,1
COL6A2,1
COL6A6,2
CRLF1,1
CTSD,1
CXCL14,1
ECM1,1
FBLN7,1
FBN1,1
FGG,1
FMOD,1
GPC1,1
HAPLN3,1
HPX,1
HRG,1
HSPG2,1
ITIH1,1
ITIH2,1
ITIH4,1
LOXL2,1
LOXL3,1
LTBP4,1
MATN4,1
NID2,1
NPNT,2
PLOD1,1
PRG4,1
PZP,2
S100A13,1
SERPINA1,1
SERPINA10,1
SERPINA3,1
SERPINA4,1
SERPINA6,1
SERPINB3,2
SERPINF1,1
SERPINF2,1
SLIT3,1
SPON1,2
TIMP3,2
TNXB,1
VTN,1
A2ML1,2
C17orf58,2
C1QA,2
CCL21,2
CCL28,2
CLEC11A,2
COCH,2
COL10A1,2
COL17A1,2
COL4A5,2
CST6,2
CTHRC1,1
CTSC,2
CTSV,2
EFEMP2,1
FBN3,2
FGL2,2
FRAS1,2
FREM2,2
HMCN2,2
LAMA3,0
LAMB4,2
LAMC3,2
LEPREL2,2
LGALS7,2
MEGF6,2
MMP12,2
MMP14,1
MMP2,1
MXRA5,1
NGLY1,2
OMD,2
PLXNB2,2
PRG2,2
S100A1,1
S100A14,2
S100A2,2
S100A3,2
S100A7,2
S100B,1
SERPINA12,2
SERPINB12,2
SERPINB2,2
SERPINB4,2
SERPINB5,2
SERPINB7,2
SERPINB8,3
SERPINB9,2
SFRP2,2
SNED1,1
TCHH,2
TGFB1,1
TGM1,2
TGM5,2
THBS2,1
TNFSF13,2
TSPEAR,2
VEGFB,2
VWA2,2
A2m,4
Acan,4
Adam10,4
Adam11,4
Adam22,4
Adam23,4
Adam9,4
Agrn,4
Agt,4
Angptl1,4
Anxa1,4
Anxa11,4
Anxa2,4
Anxa3,4
Anxa4,4
Anxa5,4
Anxa6,4
Anxa7,4
Bcan,4
Bdnf,4
Bgn,4
Brinp2,4
C1qa,4
C1qb,4
C1qc,4
C1ql3,4
C1qtnf4,4
Cabp1,4
Cbln1,4
Cbln4,4
Ccl21c,4
Cd209d,4
Chadl,4
Chl1,4
Clec2l,4
Coch,4
Col12a1,4
Col1a2,4
Col4a5,4
Col6a1,4
Col6a3,4
Creld1,4
Creld2,4
Crlf3,4
Crp,4
Cspg4,4
Cspg5,4
Cstb,4
Ctsh,4
Ctss,4
Ctsz,4
Dcn,4
Dsp,4
Edil3,4
Egln1,4
Elfn1,4
Elfn2,4
Fga,4
Fgb,4
Fgf1,4
Fgf12,4
Fgg,4
Fmod,4
Fn1,4
Fstl1,4
Gpc1,4
Gpc5,4
Gpc6,4
Grip1,4
Hapln1,4
Hapln2,4
Hapln4,4
Hcfc1,4
Hmcn2,4
Hspg2,4
Htra1,4
Igfbp4,4
Igfbp7,4
Itih2,4
Kng1,4
Lama1,4
Lama2,4
Lama5,4
Lamb1,4
Lamb2,4
Lamc1,4
Lgi1,4
Lgi3,4
Lman1,4
Lum,4
M6pr,4
Matn2,4
Matn4,4
Megf10,4
Megf8,4
Megf9,4
Mmp17,4
Ncan,4
Nell2,4
Nid2,4
Nrg3,4
Ntng1,4
Ovos,4
P4ha1,4
P4htm,4
Pag1,4
Parm1,4
Plxdc1,4
Plxna1,4
Plxna2,4
Plxna4,4
Plxnb1,4
Plxnb2,4
Plxnc1,4
Plxnd1,4
Prelp,4
Ptn,4
S100a1,4
S100a11,4
S100a4,4
S100a5,4
S100a6,4
S100b,4
Sdc2,4
Sdc3,4
Sema4a,4
Sema4b,4
Sema4d,4
Sema4f,4
Sema5b,4
Sema6d,4
Sema7a,4
Serpina1c,4
Serpina1d,4
Serpina1e,4
Serpina3k,4
Serpina3n,4
Serpinb1a,4
Serpinb9b,4
Serpini1,4
Shh,4
Slit1,4
