Protein_ID,Protein_Name,Gene_Symbol
Q9Y2R0,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial OS=Homo sapiens GN=COA3 PE=1 SV=1",COA3
F8WDW3,Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=4 SV=1,ARPC4
F8W835,Peripherin (Fragment) OS=Homo sapiens GN=PRPH PE=1 SV=2,PRPH
P63096,Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens GN=GNAI1 PE=1 SV=2,GNAI1
O60701,UDP-glucose 6-dehydrogenase OS=Homo sapiens GN=UGDH PE=1 SV=1,UGDH
C9JWJ8,Nuclear factor 1 OS=Homo sapiens GN=NFIX PE=1 SV=2,NFIX
B1PS43,Myosin heavy chain 11 smooth muscle isoform OS=Homo sapiens GN=MYH11 PE=1 SV=1,MYH11
P50895,Basal cell adhesion molecule OS=Homo sapiens GN=BCAM PE=1 SV=2,BCAM
P18887,DNA repair protein XRCC1 OS=Homo sapiens GN=XRCC1 PE=1 SV=2,XRCC1
Q9UMY4,Sorting nexin-12 OS=Homo sapiens GN=SNX12 PE=1 SV=3,SNX12
P17655,Calpain-2 catalytic subunit OS=Homo sapiens GN=CAPN2 PE=1 SV=6,CAPN2
P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=1 SV=3,GNAI2
D6RAA6,Transmembrane protein 33 (Fragment) OS=Homo sapiens GN=TMEM33 PE=1 SV=1,TMEM33
I3L2C7,Gem-associated protein 4 OS=Homo sapiens GN=GEMIN4 PE=1 SV=1,GEMIN4
P84095,Rho-related GTP-binding protein RhoG OS=Homo sapiens GN=RHOG PE=1 SV=1,RHOG
P19404,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens GN=NDUFV2 PE=1 SV=2",NDUFV2
H7BXF3,Transformer-2 protein homolog beta (Fragment) OS=Homo sapiens GN=TRA2B PE=1 SV=1,TRA2B
Q12965,Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2,MYO1E
H3BUY0,"39S ribosomal protein L21, mitochondrial OS=Homo sapiens GN=MRPL21 PE=1 SV=1",MRPL21
Q5BJF6,Outer dense fiber protein 2 OS=Homo sapiens GN=ODF2 PE=1 SV=1,ODF2
O14936,Peripheral plasma membrane protein CASK OS=Homo sapiens GN=CASK PE=1 SV=3,CASK
E7ET76,Gamma-glutamyltranspeptidase 1 (Fragment) OS=Homo sapiens GN=GGT1 PE=1 SV=1,GGT1
M0R0Y3,RuvB-like 2 OS=Homo sapiens GN=RUVBL2 PE=1 SV=1,RUVBL2
O43615,Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens GN=TIMM44 PE=1 SV=2,TIMM44
O14874,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Homo sapiens GN=BCKDK PE=1 SV=2",BCKDK
Q9NSV4,Protein diaphanous homolog 3 OS=Homo sapiens GN=DIAPH3 PE=1 SV=4,DIAPH3
A0A096LPI6,Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=2,4
A0A0C4DGZ9,Tripeptidyl-peptidase 1 OS=Homo sapiens GN=TPP1 PE=1 SV=1,TPP1
Q8NCA5,Protein FAM98A OS=Homo sapiens GN=FAM98A PE=1 SV=1,FAM98A
K7EQB2,Putative oxidoreductase GLYR1 (Fragment) OS=Homo sapiens GN=GLYR1 PE=1 SV=6,GLYR1
Q14353,Guanidinoacetate N-methyltransferase OS=Homo sapiens GN=GAMT PE=1 SV=1,GAMT
H7C0P8,DNA repair protein RAD50 (Fragment) OS=Homo sapiens GN=RAD50 PE=1 SV=1,RAD50
A0A0C4DFZ5,Ankyrin repeat and death domain-containing protein 1A OS=Homo sapiens GN=ANKDD1A PE=4 SV=1,ANKDD1A
K7EPH2,Phenylalanine--tRNA ligase alpha subunit (Fragment) OS=Homo sapiens GN=FARSA PE=1 SV=6,FARSA
Q9HCE9,Anoctamin-8 OS=Homo sapiens GN=ANO8 PE=1 SV=3,ANO8
Q9NVJ2,ADP-ribosylation factor-like protein 8B OS=Homo sapiens GN=ARL8B PE=1 SV=1,ARL8B
O75526,"RNA-binding motif protein, X-linked-like-2 OS=Homo sapiens GN=RBMXL2 PE=1 SV=3",RBMXL2
Q9H4G4,Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3,GLIPR2
Q9BWS9,Chitinase domain-containing protein 1 OS=Homo sapiens GN=CHID1 PE=1 SV=1,CHID1
Q7Z2K6,Endoplasmic reticulum metallopeptidase 1 OS=Homo sapiens GN=ERMP1 PE=1 SV=2,ERMP1
M0QYH2,Bifunctional polynucleotide phosphatase/kinase OS=Homo sapiens GN=PNKP PE=1 SV=1,PNKP
H0YBG6,"Stress-70 protein, mitochondrial (Fragment) OS=Homo sapiens GN=HSPA9 PE=1 SV=1",HSPA9
Q9UJY1,Heat shock protein beta-8 OS=Homo sapiens GN=HSPB8 PE=1 SV=1,HSPB8
P50570,Dynamin-2 OS=Homo sapiens GN=DNM2 PE=1 SV=2,DNM2
Q9H857,5'-nucleotidase domain-containing protein 2 OS=Homo sapiens GN=NT5DC2 PE=1 SV=1,NT5DC2
G3V161,"Kelch repeat and BTB (POZ) domain containing 3, isoform CRA_a OS=Homo sapiens GN=KBTBD3 PE=1 SV=1",KBTBD3
Q96PD5,N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens GN=PGLYRP2 PE=1 SV=1,PGLYRP2
Q9BTV4,Transmembrane protein 43 OS=Homo sapiens GN=TMEM43 PE=1 SV=1,TMEM43
B4DZ31,PCNA-interacting partner OS=Homo sapiens GN=PARPBP PE=1 SV=1,PARPBP
Q6KB66,"Keratin, type II cytoskeletal 80 OS=Homo sapiens GN=KRT80 PE=1 SV=2",KRT80
F6RGN5,Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=1 SV=1,SLC25A10
F5H157,Ras-related protein Rab-35 (Fragment) OS=Homo sapiens GN=RAB35 PE=1 SV=1,RAB35
P00558,Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,PGK1
P50416,"Carnitine O-palmitoyltransferase 1, liver isoform OS=Homo sapiens GN=CPT1A PE=1 SV=2",CPT1A
Q9H7Z7,Prostaglandin E synthase 2 OS=Homo sapiens GN=PTGES2 PE=1 SV=1,PTGES2
H0Y4N1,Succinate--hydroxymethylglutarate CoA-transferase (Fragment) OS=Homo sapiens GN=SUGCT PE=1 SV=1,SUGCT
P53675,Clathrin heavy chain 2 OS=Homo sapiens GN=CLTCL1 PE=1 SV=2,CLTCL1
Q15036,Sorting nexin-17 OS=Homo sapiens GN=SNX17 PE=1 SV=1,SNX17
Q8NDV7,Trinucleotide repeat-containing gene 6A protein OS=Homo sapiens GN=TNRC6A PE=1 SV=2,TNRC6A
J3QLF6,Growth factor receptor-bound protein 2 (Fragment) OS=Homo sapiens GN=GRB2 PE=1 SV=1,GRB2
Q9UI12,V-type proton ATPase subunit H OS=Homo sapiens GN=ATP6V1H PE=1 SV=1,ATP6V1H
H0Y2W2,ATPase family AAA domain-containing protein 3A (Fragment) OS=Homo sapiens GN=ATAD3A PE=1 SV=1,ATAD3A
J3QRS3,Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=1,MYL12A
P05141,ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7,SLC25A5
P05783,"Keratin, type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=1 SV=2",KRT18
O14495,Lipid phosphate phosphohydrolase 3 OS=Homo sapiens GN=PPAP2B PE=1 SV=1,PPAP2B
E7EQV9,Ribosomal protein L15 (Fragment) OS=Homo sapiens GN=RPL15 PE=1 SV=1,RPL15
P05556,Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2,ITGB1
A0A087WYC5,Ig gamma-1 chain C region OS=Homo sapiens GN=IGHG1 PE=1 SV=1,IGHG1
Q6ZMZ3,Nesprin-3 OS=Homo sapiens GN=SYNE3 PE=1 SV=2,SYNE3
O75264,Small integral membrane protein 24 OS=Homo sapiens GN=SMIM24 PE=2 SV=2,SMIM24
P12235,ADP/ATP translocase 1 OS=Homo sapiens GN=SLC25A4 PE=1 SV=4,SLC25A4
Q9Y2X3,Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1,NOP58
Q16795,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Homo sapiens GN=NDUFA9 PE=1 SV=2",NDUFA9
Q9UBU9,Nuclear RNA export factor 1 OS=Homo sapiens GN=NXF1 PE=1 SV=1,NXF1
E5RFH3,"28S ribosomal protein S28, mitochondrial OS=Homo sapiens GN=MRPS28 PE=1 SV=1",MRPS28
Q5JWF2,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Homo sapiens GN=GNAS PE=1 SV=2,GNAS
Q08211,ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4,DHX9
Q13547,Histone deacetylase 1 OS=Homo sapiens GN=HDAC1 PE=1 SV=1,HDAC1
Q08426,Peroxisomal bifunctional enzyme OS=Homo sapiens GN=EHHADH PE=1 SV=3,EHHADH
Q9H0R6,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial OS=Homo sapiens GN=QRSL1 PE=1 SV=2",QRSL1
Q9UBI6,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens GN=GNG12 PE=1 SV=3,GNG12
O95563,Mitochondrial pyruvate carrier 2 OS=Homo sapiens GN=MPC2 PE=1 SV=1,MPC2
Q13637,Ras-related protein Rab-32 OS=Homo sapiens GN=RAB32 PE=1 SV=3,RAB32
O15131,Importin subunit alpha-6 OS=Homo sapiens GN=KPNA5 PE=1 SV=2,KPNA5
Q8NI60,"Atypical kinase ADCK3, mitochondrial OS=Homo sapiens GN=ADCK3 PE=1 SV=1",ADCK3
O75787,Renin receptor OS=Homo sapiens GN=ATP6AP2 PE=1 SV=2,ATP6AP2
P09543,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens GN=CNP PE=1 SV=2",CNP
Q969Z3,Mitochondrial amidoxime reducing component 2 OS=Homo sapiens GN=MARC2 PE=1 SV=1,37316
Q92820,Gamma-glutamyl hydrolase OS=Homo sapiens GN=GGH PE=1 SV=2,GGH
Q14156,Protein EFR3 homolog A OS=Homo sapiens GN=EFR3A PE=1 SV=2,EFR3A
H7C4N8,Integrin beta-1 (Fragment) OS=Homo sapiens GN=ITGB1 PE=1 SV=1,ITGB1
Q96CN5,Leucine-rich repeat-containing protein 45 OS=Homo sapiens GN=LRRC45 PE=1 SV=1,LRRC45
Q13423,"NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens GN=NNT PE=1 SV=3",NNT
Q9H553,"Alpha-1,3/1,6-mannosyltransferase ALG2 OS=Homo sapiens GN=ALG2 PE=1 SV=1",ALG2
Q2KJ03,Putative uncharacterized protein ZNRD1-AS1 OS=Homo sapiens GN=ZNRD1-AS1 PE=5 SV=1,ZNRD1-AS1
A0A0C4DGQ8,Dehydrogenase/reductase SDR family member 7B OS=Homo sapiens GN=DHRS7B PE=1 SV=1,DHRS7B
Q96MN5,Transcription elongation factor A N-terminal and central domain-containing protein 2 OS=Homo sapiens GN=TCEANC2 PE=1 SV=1,TCEANC2
H7C3M2,60S ribosomal protein L3 (Fragment) OS=Homo sapiens GN=RPL3 PE=1 SV=1,RPL3
P40939,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2",HADHA
Q96RM1,Small proline-rich protein 2F OS=Homo sapiens GN=SPRR2F PE=3 SV=1,SPRR2F
P53007,"Tricarboxylate transport protein, mitochondrial OS=Homo sapiens GN=SLC25A1 PE=1 SV=2",SLC25A1
P23919,Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4,DTYMK
P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1",ACADVL
Q9UHG3,Prenylcysteine oxidase 1 OS=Homo sapiens GN=PCYOX1 PE=1 SV=3,PCYOX1
H0YJC6,Lymphoid-restricted membrane protein (Fragment) OS=Homo sapiens GN=LRMP PE=1 SV=1,LRMP
Q8NE18,Putative methyltransferase NSUN7 OS=Homo sapiens GN=NSUN7 PE=2 SV=4,NSUN7
A0A0G2JPD4,Ig gamma-4 chain C region (Fragment) OS=Homo sapiens GN=IGHG4 PE=1 SV=2,IGHG4
Q8WXF8,DNA-binding death effector domain-containing protein 2 OS=Homo sapiens GN=DEDD2 PE=1 SV=1,DEDD2
F8WEL6,Zinc finger protein 567 OS=Homo sapiens GN=ZNF567 PE=1 SV=1,ZNF567
Q8NE86,"Calcium uniporter protein, mitochondrial OS=Homo sapiens GN=MCU PE=1 SV=1",MCU
Q93009,Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens GN=USP7 PE=1 SV=2,USP7
Q9P0Z9,Peroxisomal sarcosine oxidase OS=Homo sapiens GN=PIPOX PE=1 SV=2,PIPOX
A1L0T0,Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2,ILVBL
P26006,Integrin alpha-3 OS=Homo sapiens GN=ITGA3 PE=1 SV=5,ITGA3
A0A0C4DGI9,Bromodomain adjacent to zinc finger domain protein 2A (Fragment) OS=Homo sapiens GN=BAZ2A PE=1 SV=1,BAZ2A
A0A024QZ42,"HCG1985580, isoform CRA_c OS=Homo sapiens GN=PDCD6 PE=1 SV=1",PDCD6
A0A087WVD1,Leukocyte receptor cluster member 9 OS=Homo sapiens GN=LENG9 PE=1 SV=1,LENG9
P62873,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens GN=GNB1 PE=1 SV=3,GNB1
P53708,Integrin alpha-8 OS=Homo sapiens GN=ITGA8 PE=1 SV=3,ITGA8
M0QYU1,"Glycogen [starch] synthase, muscle (Fragment) OS=Homo sapiens GN=GYS1 PE=1 SV=1",GYS1
Q9BUP0,EF-hand domain-containing protein D1 OS=Homo sapiens GN=EFHD1 PE=1 SV=1,EFHD1
O15144,Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1,ARPC2
Q13523,Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens GN=PRPF4B PE=1 SV=3,PRPF4B
P00403,Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1,MT-CO2
C9JUM1,"Actin, cytoplasmic 1 (Fragment) OS=Homo sapiens GN=ACTB PE=1 SV=1",ACTB
P09630,Homeobox protein Hox-C6 OS=Homo sapiens GN=HOXC6 PE=2 SV=3,HOXC6
I3L3X0,Zymogen granule protein 16 homolog B (Fragment) OS=Homo sapiens GN=ZG16B PE=1 SV=1,ZG16B
Q9H0C2,ADP/ATP translocase 4 OS=Homo sapiens GN=SLC25A31 PE=2 SV=1,SLC25A31
Q9Y6Q5,AP-1 complex subunit mu-2 OS=Homo sapiens GN=AP1M2 PE=1 SV=4,AP1M2
Q9BXR6,Complement factor H-related protein 5 OS=Homo sapiens GN=CFHR5 PE=1 SV=1,CFHR5
Q9Y2R4,Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens GN=DDX52 PE=1 SV=3,DDX52
P11387,DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2,TOP1
Q8N2H9,E3 ubiquitin-protein ligase pellino homolog 3 OS=Homo sapiens GN=PELI3 PE=1 SV=2,PELI3
P62805,Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,HIST1H4A
D6R9D6,RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=1,RBM47
G3V4Q2,Protein transport protein Sec23A OS=Homo sapiens GN=SEC23A PE=1 SV=1,SEC23A
H7C1U8,MICOS complex subunit MIC26 (Fragment) OS=Homo sapiens GN=APOO PE=1 SV=1,APOO
A0A0G2JL54,Complement C4-B OS=Homo sapiens GN=C4B_2 PE=1 SV=1,C4B_2
Q06830,Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1,PRDX1
G8JLG1,Structural maintenance of chromosomes protein OS=Homo sapiens GN=SMC1A PE=1 SV=2,SMC1A
P10321,"HLA class I histocompatibility antigen, Cw-5 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=1",HLA-C
O14617,AP-3 complex subunit delta-1 OS=Homo sapiens GN=AP3D1 PE=1 SV=1,AP3D1
O60635,Tetraspanin-1 OS=Homo sapiens GN=TSPAN1 PE=1 SV=2,TSPAN1
A0A087WT12,Glutathione peroxidase OS=Homo sapiens GN=GPX4 PE=1 SV=1,GPX4
P62993,Growth factor receptor-bound protein 2 OS=Homo sapiens GN=GRB2 PE=1 SV=1,GRB2
H0Y4E5,COMM domain-containing protein 3 (Fragment) OS=Homo sapiens GN=COMMD3 PE=1 SV=1,COMMD3
P19784,Casein kinase II subunit alpha' OS=Homo sapiens GN=CSNK2A2 PE=1 SV=1,CSNK2A2
Q8NE71,ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2,ABCF1
Q5JS13,Ras-specific guanine nucleotide-releasing factor RalGPS1 OS=Homo sapiens GN=RALGPS1 PE=1 SV=1,RALGPS1
P38919,Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4,EIF4A3
P07195,L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2,LDHB
Q9NVH6,"Trimethyllysine dioxygenase, mitochondrial OS=Homo sapiens GN=TMLHE PE=1 SV=1",TMLHE
Q16134,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Homo sapiens GN=ETFDH PE=1 SV=2",ETFDH
O94973,AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2,AP2A2
