Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,Clinical_Feasibility,Detection_Method,Sample_Type,N_Tissues,Tissues_List,Direction_Consistency,Predominant_Direction,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Max_Abs_Zscore_Delta,Std_Zscore_Delta,Signal_to_Noise,Age_Discrimination,P_Value,Biomarker_Score
PRSS3P2;PRSS2;PRSS1,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,ECM Regulators,Matrisome-associated,2,ELISA,Blood,3,"NP, IAF, OAF",0.6666666666666666,UP,0.12817201290643396,0.26598418239874094,0.2401266867655557,0.3511076061922066,0.2952842857154445,0.9007732387596843,0.26598418239874094,0.5305923701504067,0.3801717236781038
MATN2,Matrilin-2,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,9,"NP, IAF, OAF, Ovary, Nucleus_pulposus",0.5454545454545454,DOWN,-0.12095073807213229,0.4726786919628768,-0.2372219977996593,0.8704176483768257,0.5474189290254419,0.863467934520234,0.4726786919628768,0.48050508973510364,0.31194220391183025
AGRN,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.5833333333333334,DOWN,-0.14483366554068744,0.2635794308826738,-0.10641314132126975,0.7970277057539259,0.32508977942674344,0.8107896573908423,0.2635794308826738,0.1510164919964522,0.32110193209942256
PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",ECM Regulators,Matrisome-associated,2,ELISA,Blood,4,"NP, IAF, OAF, Ovary",1.0,DOWN,-0.14083548327305298,0.14083548327305298,-0.128480932822457,0.251103037074124,0.09854878581549956,1.429094048268859,0.14083548327305298,0.06467296856559977,0.474658025634398
NRP1,Neuropilin-1,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,4,"NP, IAF, OAF, Native_Tissue",0.5,DOWN,0.11721597939258753,0.3247653233911836,0.051474701207861746,0.7415284443738038,0.4682728730095201,0.6935386226922887,0.3247653233911836,0.6510527510042843,0.26360952340824917
SEMA3E,Semaphorin-3E,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,4,"NP, IAF, OAF, Lung",0.5,DOWN,0.050299720196350955,0.21282512264737355,-0.04833161695865559,0.4979432638180159,0.31319769113251794,0.6795232808958497,0.21282512264737355,0.769134543416688,0.15501031405543725
LAMA5,Laminin subunit alpha-5,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.6,DOWN,-0.08086290793531088,0.19242479715408856,-0.0129435571075107,0.4302302642069459,0.25304086255055663,0.760449499003912,0.19242479715408856,0.3386262837549798,0.2950010911976153
MATN3,Matrilin-3,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,3,"NP, IAF, OAF",1.0,DOWN,-1.000424115967756,1.000424115967756,-1.0844056155493678,1.3261123283171918,0.3748032662671277,2.6691979659930163,1.000424115967756,0.043739415604107934,0.5256896758347527
CHAD,Chondroadherin,Proteoglycans,Core matrisome,0,Mass spectrometry,Blood,4,"NP, IAF, OAF, Lung",0.75,DOWN,-0.12825044537455932,0.16269464944625128,-0.14025336501214,0.3013834596173412,0.18889315521291042,0.8613051609142239,0.16269464944625128,0.2675974900888741,0.2476444484080503
P4HA2,Prolyl 4-hydroxylase subunit alpha-2,ECM Regulators,Matrisome-associated,2,ELISA,Blood,5,"NP, IAF, OAF, Native_Tissue, Skin dermis",0.6,DOWN,-0.31378495873038237,0.4319436722718385,-0.3551770474795451,1.1325088766403817,0.5287862404263137,0.8168587592665051,0.4319436722718385,0.25522064952198253,0.41926948588857754
EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,3,"NP, IAF, OAF",0.6666666666666666,DOWN,-0.050960107988062164,0.13251120770863536,-0.1237234755397456,0.1514834980053007,0.15071124700361543,0.8792390106456789,0.13251120770863536,0.6173872690377247,0.27147128758585615
SRPX2,Sushi repeat-containing protein SRPX2,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,5,"NP, IAF, OAF, Lung, Skin dermis",0.6,UP,0.0005976309358289467,0.10659966913477643,0.0061904836904549,0.2056698099635061,0.14154136364431982,0.7531343940040836,0.10659966913477643,0.9929191092236995,0.21669803944784652
