Gene,Baseline_Score,Knockout_Score,Delta_Score,Percent_Change,Embedding_Shift
Sulf2,1.5965378,1.5874062,0.00913167,0.5719667,0.015382001
SERPINB6,0.97855926,0.97791195,0.00064730644,0.066148855,0.06085003
NID1,0.9786826,0.97816813,0.0005144477,0.052565273,0.045203056
COL7A1,0.9968363,0.99671507,0.00012123585,0.012162049,0.02386382
ANGPTL2,1.9965515,1.9964347,0.000116825104,0.0058513414,0.024479154
Masp2,0.9836689,0.9835553,0.00011360645,0.011549246,0.01747071
CLGN,0.98359287,0.9834795,0.000113368034,0.011525899,0.017492602
FGF12,0.9836019,0.9834887,0.000113248825,0.011513673,0.017492857
Sfrp1,0.98372704,0.9836139,0.000113129616,0.01150009,0.017470691
WIF1,0.99268705,0.9925754,0.0001116395,0.011246181,0.029902888
Fcn1,0.98427886,0.9841676,0.00011128187,0.011305918,0.017551756
Clec1a,0.98471254,0.9846027,0.00010985136,0.011155666,0.017470049
Clec10a,0.9858626,0.98576194,0.000100672245,0.0102115795,0.01540498
COL4A3,0.17474099,0.17465463,8.635223e-05,0.04941699,0.0009888158
Hgfac,0.98345476,0.98337686,7.790327e-05,0.00792138,0.01763919
LAMC1,1.0777901,1.0777138,7.6293945e-05,0.007078732,0.0015582114
FBLN5,1.0149752,1.014899,7.6174736e-05,0.007505077,0.0031304893
HMCN1,0.9926866,0.9926158,7.081032e-05,0.0071331924,0.03900788
SERPINI2,0.13961096,0.13954031,7.0646405e-05,0.050601974,0.002113363
CTSZ,0.9914084,0.9913393,6.908178e-05,0.0069680377,0.041875392
LGALS2,0.13423797,0.13416894,6.903708e-05,0.051428493,0.002113561
Mgp,0.9824234,0.9823569,6.651878e-05,0.0067708804,0.017732622
TINAG,0.09933238,0.09927033,6.2048435e-05,0.06246484,0.0028932088
SERPINA3,1.021634,1.0215788,5.51939e-05,0.0054025073,0.0016153516
PRSS2,0.2198694,0.21981813,5.1274896e-05,0.023320507,0.0020741797
Adipoq,0.82892585,0.82888085,4.5001507e-05,0.0054288874,0.00028319957
COL4A6,0.081915066,0.081877455,3.761053e-05,0.0459135,0.0010109018
COL8A2,0.51651496,0.5164788,3.618002e-05,0.0070046275,0.0007331415
SERPINF1,1.0119292,1.0118941,3.504753e-05,0.003463434,0.00119436
PAPLN,1.0133065,1.0132723,3.4213066e-05,0.0033763757,0.001110416
ITIH1,1.0159236,1.0158947,2.8967857e-05,0.0028513786,0.0011342445
LTBP4,1.0035414,1.0035139,2.7418137e-05,0.0027321356,0.0015215263
FGF2,0.9995753,0.999552,2.3305416e-05,0.0023315293,0.0010950539
KCP,0.9916184,0.9915985,1.9907951e-05,0.0020076202,0.001850588
NTN4,0.9985979,0.99857825,1.9669533e-05,0.001969713,0.0011348797
COL4A4,0.9984634,0.99844384,1.9550323e-05,0.0019580391,0.00113737
MFAP1,0.9984483,0.99842876,1.9550323e-05,0.0019580687,0.0011372031
CSTB,1.0777886,1.0777696,1.8954277e-05,0.0017586251,0.003712819
SCYL1,0.98191756,0.98189884,1.8715858e-05,0.0019060499,0.017974012
COL2A1,0.07374521,0.07372712,1.809001e-05,0.024530089,0.000147364
FBLN1,1.0371436,1.0371295,1.4066696e-05,0.0013562908,0.001301694
ADAMTS4,1.9885345,1.9885219,1.2516975e-05,0.000629457,0.0050656805
Lgals3,1.9885433,1.9885315,1.180172e-05,0.0005934854,0.0052535674
COL6A6,0.9911076,0.9910969,1.0669231e-05,0.0010764947,0.0023761508
Emilin1,0.41656196,0.41655234,9.62615e-06,0.0023108511,0.00030742137
CXCL14,0.15413804,0.15412855,9.49204e-06,0.006158102,0.0002497014
EGF,0.97557056,0.97556144,9.119511e-06,0.0009347864,0.002119862
SNED1,1.999808,1.9998012,6.7949295e-06,0.00033977896,0.015666684
MMP14,1.9998487,1.9998441,4.6491623e-06,0.00023247558,0.014046603
LPA,1.9988468,1.9988432,3.5762787e-06,0.00017891702,0.0061066314
SERPINA1,1.0006664,1.0006644,2.026558e-06,0.00020252063,0.0001681822
S100B,1.0201781,1.0201764,1.66893e-06,0.00016359187,0.0004765683
COL14A1,0.9961758,0.9961743,1.5497208e-06,0.00015556683,0.0016803874
CTSC,1.0031366,1.0031352,1.4305115e-06,0.0001426037,0.00016944461
Anxa7,0.9872892,0.98728776,1.4305115e-06,0.0001448927,0.0001344111
ELN,1.9953132,1.9953117,1.4305115e-06,7.169355e-05,0.00020195621
CCL21,1.0005159,1.0005149,1.0728836e-06,0.00010723294,0.00029152085
COL11A2,0.041003317,0.04100228,1.0356307e-06,0.0025256628,0.00010618224
LAMA2,0.99767286,0.9976719,9.536743e-07,9.558978e-05,0.0074860053
LOX,0.021067744,0.021066835,9.0897083e-07,0.0043143095,5.926443e-05
COLEC12,0.9986678,0.998667,7.748604e-07,7.758933e-05,0.00015021606
SERPINB1A,0.9981322,0.9981315,7.1525574e-07,7.165934e-05,0.00014874914
TIMP3,1.9980277,1.998027,7.1525574e-07,3.579807e-05,0.00019076414
FREM1,0.2115564,0.21155576,6.4074993e-07,0.00030287285,4.7944663e-06
TSPEAR,1.0013388,1.0013384,4.7683716e-07,4.7619913e-05,0.0007020115
CLEC10A,1.9991219,1.9991214,4.7683716e-07,2.385232e-05,0.00025531885
SFRP1,0.99869394,0.9986936,3.5762787e-07,3.580952e-05,0.00028153404
HPX,1.9990638,1.9990635,3.5762787e-07,1.7889759e-05,0.00013043241
VEGFB,1.0013385,1.0013381,3.5762787e-07,3.571495e-05,0.0007021989
S100A14,1.0013367,1.0013363,3.5762787e-07,3.5715013e-05,0.0007017939
