Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality,Protein_Group
Tam_2020,Intervertebral_disc,NP,28.42685,,29.385166666666667,,PLOD2,PLOD2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,3.0,O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.1968590632427969,-0.1003121496542358,0.0965469135885611,Original,Crosslinking
Tam_2020,Intervertebral_disc,NP,25.8652,,25.57675,,P4HA2,P4HA2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,2.0,O15460,Prolyl 4-hydroxylase subunit alpha-2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.05672197245007049,-0.8727026159940723,-0.9294245884441428,Original,Crosslinking
Tam_2020,Intervertebral_disc,NP,25.4716,,27.42785,,P4HA1,P4HA1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,2.0,P13674,Prolyl 4-hydroxylase subunit alpha-1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.5606351581311477,-0.9913811581646896,-0.4307460000335419,Original,Crosslinking
Tam_2020,Intervertebral_disc,NP,25.758166666666664,,26.6997,,TGM2,TGM2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,2.0,P21980,Protein-glutamine gamma-glutamyltransferase 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.27806881926651794,-0.9049753801293928,-0.6269065608628749,Original,Crosslinking
Tam_2020,Intervertebral_disc,NP,26.5678,,29.182133333333336,,LOX,LOX,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P28300,Protein-lysine 6-oxidase,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.7027047655255565,-0.6608541817230491,0.0418505838025074,Original,Crosslinking
Tam_2020,Intervertebral_disc,NP,29.7333,,30.16603333333333,,LOXL3,LOXL3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P58215,Lysyl oxidase homolog 3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.013299572558857498,0.2936095511049145,0.306909123663772,Original,Crosslinking
Tam_2020,Intervertebral_disc,NP,30.158833333333337,,30.3628,,PLOD1,PLOD1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.061999414169670086,0.4219166538615291,0.359917239691859,Original,Crosslinking
Tam_2020,Intervertebral_disc,NP,29.592466666666667,,30.1329,,LOXL2,LOXL2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,Q9Y4K0,Lysyl oxidase homolog 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.04683775464257234,0.2511453877689683,0.2979831424115406,Original,Crosslinking
Tam_2020,Intervertebral_disc,IAF,28.78125,,29.21334,,PLOD2,PLOD2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),6.0,5.0,O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,-0.055277030373174,0.0513498538559446,0.1066268842291186,Original,Crosslinking
Tam_2020,Intervertebral_disc,IAF,24.801866666666665,,25.99805,,P4HA2,P4HA2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,4.0,O15460,Prolyl 4-hydroxylase subunit alpha-2,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,-0.37663565338562544,-1.1301241920187668,-0.7534885386331414,Original,Crosslinking
Tam_2020,Intervertebral_disc,IAF,26.08945,,27.288275,,P4HA1,P4HA1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),4.0,4.0,P13674,Prolyl 4-hydroxylase subunit alpha-1,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,-0.33949909515016125,-0.7478422747449394,-0.4083431795947781,Original,Crosslinking
