Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score
PRSS3P2;PRSS2;PRSS1,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.12817201290643396,0.26598418239874094,0.2401266867655557,0.2952842857154445,0,0.0,0.751819345633082,0.5305923701504067,0.37342112068038097
MATN2,Matrilin-2,ECM Glycoproteins,Core matrisome,9,11,0.5454545454545454,DOWN,5,6,-0.12095073807213229,0.4726786919628768,-0.2372219977996593,0.5474189290254419,5,0.45454545454545453,-0.7327993151716039,0.48050508973510364,0.4736267442973952
AGRN,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,ECM Glycoproteins,Core matrisome,10,12,0.5833333333333334,DOWN,5,7,-0.14483366554068744,0.2635794308826738,-0.10641314132126975,0.32508977942674344,1,0.08333333333333333,-1.54332300329631,0.1510164919964522,0.5476252329242711
PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",ECM Regulators,Matrisome-associated,4,4,1.0,DOWN,0,4,-0.14083548327305298,0.14083548327305298,-0.128480932822457,0.09854878581549956,0,0.0,-2.858188096537718,0.06467296856559977,0.571737189908303
NRP1,Neuropilin-1,ECM Glycoproteins,Core matrisome,4,4,0.5,DOWN,2,2,0.11721597939258753,0.3247653233911836,0.051474701207861746,0.4682728730095201,1,0.25,0.5006310898996044,0.6510527510042843,0.32285421743237913
SEMA3E,Semaphorin-3E,ECM-affiliated Proteins,Matrisome-associated,4,4,0.5,DOWN,2,2,0.050299720196350955,0.21282512264737355,-0.04833161695865559,0.31319769113251794,0,0.0,0.32120109196506497,0.769134543416688,0.2880438388755174
LAMA5,Laminin subunit alpha-5,ECM Glycoproteins,Core matrisome,10,10,0.6,DOWN,4,6,-0.08086290793531088,0.19242479715408856,-0.0129435571075107,0.25304086255055663,0,0.0,-1.0105520694271102,0.3386262837549798,0.507987811199707
MATN3,Matrilin-3,ECM Glycoproteins,Core matrisome,3,3,1.0,DOWN,0,3,-1.000424115967756,1.000424115967756,-1.0844056155493678,0.3748032662671277,3,1.0,-4.623186492559408,0.043739415604107934,0.6442357049465423
CHAD,Chondroadherin,Proteoglycans,Core matrisome,4,4,0.75,DOWN,1,3,-0.12825044537455932,0.16269464944625128,-0.14025336501214,0.18889315521291042,0,0.0,-1.357915221755941,0.2675974900888741,0.4583382022209679
P4HA2,Prolyl 4-hydroxylase subunit alpha-2,ECM Regulators,Matrisome-associated,5,5,0.6,DOWN,2,3,-0.31378495873038237,0.4319436722718385,-0.3551770474795451,0.5287862404263137,1,0.2,-1.3268962851083776,0.25522064952198253,0.46038553144043437
EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.050960107988062164,0.13251120770863536,-0.1237234755397456,0.15071124700361543,0,0.0,-0.5856596501547284,0.6173872690377247,0.34271484343390685
SRPX2,Sushi repeat-containing protein SRPX2,ECM Glycoproteins,Core matrisome,5,5,0.6,UP,3,2,0.0005976309358289467,0.10659966913477643,0.0061904836904549,0.14154136364431982,0,0.0,0.009441363030304307,0.9929191092236995,0.2803114391863848
SLIT3,Slit homolog 3 protein,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,-0.5620795055121339,0.6394948829274056,-0.4856017782545424,0.7194541000003284,2,0.5,-1.5625166511995063,0.21610218493480987,0.5163172865998962
CILP,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,ECM Glycoproteins,Core matrisome,4,4,1.0,UP,4,0,0.6316081753940073,0.6316081753940073,0.3943531452521659,0.5996168464446839,1,0.25,2.1067059044088237,0.12576026237047802,0.6085970003594228
CRLF1,Cytokine receptor-like factor 1,Secreted Factors,Matrisome-associated,4,4,1.0,UP,4,0,0.7718434987925169,0.7718434987925169,0.8063678779220593,0.36716268537451113,3,0.75,4.2043678703636544,0.024564365378598768,0.6428597120976496
CLEC3A,C-type lectin domain family 3 member A,ECM-affiliated Proteins,Matrisome-associated,3,3,1.0,DOWN,0,3,-0.7942434790763403,0.7942434790763403,-0.616580148458698,0.5832583656671869,2,0.6666666666666666,-2.35859464744559,0.14235579636746973,0.6038943651047283
FCN3,Ficolin-3,ECM-affiliated Proteins,Matrisome-associated,3,3,1.0,UP,3,0,0.6303325475721668,0.6303325475721668,0.509413598922137,0.2669253078971057,2,0.6666666666666666,4.090162924829045,0.05489884136306636,0.6049946629551917
ECM2,Extracellular matrix protein 2,ECM Glycoproteins,Core matrisome,4,4,1.0,DOWN,0,4,-0.2609506916035267,0.2609506916035267,-0.2939785554466939,0.11253475608019692,0,0.0,-4.637690624531366,0.018891305743394034,0.5929050433057915
SEMA3D,Semaphorin-3D,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.0835970652270851,0.0870891047358389,0.0964075413372262,0.0831731170591635,0,0.0,1.7408793785372303,0.22383124839770763,0.41688383726463063
WISP3,WNT1-inducible-signaling pathway protein 3,ECM Glycoproteins,Core matrisome,2,2,0.5,DOWN,1,1,-0.05206601377218022,0.2097221313076636,-0.05206601377218022,0.29659188242508894,0,0.0,,,0.2062663307778252
MATN4,Matrilin-4,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,-0.1963702327045801,0.24932183937822977,-0.21150121005482125,0.27037822691659275,0,0.0,-1.452559512235851,0.2422850508730151,0.47206340905733757
EFEMP2,EGF-containing fibulin-like extracellular matrix protein 2,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,0.030969249685610194,0.0754697675276287,-0.02506803832379955,0.12145502739287399,0,0.0,0.5099706508719988,0.6452219573895821,0.3740908205689641
F13A1,Coagulation factor XIII A chain,ECM Regulators,Matrisome-associated,9,9,0.6666666666666666,UP,6,3,0.18216562088947466,0.5573696737586272,0.1161552003303691,0.7199339026972349,4,0.4444444444444444,0.7590931064934872,0.46956991508946755,0.5206465137697339
F2,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,ECM Regulators,Matrisome-associated,13,14,0.7857142857142857,UP,11,3,0.4784004036981658,0.6507019888596577,0.17031979570115954,0.8856013941787313,6,0.42857142857142855,2.0212371119772867,0.06434251283519883,0.717327746739094
PLG,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",ECM Regulators,Matrisome-associated,10,10,0.5,DOWN,5,5,0.6738969372783365,0.8255683529628411,0.033277037025983905,1.1974618475256902,3,0.3,1.7796385199366078,0.10883831420143472,0.5872597606912913
F12,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain,ECM Regulators,Matrisome-associated,6,7,0.8571428571428571,UP,6,1,0.34510577740472914,0.34769950557955315,0.1170466823190659,0.44620947621480817,2,0.2857142857142857,2.046267754710283,0.08668880715839113,0.5804573992103107
SERPINC1,Antithrombin-III,ECM Regulators,Matrisome-associated,10,10,0.7,UP,7,3,0.569456682828884,0.9267061881979057,0.08672346787604995,1.28569884352524,5,0.5,1.4006236029627555,0.19484797196721862,0.640171612661641
SERPINA1,Alpha-1-antitrypsin;Short peptide from AAT,ECM Regulators,Matrisome-associated,8,10,0.6,UP,6,4,0.3900365751958458,0.4660553590292752,0.34359525546335995,0.5150919468443278,5,0.5,2.3945316092529967,0.040257199732480556,0.5597305665446668
SERPINA3,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,ECM Regulators,Matrisome-associated,8,10,0.8,UP,8,2,0.2750957077975833,0.4659088595002313,0.3896293314992402,0.4664704073186903,5,0.5,1.8649178973151337,0.09506560511428108,0.6087542355154022
AGT,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.18924588214028773,0.5877549283277896,0.0945860398709308,0.9496421422976391,3,0.375,-0.5636525196712946,0.5905820630198442,0.4318355508170454
A2M,Alpha-2-macroglobulin,ECM Regulators,Matrisome-associated,9,9,0.7777777777777778,UP,7,2,0.42651578697598913,0.5539078208640513,0.3095212670882152,0.5616278171355416,4,0.4444444444444444,2.278283450157465,0.05221102513125417,0.6371054398052524
TIMP1,Metalloproteinase inhibitor 1,ECM Regulators,Matrisome-associated,5,5,0.6,UP,3,2,0.11001416583704082,0.3008649768849304,0.30312062219233,0.31976594187075374,0,0.0,0.7693100517846545,0.4846193613427522,0.4013979195375897
CST3,Cystatin-C,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,0.07375375862535659,0.16724595639307197,-0.010004090928666401,0.20148730867160952,0,0.0,1.0353363337039576,0.33494852080023196,0.44091136206749604
KNG1,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,ECM Regulators,Matrisome-associated,9,9,0.6666666666666666,UP,6,3,0.5416936092644092,0.6455925292324218,0.2024254186299776,0.8047445841713374,4,0.4444444444444444,2.0193746683820284,0.0781343323822642,0.6077559158585539
TGFB1,Transforming growth factor beta-1;Latency-associated peptide,Secreted Factors,Matrisome-associated,4,4,0.75,UP,3,1,0.0619149628933306,0.08913551450143345,0.0764533903877694,0.08740355146900632,0,0.0,1.4167608032560535,0.2515423704685166,0.4541933126505576
IGF2,Insulin-like growth factor II;Insulin-like growth factor II;Insulin-like growth factor II Ala-25 Del;Preptin,Secreted Factors,Matrisome-associated,2,2,1.0,DOWN,0,2,-0.060079336822392554,0.060079336822392554,-0.060079336822392554,0.04026853706162995,0,0.0,,,0.34130205132929803
COL1A1,Collagen alpha-1(I) chain,Collagens,Core matrisome,10,10,0.6,UP,6,4,-0.04416498870121357,0.26518198693546446,0.12431110083045255,0.34895935992479354,2,0.2,-0.4002241325796104,0.6983248269063533,0.4433238215475699
COL2A1,Collagen alpha-1(II) chain;Collagen alpha-1(II) chain;Chondrocalcin,Collagens,Core matrisome,7,7,0.5714285714285714,UP,4,3,0.1061132668067344,0.5511733346233784,0.0614611873352572,0.7330243244403757,2,0.2857142857142857,0.3830013621848104,0.714920457924235,0.4070912250707681
COL3A1,Collagen alpha-1(III) chain,Collagens,Core matrisome,10,12,0.6666666666666666,DOWN,4,8,-0.22580445725215284,0.3038993936325184,-0.1825298438396085,0.3389460940757451,2,0.16666666666666666,-2.307769874750893,0.041461144740236794,0.5985682986504987
FGA,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,ECM Glycoproteins,Core matrisome,10,12,0.8333333333333334,UP,10,2,0.6072087953084065,0.7530692485474235,0.23581016217987338,1.0582485792128884,4,0.3333333333333333,1.9876548949569177,0.07231639654355275,0.687314233781326
FGB,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,ECM Glycoproteins,Core matrisome,10,10,0.9,UP,9,1,0.7383429907808444,0.7448227955496862,0.23434649789060186,0.9425435241998805,4,0.4,2.4771753084508306,0.035153983605721424,0.7139220710691185
FGG,Fibrinogen gamma chain,ECM Glycoproteins,Core matrisome,10,10,0.8,UP,8,2,0.7227086566268052,0.8153690584735589,0.29205409516049746,1.0811555223345057,4,0.4,2.1138544755581887,0.06366999980452664,0.6852734941217447
C1QB,Complement C1q subcomponent subunit B,ECM-affiliated Proteins,Matrisome-associated,7,7,0.7142857142857143,UP,5,2,0.22100825499274174,0.44928578921363627,0.2382707912090102,0.52025488476709,3,0.42857142857142855,1.123935396906306,0.3039866662468051,0.5219463717224228
FN1,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,ECM Glycoproteins,Core matrisome,10,12,0.5,DOWN,6,6,0.13647276820788412,0.3777433302476126,0.00024827540242945006,0.4848581042108055,4,0.3333333333333333,0.975038949881527,0.35049591199886587,0.49414573886028224
AMBP,Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,ECM Regulators,Matrisome-associated,10,10,0.8,UP,8,2,0.5802685454104057,0.6086785659832511,0.4295775456892038,0.6209216166595083,5,0.5,2.955236552918982,0.016083496936713508,0.6741217454462766
HPX,Hemopexin,ECM-affiliated Proteins,Matrisome-associated,9,9,0.7777777777777778,UP,7,2,0.941379431282924,1.0670101227397082,0.6538258124963177,1.0714072530321181,5,0.5555555555555556,2.6359148548382203,0.029902339299800924,0.6928774071591087
SLPI,Antileukoproteinase,ECM Regulators,Matrisome-associated,6,6,0.5,DOWN,3,3,0.05742998011895963,0.4044259030133484,0.042730329628932806,0.523271474483074,1,0.16666666666666666,0.2688358798243335,0.798796123765331,0.3365657184894451
VTN,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,ECM Glycoproteins,Core matrisome,10,10,0.8,UP,8,2,1.078054613707371,1.1885305429265454,0.8898093045156904,1.130757458590349,6,0.6,3.0148888211785154,0.01459972080012229,0.7324036983679243
ANXA1,Annexin A1,ECM-affiliated Proteins,Matrisome-associated,10,10,0.8,DOWN,2,8,-0.2010311054668275,0.2538726685351642,-0.06875278613242636,0.3285228405245121,1,0.1,-1.9350745074580875,0.08497816530968018,0.6248622220268746
HRG,Histidine-rich glycoprotein,ECM Regulators,Matrisome-associated,10,10,0.7,UP,7,3,0.5635942842590463,0.6223542884615182,0.2850547255674667,0.7812678197248087,4,0.4,2.2812172337249734,0.04846590960113898,0.6390128351612182
SERPINE1,Plasminogen activator inhibitor 1,ECM Regulators,Matrisome-associated,4,4,0.5,DOWN,2,2,0.08248756907183502,0.29126214793294086,0.06693813917414215,0.42107010931936867,1,0.25,0.3917996896296942,0.7213794846219302,0.3054385531630257
SERPINA5,Plasma serine protease inhibitor,ECM Regulators,Matrisome-associated,6,6,0.8333333333333334,DOWN,1,5,-0.1561965206973348,0.19954890133466038,-0.17436316398906454,0.1783734572617557,0,0.0,-2.1449479153453286,0.0847849731909114,0.5588802484364602
