Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality
Randles_2021,Kidney,Glomerular,10523.296242020862,13.36143614328364,21467.44299590413,14.38992994272835,SERPINA1,SERPINA1,100.0,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A024R6I7,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.377604357058498,0.0550543779325237,0.4326587349910217,Original
Randles_2021,Kidney,Glomerular,8683829.352821417,23.04990011108401,5897188.0502754375,22.491596013699887,COL1A2,COL1A2,100.0,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WTA8,Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.3147553841399522,3.2211824955404675,2.906427111400516,Original
Randles_2021,Kidney,Glomerular,13389.331638065769,13.708904071852292,10928.73399122053,13.415970668554047,FGA,FGA,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WUA0,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.0333353467581462,0.1686046767481537,0.1352693299900074,Original
Randles_2021,Kidney,Glomerular,9685.149335194534,13.241707530373024,6755.423979781157,12.722044147782944,FGF2,FGF2,100.0,exact_gene,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WUF6,Fibroblast growth factor OS=Homo sapiens GN=FGF2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.0925425107804907,0.0159278322717914,-0.0766146785086993,Original
Randles_2021,Kidney,Glomerular,12462.172447268938,13.60538372651338,5755.344276571047,12.49093716430953,KCP,KCP,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WVT8,Kielin/chordin-like protein OS=Homo sapiens GN=KCP PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.2819559356130432,0.1347748893627309,-0.1471810462503122,Original
Randles_2021,Kidney,Glomerular,4956.51159396822,12.27540043110328,2055.46078783966,11.00594784775805,MUC1,MUC1,100.0,exact_gene,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WWM1,Mucin-1 OS=Homo sapiens GN=MUC1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.3007535680120075,-0.2998551532881698,-0.6006087213001774,Original
Randles_2021,Kidney,Glomerular,111786.5962209536,16.770400592284503,124031.13900176452,16.920354472232063,FBN2,FBN2,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WYV8,Fibrillin-2 OS=Homo sapiens GN=FBN2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.0362181507452614,1.1690821773627311,1.2053003281079926,Original
Randles_2021,Kidney,Glomerular,15.365068455657434,4.032547732126803,0.0,0.0,COL5A2,COL5A2,100.0,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WYX9,Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.9676057784483842,-2.9935667453698938,-3.961172523818278,Original
Randles_2021,Kidney,Glomerular,7921.42469909562,12.951726326835692,13703.721915653989,13.742385434092034,COL4A6,COL4A6,100.0,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WZY5,Collagen alpha-6(IV) chain OS=Homo sapiens GN=COL4A6 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,-0.3137732146019248,-0.0788361721306303,0.2349370424712945,Original
Randles_2021,Kidney,Glomerular,94495.84318943469,16.527978514269204,34457.07493680543,15.072554484574248,COL15A1,COL15A1,100.0,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087X0K0,Collagen alpha-1(XV) chain OS=Homo sapiens GN=COL15A1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.4487684019377019,1.0898601912889736,0.6410917893512716,Original
Randles_2021,Kidney,Glomerular,11368.567547245231,13.472889760489386,7650.08161994267,12.901447998143633,CLEC18B,CLEC18B,100.0,exact_gene,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087X0Q5,C-type lectin domain family 18 member B OS=Homo sapiens GN=CLEC18B PE=4 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.1133120894140389,0.0914767078722343,-0.0218353815418046,Original
Randles_2021,Kidney,Glomerular,5897824.761391317,22.491751771023623,2751511.5837193667,21.39179349600272,COL6A1,COL6A1,100.0,exact_gene,Collagens,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087X0S5,Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.4681705419171642,3.038783184448989,2.570612642531825,Original
Randles_2021,Kidney,Glomerular,47001.57010797844,15.520452025289924,39766.60214246404,15.279305954479389,LAMA4,LAMA4,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A0A0MQS9,Laminin subunit alpha-4 OS=Homo sapiens GN=LAMA4 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.0563855449846412,0.7606069725544108,0.7042214275697696,Original
