Human_Gene,Mouse_Gene,Match_Type,In_Both_Datasets
A2M,A2M,exact,True
A2ML1,,no_match,False
ABI3BP,ABI3BP,exact,True
ACAN,Acan,case_insensitive,True
ADAM10,ADAM10,exact,True
ADAM12,,no_match,False
ADAM15,,no_match,False
ADAM17,ADAM17,exact,True
ADAM19,,no_match,False
ADAM9,ADAM9,exact,True
ADAMTS1,,no_match,False
ADAMTS16,,no_match,False
ADAMTS2,,no_match,False
ADAMTS4,,no_match,False
ADAMTS5,,no_match,False
ADAMTSL1,ADAMTSL1,exact,True
ADAMTSL2,,no_match,False
ADAMTSL3,ADAMTSL3,exact,True
ADAMTSL4,ADAMTSL4,exact,True
ADAMTSL5,ADAMTSL5,exact,True
ADIPOQ,ADIPOQ,exact,True
AEBP1,AEBP1,exact,True
AGRN,AGRN,exact,True
AGT,Agt,case_insensitive,True
AMBP,AMBP,exact,True
ANGPTL1,Angptl1,case_insensitive,True
ANGPTL2,ANGPTL2,exact,True
ANGPTL3,,no_match,False
ANGPTL4,,no_match,False
ANGPTL5,,no_match,False
ANGPTL6,,no_match,False
ANGPTL7,Angptl7,case_insensitive,True
ANXA1,ANXA1,exact,True
ANXA11,ANXA11,exact,True
ANXA2,ANXA2,exact,True
ANXA2;ANXA2P2,,no_match,False
ANXA3,ANXA3,exact,True
ANXA4,ANXA4,exact,True
ANXA5,ANXA5,exact,True
ANXA6,ANXA6,exact,True
ANXA7,ANXA7,exact,True
ANXA8,ANXA8,exact,True
ANXA8L2;ANXA8,,no_match,False
ARG1,,no_match,False
ASPN,ASPN,exact,True
BCAN,Bcan,case_insensitive,True
BGN,BGN,exact,True
BMP1,,no_match,False
BMP3,BMP3,exact,True
BMP6,BMP6,exact,True
BMP8A;BMP8B,,no_match,False
BMPER,BMPER,exact,True
C17ORF58,,no_match,False
C17orf58,,no_match,False
C1QA,C1qa,case_insensitive,True
C1QB,C1QB,exact,True
C1QC,C1QC,exact,True
C1QTNF1,,no_match,False
C1QTNF2,C1QTNF2,exact,True
C1QTNF5,,no_match,False
C1QTNF7,C1QTNF7,exact,True
C1QTNF8,,no_match,False
C7,,no_match,False
CAP2,Cap2,case_insensitive,True
CCL14,,no_match,False
CCL16,,no_match,False
CCL18,,no_match,False
CCL21,,no_match,False
CCL28,,no_match,False
CD109,Cd109,case_insensitive,True
CD209,,no_match,False
CELA3A;CELA3B,,no_match,False
CHAD,CHAD,exact,True
CHADL,Chadl,case_insensitive,True
CHRD,,no_match,False
CHRDL2,,no_match,False
CILP,CILP,exact,True
CILP2,CILP2,exact,True
CLC,,no_match,False
CLEC11A,,no_match,False
CLEC14A,,no_match,False
CLEC18B,,no_match,False
CLEC3A,,no_match,False
CLEC3B,Clec3b,case_insensitive,True
CLEC5A,,no_match,False
CLGN,,no_match,False
COCH,Coch,case_insensitive,True
COL10A1,COL10A1,exact,True
COL11A1,COL11A1,exact,True
COL11A2,Col11a2,case_insensitive,True
COL12A1,COL12A1,exact,True
COL14A1,COL14A1,exact,True
COL15A1,COL15A1,exact,True
COL16A1,COL16A1,exact,True
COL17A1,,no_match,False
COL18A1,COL18A1,exact,True
COL1A1,COL1A1,exact,True
COL1A2,COL1A2,exact,True
COL21A1,,no_match,False
COL22A1,,no_match,False
COL27A1,,no_match,False
COL28A1,,no_match,False
COL2A1,COL2A1,exact,True
COL3A1,COL3A1,exact,True
COL4A1,COL4A1,exact,True
COL4A2,COL4A2,exact,True
COL4A3,COL4A3,exact,True
COL4A4,COL4A4,exact,True
COL4A5,COL4A5,exact,True
COL4A6,COL4A6,exact,True
COL5A1,COL5A1,exact,True
COL5A2,COL5A2,exact,True
COL5A3,,no_match,False
COL6A1,COL6A1,exact,True
COL6A2,COL6A2,exact,True
COL6A3,COL6A3,exact,True
COL6A5,COL6A5,exact,True
COL6A6,COL6A6,exact,True
COL7A1,COL7A1,exact,True
COL8A1,COL8A1,exact,True
COL8A2,Col8a2,case_insensitive,True
COL9A1,,no_match,False
COL9A2,,no_match,False
COL9A3,,no_match,False
COMP,Comp,case_insensitive,True
CPAMD8,,no_match,False
CPN2,Cpn2,case_insensitive,True
CRELD1,CRELD1,exact,True
CRELD2,CRELD2,exact,True
CRISPLD1,,no_match,False
CRISPLD2,CRISPLD2,exact,True
CRLF1,CRLF1,exact,True
CSPG4,CSPG4,exact,True
CST3,CST3,exact,True
CST6,,no_match,False
CSTA,,no_match,False
CSTB,CSTB,exact,True
CTGF,,no_match,False
CTHRC1,,no_match,False
CTSA,CTSA,exact,True
CTSB,CTSB,exact,True
CTSC,CTSC,exact,True
CTSD,CTSD,exact,True
CTSF,CTSF,exact,True
CTSG,CTSG,exact,True
CTSH,CTSH,exact,True
CTSK,,no_match,False
CTSL,CTSL,exact,True
CTSS,CTSS,exact,True
CTSV,,no_match,False
CTSZ,CTSZ,exact,True
CXCL10,,no_match,False
CXCL12,CXCL12,exact,True
CXCL14,,no_match,False
CYR61,Cyr61,case_insensitive,True
DCN,DCN,exact,True
DPT,DPT,exact,True
DSP,Dsp,case_insensitive,True
EBI3,,no_match,False
ECM1,ECM1,exact,True
ECM2,ECM2,exact,True
EDIL3,Edil3,case_insensitive,True
EFEMP1,EFEMP1,exact,True
EFEMP2,EFEMP2,exact,True
EGF,,no_match,False
EGFLAM,EGFLAM,exact,True
EGLN1,Egln1,case_insensitive,True
ELANE,,no_match,False
ELN,ELN,exact,True
EMILIN1,EMILIN1,exact,True
EMILIN2,EMILIN2,exact,True
EMILIN3,,no_match,False
EPYC,,no_match,False
F10,F10,exact,True
F12,F12,exact,True
F13A1,F13A1,exact,True
F13B,F13B,exact,True
F2,F2,exact,True
F7,,no_match,False
F9,F9,exact,True
FAM20C,,no_match,False
FBLN1,FBLN1,exact,True
FBLN2,FBLN2,exact,True
FBLN5,FBLN5,exact,True
FBLN7,,no_match,False
FBN1,FBN1,exact,True
FBN2,FBN2,exact,True
FBN3,,no_match,False
FCN2,,no_match,False
FCN3,,no_match,False
FGA,FGA,exact,True
FGB,FGB,exact,True
FGF1,FGF1,exact,True
FGF12,Fgf12,case_insensitive,True
FGF2,FGF2,exact,True
FGFBP2,,no_match,False
FGG,FGG,exact,True
