Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence
A0A024QZ42,"HCG1985580, isoform CRA_c OS=Homo sapiens GN=PDCD6 PE=1 SV=1",PDCD6,Kidney_Glomerular,Glomerular,Homo sapiens,414.808600472393,255.391475003135,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024QZ42,"HCG1985580, isoform CRA_c OS=Homo sapiens GN=PDCD6 PE=1 SV=1",PDCD6,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,730.9782900751511,458.77863184058305,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R216,"Hepatoma-derived growth factor, related protein 3, isoform CRA_a OS=Homo sapiens GN=HDGFRP3 PE=1 SV=1",HDGFRP3,Kidney_Glomerular,Glomerular,Homo sapiens,2514.71437999517,2268.56443233033,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R216,"Hepatoma-derived growth factor, related protein 3, isoform CRA_a OS=Homo sapiens GN=HDGFRP3 PE=1 SV=1",HDGFRP3,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,13786.031738391432,11422.19905217379,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R4E5,"High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens GN=HDLBP PE=1 SV=1",HDLBP,Kidney_Glomerular,Glomerular,Homo sapiens,4709.128701469894,6285.8349165392165,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R4E5,"High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens GN=HDLBP PE=1 SV=1",HDLBP,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,8983.40546259456,11746.849992002733,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R4M0,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=1,RPS9,Kidney_Glomerular,Glomerular,Homo sapiens,618.0703396111084,451.3523701491603,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R4M0,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=1,RPS9,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,911.2369423451206,1191.4724613994504,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R571,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=1,EHD1,Kidney_Glomerular,Glomerular,Homo sapiens,7561.781541710833,7496.043857345484,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R571,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=1,EHD1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,15631.629245738848,6620.815938486846,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024R6I7,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=1,SERPINA1,Kidney_Glomerular,Glomerular,Homo sapiens,21467.44299590413,10523.296242020862,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,SERPINA1,ECM Regulators,Matrisome-associated,exact_gene,100
A0A024R6I7,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=1,SERPINA1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,32890.233963063285,11244.756686309207,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,SERPINA1,ECM Regulators,Matrisome-associated,exact_gene,100
A0A024RAC6,"Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A), isoform CRA_a OS=Homo sapiens GN=TCEB3 PE=1 SV=1",TCEB3,Kidney_Glomerular,Glomerular,Homo sapiens,19572.672631363166,37324.59607056957,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A024RAC6,"Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A), isoform CRA_a OS=Homo sapiens GN=TCEB3 PE=1 SV=1",TCEB3,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,42722.50583799257,43330.34060181053,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B715,Meiotic recombination protein REC8 homolog (Fragment) OS=Homo sapiens GN=REC8 PE=1 SV=1,REC8,Kidney_Glomerular,Glomerular,Homo sapiens,14703.918034680284,14104.975810627468,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B715,Meiotic recombination protein REC8 homolog (Fragment) OS=Homo sapiens GN=REC8 PE=1 SV=1,REC8,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,21565.75068449627,22895.023412165832,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B7A0,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=1,RPL18,Kidney_Glomerular,Glomerular,Homo sapiens,1258.892602495437,5187.49561750002,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B7A0,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=1,RPL18,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,29.339529613858733,1354.483828334892,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
