Gene_Symbol,ESM2_Cluster,AE_Cluster,Matrisome_Category,Matrisome_Division,Protein_ID,Protein_Name,UMAP1_AE,UMAP2_AE,UMAP1_ESM2,UMAP2_ESM2
1810010H24RIK,-1,-1,ECM Regulators,Matrisome-associated,A0A1B0GR98,RIKEN cDNA 1810010H24 gene,10.416096,6.42261,-5.1312566,4.1447315
A2M,1,-1,ECM Regulators,Matrisome-associated,P01023,Alpha-2-macroglobulin,12.481751,6.660362,-6.7946615,2.7414188
A2ML1,8,9,ECM Regulators,Matrisome-associated,A8K2U0,Alpha-2-macroglobulin-like protein 1,20.07529,12.613514,-17.933273,15.084208
A2m,-1,-1,ECM Regulators,Matrisome-associated,Q61838,,1.4775413,9.917099,2.2057767,2.3834388
ABI3BP,-1,-1,ECM Glycoproteins,Core matrisome,Q7Z7G0,Target of Nesh-SH3,13.494093,9.586138,-6.541001,-0.32874632
ACAN,-1,-1,Proteoglycans,Core matrisome,P16112,Aggrecan core protein;Aggrecan core protein 2,14.907048,4.423387,-4.1489,7.894385
ADAM10,0,0,ECM Regulators,Matrisome-associated,O14672,Disintegrin and metalloproteinase domain-containing protein 10,16.655018,5.47631,-0.8349579,11.648113
ADAM12,17,18,ECM Regulators,Matrisome-associated,O43184,Disintegrin and metalloproteinase domain-containing protein 12,5.814309,13.195142,-12.810968,2.1011145
ADAM15,-1,-1,ECM Regulators,Matrisome-associated,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,14.406304,9.397779,-5.77905,-1.4772168
ADAM17,-1,-1,ECM Regulators,Matrisome-associated,P78536,Disintegrin and metalloproteinase domain-containing protein 17,11.281655,8.673837,-6.188144,-1.1888072
ADAM19,-1,-1,ECM Regulators,Matrisome-associated,Q9H013,Disintegrin and metalloproteinase domain-containing protein 19 OS=Homo sapiens GN=ADAM19 PE=1 SV=3,12.913995,7.829906,-6.4107914,1.0798576
ADAM9,-1,-1,ECM Regulators,Matrisome-associated,A0A140LHU0,Disintegrin and metalloproteinase domain-containing protein 9,3.812512,7.672661,0.5276289,6.097461
ADAMTS1,17,18,ECM Regulators,Matrisome-associated,Q9UHI8,A disintegrin and metalloproteinase with thrombospondin motifs 1,5.7816825,13.234903,-12.785197,2.071221
ADAMTS16,16,23,ECM Regulators,Matrisome-associated,Q8TE57,A disintegrin and metalloproteinase with thrombospondin motifs 16,8.487693,12.775089,-8.73369,-2.5272691
ADAMTS2,18,22,ECM Regulators,Matrisome-associated,O95450,A disintegrin and metalloproteinase with thrombospondin motifs 2,8.429646,12.306169,-9.628076,-1.3367975
ADAMTS4,1,-1,ECM Regulators,Matrisome-associated,O75173,A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1),12.647147,6.823334,-6.710774,2.7151244
ADAMTS5,-1,-1,ECM Regulators,Matrisome-associated,Q9UNA0,A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Homo sapiens GN=ADAMTS5 PE=1 SV=2,12.7623005,8.208941,-6.616764,1.0563662
ADAMTSL1,8,9,ECM Regulators,Matrisome-associated,Q8BLI0,ADAMTS-like protein 1,19.958666,12.345646,-17.888414,14.998474
ADAMTSL2,-1,-1,ECM Regulators,Matrisome-associated,Q86TH1,ADAMTS-like protein 2,7.1995807,10.249567,-12.072906,1.3479881
ADAMTSL3,-1,-1,ECM Regulators,Matrisome-associated,P82987,ADAMTS-like protein 3,9.866937,6.588225,-4.567895,4.1220303
ADAMTSL4,-1,-1,ECM Regulators,Matrisome-associated,Q6UY14,ADAMTS-like protein 4,13.601954,8.332173,-6.7994304,0.52216935
ADAMTSL5,-1,-1,ECM Regulators,Matrisome-associated,D3Z689,ADAMTS-like protein 5 OS=Homo sapiens GN=ADAMTSL5 PE=1 SV=3,14.031379,7.12604,-5.4823804,1.7517065
ADIPOQ,-1,-1,ECM Glycoproteins,Core matrisome,Q15848,Adiponectin,20.078087,12.039642,-6.179188,2.595135
AEBP1,-1,2,ECM Glycoproteins,Core matrisome,Q8IUX7,Adipocyte enhancer-binding protein 1,14.413176,8.308697,-5.3771367,-0.6166996
AGRN,-1,-1,ECM Glycoproteins,Core matrisome,O00468,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,14.6021805,8.044288,-6.009133,0.16176505
AGT,-1,-1,ECM Regulators,Matrisome-associated,P01019,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,14.717871,7.9377465,-5.592887,0.2910603
AMBP,-1,-1,ECM Regulators,Matrisome-associated,P02760,Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,11.269912,6.744015,-7.8515368,3.0839832
ANGPT1,19,16,Secreted Factors,Matrisome-associated,O08538,Angiopoietin-1,10.040092,6.480033,-4.8918223,4.157423
ANGPT2,19,16,Secreted Factors,Matrisome-associated,O35608,Angiopoietin-2,10.27081,6.3536487,-5.070705,4.283422
ANGPTL1,17,18,Secreted Factors,Matrisome-associated,O95841,Angiopoietin-related protein 1,5.8122396,13.179439,-12.775613,2.0579083
ANGPTL2,-1,-1,Secreted Factors,Matrisome-associated,Q9UKU9,Angiopoietin-related protein 2,14.908923,4.466264,-4.085793,7.8202763
ANGPTL3,18,-1,Secreted Factors,Matrisome-associated,Q9Y5C1,Angiopoietin-related protein 3,7.1358547,12.613183,-12.2154665,1.411232
ANGPTL4,-1,-1,Secreted Factors,Matrisome-associated,Q9BY76,Angiopoietin-related protein 4,7.442598,10.002152,-9.052151,2.7856536
ANGPTL5,2,1,Secreted Factors,Matrisome-associated,Q86XS5,Angiopoietin-related protein 5,14.705182,4.661628,-4.0681,7.7985506
ANGPTL6,-1,-1,Secreted Factors,Matrisome-associated,Q8NI99,Angiopoietin-related protein 6 OS=Homo sapiens GN=ANGPTL6 PE=1 SV=1,13.218612,7.6323576,-5.6465592,1.6802703
ANGPTL7,-1,15,Secreted Factors,Matrisome-associated,O43827,Angiopoietin-related protein 7,12.741586,10.326405,-6.5469685,-1.456017
ANXA1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P04083,Annexin A1,14.204014,6.527859,-4.0880446,2.0660217
ANXA11,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P50995,Annexin A11,14.647349,7.1140046,-4.6038613,-0.29020417
ANXA2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P07356,Annexin A2;Annexin,12.4375925,8.542694,0.031257562,5.7638073
ANXA2;ANXA2P2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P07355;A6NMY6,Annexin A2;Putative annexin A2-like protein,13.351772,9.974709,-6.0811124,-1.3883231
ANXA3,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P12429,Annexin A3,16.554068,5.5537343,-0.91706216,11.572355
ANXA4,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P09525,Annexin A4,14.321166,8.71361,-5.170021,-0.75582194
