Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Zscore_Young,Zscore_Old,Zscore_Delta,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence,N_Profiles_Young,N_Profiles_Old
A0A075B6K4,,IGLV3-10,Intervertebral_disc_NP,NP,Homo sapiens,,25.0792,,-0.706841837629826,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGLV3-10,,,Level 4: Unmatched,0,0.0,1.0
A0A075B6P5;P01615,Ig kappa chain V-II region FR,IGKV2D-28,Intervertebral_disc_NP,NP,Homo sapiens,,23.4362,,-1.3162799527627655,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2D-28,,,Level 4: Unmatched,0,0.0,1.0
A0A075B6S6;P06310,Ig kappa chain V-II region RPMI 6410,IGKV2D-30,Intervertebral_disc_NP,NP,Homo sapiens,,24.1276,,-1.0549702198002124,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2D-30,,,Level 4: Unmatched,0,0.0,2.0
A0A087WSZ0,,IGKV1D-8,Intervertebral_disc_NP,NP,Homo sapiens,,25.0767,,-0.7077396781448828,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1D-8,,,Level 4: Unmatched,0,0.0,1.0
A0A087WW87;P01614,Ig kappa chain V-II region Cum,IGKV2-40,Intervertebral_disc_NP,NP,Homo sapiens,,25.4874,,-0.5613848878214982,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2-40,,,Level 4: Unmatched,0,0.0,1.0
A0A0A0MS15,,IGHV3-49,Intervertebral_disc_NP,NP,Homo sapiens,,25.9428,,-0.4017310446151545,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-49,,,Level 4: Unmatched,0,0.0,1.0
A0A0A0MT36,,IGKV6D-21,Intervertebral_disc_NP,NP,Homo sapiens,,21.6656,,-2.0207301241122253,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV6D-21,,,Level 4: Unmatched,0,0.0,1.0
A0A0B4J1V0,,IGHV3-15,Intervertebral_disc_NP,NP,Homo sapiens,,25.001,,-0.7349671315770085,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-15,,,Level 4: Unmatched,0,0.0,1.0
A0A0B4J1V2,,IGHV2-26,Intervertebral_disc_NP,NP,Homo sapiens,,25.0701,,-0.710110390750069,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV2-26,,,Level 4: Unmatched,0,0.0,1.0
A0A0B4J1V6,,IGHV3-73,Intervertebral_disc_NP,NP,Homo sapiens,,21.3461,,-2.1536883999886496,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-73,,,Level 4: Unmatched,0,0.0,1.0
A0A0B4J1X5;A0A0C4DH42;P01767;P01772,Ig heavy chain V-III region BUT;Ig heavy chain V-III region KOL,IGHV3-74;IGHV3-66,Intervertebral_disc_NP,NP,Homo sapiens,,29.269750000000002,,0.6887241977696081,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-74;IGHV3-66,,,Level 4: Unmatched,0,0.0,2.0
A0A0B4J1Y8,,IGLV9-49,Intervertebral_disc_NP,NP,Homo sapiens,,23.6649,,-1.229034918482167,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGLV9-49,,,Level 4: Unmatched,0,0.0,1.0
A0A0B4J1Y9,,IGHV3-72,Intervertebral_disc_NP,NP,Homo sapiens,,27.7701,,0.21284060933796473,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-72,,,Level 4: Unmatched,0,0.0,2.0
A0A0C4DH33,,IGHV1-24,Intervertebral_disc_NP,NP,Homo sapiens,,23.6517,,-1.234048446518253,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV1-24,,,Level 4: Unmatched,0,0.0,1.0
A0A0C4DH38,,IGHV5-51,Intervertebral_disc_NP,NP,Homo sapiens,26.1437,28.37275,-0.42350339161649664,0.4069949177619379,0.8304983093784346,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV5-51,,,Level 4: Unmatched,0,1.0,2.0
A0A0C4DH67;A0A0C4DH69,,IGKV1-8;IGKV1-9,Intervertebral_disc_NP,NP,Homo sapiens,,24.6601,,-0.8585710645268844,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-8;IGKV1-9,,,Level 4: Unmatched,0,0.0,1.0
A0A0C4DH68,,IGKV2-24,Intervertebral_disc_NP,NP,Homo sapiens,,27.2165,,0.030870677875936864,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2-24,,,Level 4: Unmatched,0,0.0,2.0
A0A0C4DH72;P01599,Ig kappa chain V-I region Gal,IGKV1-6,Intervertebral_disc_NP,NP,Homo sapiens,,24.9792,,-0.7428227649579325,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-6,,,Level 4: Unmatched,0,0.0,1.0
A0A0C4DH73;P01611;P01601,Ig kappa chain V-I region Wes;Ig kappa chain V-I region HK101,IGKV1-12,Intervertebral_disc_NP,NP,Homo sapiens,,25.5467,,-0.5404407587708453,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-12,,,Level 4: Unmatched,0,0.0,1.0
A0A0J9YX35,Immunoglobulin heavy variable 3-64D,IGHV3-64D,Intervertebral_disc_NP,NP,Homo sapiens,,27.029600000000002,,-0.03137097528962711,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-64D,,,Level 4: Unmatched,0,0.0,2.0
A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D,Intervertebral_disc_NP,NP,Homo sapiens,30.469800000000003,28.12306666666667,1.0818237963442199,0.3270427917509097,-0.7547810045933101,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,SSC5D,,,Level 4: Unmatched,0,3.0,3.0
A4UGR9,Xin actin-binding repeat-containing protein 2,XIRP2,Intervertebral_disc_NP,NP,Homo sapiens,,27.5641,,0.14554015963950617,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,XIRP2,,,Level 4: Unmatched,0,0.0,1.0
CON__P02533;P02533,"Keratin, type I cytoskeletal 14",KRT14,Intervertebral_disc_NP,NP,Homo sapiens,29.286933333333334,25.83095,0.6918403916423361,-0.44069193963064157,-1.1325323312729778,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT14,,,Level 4: Unmatched,0,3.0,2.0
CON__P02768-1;P02768,Serum albumin,ALB,Intervertebral_disc_NP,NP,Homo sapiens,34.01506666666666,39.70813333333333,2.16844902145369,3.4635362617648586,1.2950872403111688,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ALB,,,Level 4: Unmatched,0,3.0,3.0
CON__P05787;P05787,"Keratin, type II cytoskeletal 8",KRT8,Intervertebral_disc_NP,NP,Homo sapiens,32.1932,26.095866666666666,1.624542305249418,-0.3486743982546047,-1.9732167035040227,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT8,,,Level 4: Unmatched,0,3.0,3.0
CON__P07477;Q8NHM4;P07478;P07477,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,PRSS3P2;PRSS2;PRSS1,Intervertebral_disc_NP,NP,Homo sapiens,29.4661,29.94843333333333,0.7518791963875232,0.8963910471264879,0.14451185073896466,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,PRSS2,ECM Regulators,Matrisome-associated,Level 2: UniProt ID,95,1.0,3.0
CON__P08727;P08727,"Keratin, type I cytoskeletal 19",KRT19,Intervertebral_disc_NP,NP,Homo sapiens,32.21633333333333,25.0367,1.6316339886094249,-0.722116844640841,-2.353750833250266,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT19,,,Level 4: Unmatched,0,3.0,2.0
CON__P13645;P13645,"Keratin, type I cytoskeletal 10",KRT10,Intervertebral_disc_NP,NP,Homo sapiens,30.23,28.075766666666667,1.0039615960443373,0.3118194642114293,-0.692142131832908,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT10,,,Level 4: Unmatched,0,3.0,3.0
CON__P13647;P13647,"Keratin, type II cytoskeletal 5",KRT5,Intervertebral_disc_NP,NP,Homo sapiens,24.50545,21.0757,-1.0571842202931434,-2.267707742636334,-1.2105235223431905,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT5,,,Level 4: Unmatched,0,2.0,1.0
CON__P20930;P20930,Filaggrin,FLG,Intervertebral_disc_NP,NP,Homo sapiens,20.1819,,-2.947911665067776,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,FLG,Secreted Factors,Matrisome-associated,Level 1: Gene Symbol,100,1.0,0.0
CON__P35908,"Keratin, type II cytoskeletal 2 epidermal",KRT2,Intervertebral_disc_NP,NP,Homo sapiens,27.666233333333334,26.5616,0.13202289159348074,-0.18906407804838718,-0.3210869696418679,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT2,,,Level 4: Unmatched,0,3.0,3.0
CON__P48668;P48668,"Keratin, type II cytoskeletal 6C",KRT6C,Intervertebral_disc_NP,NP,Homo sapiens,,25.9483,,-0.39981939507485853,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT6C,,,Level 4: Unmatched,0,0.0,1.0
CON__Q86YZ3;Q86YZ3,Hornerin,HRNR,Intervertebral_disc_NP,NP,Homo sapiens,25.2425,,-0.7671997753970974,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,HRNR,Secreted Factors,Matrisome-associated,Level 1: Gene Symbol,100,1.0,0.0
O00159,Unconventional myosin-Ic,MYO1C,Intervertebral_disc_NP,NP,Homo sapiens,26.34825,,-0.3470827454159071,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,MYO1C,,,Level 4: Unmatched,0,2.0,0.0
O00187,Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain,MASP2,Intervertebral_disc_NP,NP,Homo sapiens,,26.4357,,-0.23194338464028866,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,MASP2,ECM Regulators,Matrisome-associated,Level 1: Gene Symbol,100,0.0,2.0
O00292;O75610,Left-right determination factor 2;Left-right determination factor 1,LEFTY2;LEFTY1,Intervertebral_disc_NP,NP,Homo sapiens,,26.187,,-0.3172275211841766,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,LEFTY2,Secreted Factors,Matrisome-associated,Level 2: UniProt ID,95,0.0,1.0
O00299,Chloride intracellular channel protein 1,CLIC1,Intervertebral_disc_NP,NP,Homo sapiens,26.941200000000002,25.46726666666667,-0.128742403559549,-0.5685064308100016,-0.4397640272504526,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,CLIC1,,,Level 4: Unmatched,0,2.0,3.0
O00300,Tumor necrosis factor receptor superfamily member 11B,TNFRSF11B,Intervertebral_disc_NP,NP,Homo sapiens,32.37586666666667,30.3092,1.680405974442996,1.0049339148434309,-0.6754720595995651,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,TNFRSF11B,,,Level 4: Unmatched,0,3.0,3.0
O00339,Matrilin-2,MATN2,Intervertebral_disc_NP,NP,Homo sapiens,31.01376666666667,28.2688,1.2562706455485624,0.3737915495481706,-0.8824790960003918,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,MATN2,ECM Glycoproteins,Core matrisome,Level 1: Gene Symbol,100,3.0,3.0
O00391,Sulfhydryl oxidase 1,QSOX1,Intervertebral_disc_NP,NP,Homo sapiens,32.14533333333333,31.671233333333333,1.60985274054778,1.4037464608716288,-0.20610627967615125,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,QSOX1,,,Level 4: Unmatched,0,3.0,3.0
O00461,Golgi integral membrane protein 4,GOLIM4,Intervertebral_disc_NP,NP,Homo sapiens,26.9874,,-0.11192535967253536,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,GOLIM4,,,Level 4: Unmatched,0,1.0,0.0
O00462,Beta-mannosidase,MANBA,Intervertebral_disc_NP,NP,Homo sapiens,27.044699999999995,26.1592,-0.09110638171718691,-0.326809126668012,-0.23570274495082508,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,MANBA,,,Level 4: Unmatched,0,3.0,2.0
O00468,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,AGRN,Intervertebral_disc_NP,NP,Homo sapiens,26.583299999999998,25.3422,-0.25996982290667764,-0.6128666046550669,-0.3528967817483893,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,AGRN,ECM Glycoproteins,Core matrisome,Level 1: Gene Symbol,100,3.0,2.0
O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2,Intervertebral_disc_NP,NP,Homo sapiens,29.385166666666667,28.42685,0.7248022557780938,0.42422890035619626,-0.3005733554218975,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,PLOD2,ECM Regulators,Matrisome-associated,Level 1: Gene Symbol,100,3.0,2.0
