Protein_ID,Protein_Name,Gene_Symbol,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Dataset_Name,Organ,Compartment,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Match_Level,Match_Confidence
Q9R045,Angiopoietin-related protein 2 (Angiopoietin-like protein 2),Angptl2,Angptl2,Secreted Factors,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.748943673106908,17.80133100465629,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q3UQ28,Peroxidasin homolog (EC 1.11.1.7),Pxdn,Pxdn,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.763348018076375,16.157630527626825,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q02788,Collagen alpha-2(VI) chain,Col6a2,Col6a2,Collagens,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.98763540071378,16.781490214327018,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q8C6K9,Collagen alpha-6(VI) chain,Col6a6,Col6a6,Collagens,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.928688340394775,16.870091347957423,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P16110,Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (IgE-binding protein) (L-34 galactoside-binding lectin) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen),Lgals3,Lgals3,ECM-affiliated Proteins,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.24736582974124,17.05488864628196,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P21956,Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) (Sperm surface protein SP47) (MP47),Mfge8,Mfge8,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.950933010239092,16.588211788778903,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q04857,Collagen alpha-1(VI) chain,Col6a1,Col6a1,Collagens,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.46470843271933,16.17305927142007,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q9R013,Cathepsin F (EC 3.4.22.41),Ctsf,Ctsf,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.218021096162898,15.195819275991502,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P14069,Protein S100-A6 (5B10) (Calcyclin) (Prolactin receptor-associated protein) (S100 calcium-binding protein A6),S100a6,S100a6,Secreted Factors,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,17.563243095505328,18.02203494772467,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
A6X935,"Inter alpha-trypsin inhibitor, heavy chain 4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)",Itih4,Itih4,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.401280812403424,17.046377093226777,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
