Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality,Abundance_Old_log2,Abundance_Young_log2
Tam_2020,Intervertebral_disc,NP,29.94843333333333,,29.4661,,PRSS2,PRSS3P2;PRSS2;PRSS1,95.0,Level 2: UniProt ID,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,1.0,CON__P07477;Q8NHM4;P07478;P07477,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.2401266867655557,0.3584767014410552,0.1183500146754995,Original,4.951794474296593,4.929132925703619
Tam_2020,Intervertebral_disc,NP,,,20.1819,,FLG,FLG,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,CON__P20930;P20930,Filaggrin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-2.382774587194576,Original,,4.404760098648009
Tam_2020,Intervertebral_disc,NP,,,25.2425,,HRNR,HRNR,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,CON__Q86YZ3;Q86YZ3,Hornerin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-1.0194701387527387,Original,,4.713833260186281
Tam_2020,Intervertebral_disc,NP,26.4357,,,,MASP2,MASP2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O00187,Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.7006850643976887,,Original,4.777982480377863,
Tam_2020,Intervertebral_disc,NP,26.187,,,,LEFTY2,LEFTY2;LEFTY1,95.0,Level 2: UniProt ID,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O00292;O75610,Left-right determination factor 2;Left-right determination factor 1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.7756732591076283,,Original,4.764845058169521,
Tam_2020,Intervertebral_disc,NP,28.2688,,31.01376666666667,,MATN2,MATN2,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O00339,Matrilin-2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.6832524278721044,-0.1479674941411928,0.5352849337309115,Original,4.871291692375117,5.000620525960898
Tam_2020,Intervertebral_disc,NP,25.3422,,26.5833,,AGRN,AGRN,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,3.0,O00468,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.3721337015549515,-1.0303979349860255,-0.658264233431074,Original,4.719303933896711,4.785723162646892
Tam_2020,Intervertebral_disc,NP,28.42685,,29.385166666666667,,PLOD2,PLOD2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,3.0,O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.196859063242797,-0.1003121496542358,0.0965469135885611,Original,4.879061212000778,4.925295300165564
Tam_2020,Intervertebral_disc,NP,,,26.00296666666667,,CCL21,CCL21,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,3.0,O00585,C-C motif chemokine 21,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-0.8146036032513345,Original,,4.755046011799382
Tam_2020,Intervertebral_disc,NP,25.0902,,,,CCN1,CYR61,95.0,Level 2: UniProt ID,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O00622,Protein CYR61,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-1.106381147961115,,Original,4.705436098372059,
